label,node_id,source_identity,longitude,latitude
S86,S_OSM_WAY_1375860721,way/1375860721,116.3517664,39.9628635
S87,S_OSM_WAY_1376014650,way/1376014650,116.2982723,39.9856076
S88,S_OSM_WAY_1376105798,way/1376105798,116.3516870,39.9632040
S89,S_OSM_WAY_1377991210,way/1377991210,116.3526930,39.9631733
S90,S_OSM_WAY_1378820153,way/1378820153,116.3956189,39.8064528
S91,S_OSM_WAY_1388502962,way/1388502962,116.3607088,39.9608344
S92,S_OSM_WAY_1388502963,way/1388502963,116.3636748,39.9610375
S93,S_OSM_WAY_1390448211,way/1390448211,116.4133923,40.0458186
S94,S_OSM_WAY_1423781322,way/1423781322,116.5600802,39.8575401
S95,S_OSM_WAY_1423781323,way/1423781323,116.5592288,39.8574756
S96,S_OSM_WAY_1443660174,way/1443660174,116.5163117,39.8862460
S97,S_OSM_WAY_167459641,way/167459641,116.3041563,39.9215761
