node_id,node_type,x,y,service_depot,cross_site
D0,d,-18847.233281452758,10822.43341231154,D0,否
D1,d,42720.996553339326,7374.702843782262,D1,否
C001,c,-30179.506278013683,2663.2793898722484,D0,否
C002,c,-34410.74492787338,21424.336224998064,D0,否
C003,c,4921.211758789698,-25998.127522489496,D0,否
C004,c,-14953.155404357214,-8980.601250341453,D0,否
C005,c,30965.359076459332,-2329.1735998275963,D1,否
C006,c,48623.63468321714,-29462.992484196497,D1,否
C007,c,41349.74243738217,11914.461923771705,D1,否
C008,c,-34174.97909048558,8969.533412066825,D0,否
C009,c,48518.86467091462,-2070.824575345602,D1,否
C010,c,50739.66671057543,-9801.539939466162,D1,否
C011,c,16500.767349778722,-6414.588726569747,D1,否
C012,c,31266.62815616674,5444.208628742227,D1,否
C013,c,3781.329491452579,-35338.84747040487,D0,否
C014,c,20628.602137892485,7896.128412128742,D1,否
C015,c,10781.632725638556,-21074.122992421653,D0,是
C016,c,37823.84782080972,1585.8254596493462,D1,否
C017,c,44431.57599572928,6897.433215303802,D1,否
C018,c,4686.409506812057,-13220.146604485792,D0,否
C019,c,34111.53835843359,10372.262612951083,D1,否
C020,c,5426.648930247622,-6827.070396042991,D0,否
C021,c,38161.755056898946,-26245.479445273544,D1,否
C022,c,5785.532504009436,-21233.06510252429,D0,否
C023,c,-17471.387464604013,18836.73740059352,D0,否
C024,c,47474.75715874668,12720.914199737883,D1,否
C025,c,6507.202465895566,-24465.002988628392,D0,否
C026,c,15880.36526298169,19528.276883492927,D1,否
C027,c,-609.5911070787157,-21769.95376927365,D0,否
C028,c,39916.25255945444,-7586.756873677883,D1,否
C029,c,50109.799096041264,-4341.86788763349,D1,否
C030,c,38036.9444954838,-15120.381697602417,D1,否
C031,c,7754.797096785469,-26742.299325251166,D0,否
C032,c,47275.36149212961,16224.245778315057,D1,否
C033,c,-51846.07148017855,-14868.437520771142,D0,否
C034,c,46569.60763375068,30969.274134214178,D1,否
C035,c,-13420.301348933703,-29864.63745008805,D0,否
C036,c,-21409.439885111948,8538.8725138482,D0,否
C037,c,30552.18352268956,-9843.325234974134,D1,否
C038,c,-22229.762488948865,14808.909406626924,D0,否
C039,c,41688.06645668279,-8262.533336810324,D1,否
C040,c,25675.686598795477,-9435.931826230117,D1,否
C041,c,-43576.347709968795,20739.079207212217,D0,否
C042,c,-15190.657202123602,-27592.297441190916,D0,否
C043,c,58819.20063177424,-5596.28648712465,D1,否
C044,c,36910.36439273106,1645.6700380708744,D1,否
C045,c,31778.60965467482,-8121.34300641321,D1,否
C046,c,-23768.450742771278,24712.051539007214,D0,否
