instance,algorithm,seed,final_obj,elapsed_seconds,actual_evals,actual_moves,candidate_scores,repair_scores,repair_delta_count,feasible
L-main,ALNS@wangqianlongucas,9,9666.358832368967,78.68641833297443,16000,16000,16000,0,0,True
L-main,ALNS@wangqianlongucas,10,9657.502068363654,82.04341870799544,16000,16000,16000,0,0,True
L-main,NSGA-II@haris989,1,8567.878764557941,350.4134826250083,16001,4273,16001,0,0,True
L-main,NSGA-II@haris989,2,8641.969001254547,264.9114702920051,16001,4273,16001,0,0,True
L-main,NSGA-II@haris989,3,8544.896926521958,249.51859083300224,16001,4273,16001,0,0,True
L-main,NSGA-II@haris989,4,8687.911805638516,235.14980962499976,16001,4273,16001,0,0,True
L-main,NSGA-II@haris989,5,8582.067256036336,240.71235912499833,16001,4273,16001,0,0,True
L-main,NSGA-II@haris989,6,8498.939511213895,236.98083262500586,16001,4273,16001,0,0,True
L-main,NSGA-II@haris989,7,8574.907658814689,243.77845700000762,16001,4273,16001,0,0,True
L-main,NSGA-II@haris989,8,8644.980413436557,245.23820154200075,16001,4273,16001,0,0,True
L-main,NSGA-II@haris989,9,8733.028562633566,232.87856341700535,16001,4273,16001,0,0,True
L-main,NSGA-II@haris989,10,8601.115661860102,263.67130970800645,16001,4273,16001,0,0,True
100-01-24h,ALNS-Wouda,1,4940.847490923838,418.5656156250043,16000,16000,16000,495925,495925,True
100-01-24h,ALNS-Wouda,2,4731.514705663005,364.2224373749923,16000,16000,16000,684486,684486,True
100-01-24h,ALNS-Wouda,3,4764.231256190809,391.1751736669976,16000,16000,16000,1338486,1338486,True
100-01-24h,ALNS-Wouda,4,4976.419480502044,187.43387841698132,16000,16000,16000,208251,208251,True
100-01-24h,ALNS-Wouda,5,4867.706967483797,227.63933587499196,16000,16000,16000,281340,281340,True
100-01-24h,ALNS-Wouda,6,4812.465538936207,269.5297179159825,16000,16000,16000,523934,523934,True
100-01-24h,ALNS-Wouda,7,4939.79786764588,230.08499233299517,16000,16000,16000,360511,360511,True
100-01-24h,ALNS-Wouda,8,4947.570498507485,431.8724954170175,16000,16000,16000,1286935,1286935,True
100-01-24h,ALNS-Wouda,9,4683.374984848285,268.4538944999804,16000,16000,16000,404702,404702,True
100-01-24h,ALNS-Wouda,10,4784.033016041024,356.092056458001,16000,16000,16000,663707,663707,True
100-01-24h,VNS@Valdecy,1,5455.354732197437,35.191830333002144,16000,16000,16000,0,0,True
100-01-24h,VNS@Valdecy,2,5284.307007461321,25.478063333008322,16000,16000,16000,0,0,True
100-01-24h,VNS@Valdecy,3,5561.666684488057,20.878273332986282,16000,16000,16000,0,0,True
100-01-24h,VNS@Valdecy,4,5358.948933878766,20.251165958994534,16000,16000,16000,0,0,True
100-01-24h,VNS@Valdecy,5,5454.530930171396,20.742939957999624,16000,16000,16000,0,0,True
100-01-24h,VNS@Valdecy,6,5334.576320748435,20.722848958015675,16000,16000,16000,0,0,True
100-01-24h,VNS@Valdecy,7,5383.360228112057,23.96580808298313,16000,16000,16000,0,0,True
100-01-24h,VNS@Valdecy,8,5458.839123513698,24.395069708989467,16000,16000,16000,0,0,True
100-01-24h,VNS@Valdecy,9,5371.259628416807,26.056651082995813,16000,16000,16000,0,0,True
100-01-24h,VNS@Valdecy,10,5326.427078046308,21.74694445799105,16000,16000,16000,0,0,True
100-01-24h,PyGAD,1,6242.328363761326,50.78460116700444,16000,15999,16000,0,0,True
100-01-24h,PyGAD,2,6241.3221410349115,35.929509082998266,16000,15999,16000,0,0,True
100-01-24h,PyGAD,3,6263.730713130869,29.246913125010906,16000,15999,16000,0,0,True
100-01-24h,PyGAD,4,6215.089092871072,30.199770541017642,16000,15999,16000,0,0,True
100-01-24h,PyGAD,5,6215.089092871072,30.604998374998104,16000,15999,16000,0,0,True
100-01-24h,PyGAD,6,6215.089092871072,30.46341387499706,16000,15999,16000,0,0,True
100-01-24h,PyGAD,7,6214.342777172105,30.828114459000062,16000,15999,16000,0,0,True
100-01-24h,PyGAD,8,6231.145416464056,32.335466666001594,16000,15999,16000,0,0,True
100-01-24h,PyGAD,9,6215.089092871072,38.16289783298271,16000,15999,16000,0,0,True
100-01-24h,PyGAD,10,6154.200208702004,33.815673749981215,16000,15999,16000,0,0,True
100-01-24h,scikit-opt-GA,1,6239.573227520749,36.62010116700549,16000,15999,16000,0,0,True
100-01-24h,scikit-opt-GA,2,6233.839461774462,32.497922458001995,16000,15999,16000,0,0,True
100-01-24h,scikit-opt-GA,3,6215.089092871072,30.427179499994963,16000,15999,16000,0,0,True
100-01-24h,scikit-opt-GA,4,6239.59643626457,30.023292666999623,16000,15999,16000,0,0,True
100-01-24h,scikit-opt-GA,5,6241.200725375683,32.46609641701798,16000,15999,16000,0,0,True
100-01-24h,scikit-opt-GA,6,6241.278407351685,30.771946666995063,16000,15999,16000,0,0,True
100-01-24h,scikit-opt-GA,7,6215.089092871072,34.376129541982664,16000,15999,16000,0,0,True
100-01-24h,scikit-opt-GA,8,6224.483959151962,31.46803058302612,16000,15999,16000,0,0,True
100-01-24h,scikit-opt-GA,9,6208.846725261037,33.45918416601489,16000,15999,16000,0,0,True
100-01-24h,scikit-opt-GA,10,6241.3221410349115,32.382465332979336,16000,15999,16000,0,0,True
100-01-24h,scikit-opt-SA,1,5331.576889799002,73.44940679099818,16000,16000,16000,0,0,True
100-01-24h,scikit-opt-SA,2,5166.498854217437,76.62989325000672,16000,16000,16000,0,0,True
100-01-24h,scikit-opt-SA,3,5332.825414800519,72.95136645899038,16000,16000,16000,0,0,True
100-01-24h,scikit-opt-SA,4,5426.307929647546,72.94306470800075,16000,16000,16000,0,0,True
100-01-24h,scikit-opt-SA,5,5390.023409930269,57.964570042007836,16000,16000,16000,0,0,True
100-01-24h,scikit-opt-SA,6,5385.925188983677,62.257095250010025,16000,16000,16000,0,0,True
100-01-24h,scikit-opt-SA,7,5394.859028426146,71.18061554100132,16000,16000,16000,0,0,True
100-01-24h,scikit-opt-SA,8,5292.8701959697655,65.539479167026,16000,16000,16000,0,0,True
100-01-24h,scikit-opt-SA,9,5450.410889127989,62.255669958976796,16000,16000,16000,0,0,True
100-01-24h,scikit-opt-SA,10,5298.570770421826,82.47697279200656,16000,16000,16000,0,0,True
100-01-24h,ALNS@wangqianlongucas,1,6331.298733608956,26.053389041000628,16000,16000,16000,0,0,True
100-01-24h,ALNS@wangqianlongucas,2,6331.298733608956,24.42839791601,16000,16000,16000,0,0,True
100-01-24h,ALNS@wangqianlongucas,3,6284.456359002224,22.05626937499619,16000,16000,16000,0,0,True
100-01-24h,ALNS@wangqianlongucas,4,6331.298733608956,27.171433250012342,16000,16000,16000,0,0,True
100-01-24h,ALNS@wangqianlongucas,5,6331.298733608956,23.863722167006927,16000,16000,16000,0,0,True
100-01-24h,ALNS@wangqianlongucas,6,6331.298733608956,40.76709049998317,16000,16000,16000,0,0,True
