carbon_price,quota,total_cost,fuel_liters,electricity_cost,carbon_trading_cost,total_carbon_kg,ev_count,feasible,seed_count,feasible_runs
0.5,0.5,8322.104,258.151,603.836,10.823,941.585,54.7,是,10,10
0.5,0.8,8314.378,258.151,603.836,3.096,941.585,54.7,是,10,10
0.5,1,8309.227,258.151,603.836,-2.054,941.585,54.7,是,10,10
0.5,1.2,8304.077,258.151,603.836,-7.205,941.585,54.7,是,10,10
1,0.5,8327.272,233.276,624.148,19.011,889.26,56.0,是,10,10
1,0.8,8319.83,233.542,625.908,3.653,891.13,56.0,是,10,10
1,1,8301.518,233.276,624.148,-6.743,889.26,56.0,是,10,10
1,1.2,8291.216,233.276,624.148,-17.044,889.26,56.0,是,10,10
2,0.5,8360.202,237.443,625.587,38.968,898.652,55.8,是,10,10
2,0.8,8321.214,232.747,627.712,6.974,887.828,56.0,是,10,10
2,1,8300.679,232.747,627.801,-13.627,887.855,56.0,是,10,10
2,1.2,8280.076,232.747,627.801,-34.23,887.855,56.0,是,10,10
4,0.5,8419.877,235.689,632.534,78.046,899.197,55.9,是,10,10
4,0.8,8358.067,235.689,632.534,16.236,899.197,55.9,是,10,10
4,1,8306.872,229.875,635.686,-27.736,885.459,56.1,是,10,10
4,1.2,8275.654,235.689,632.534,-66.177,899.197,55.9,是,10,10
