scenario,slot_index,horizon_second_start,gamma_gco2_per_kwh,depot_kwh,station_kwh,other_kwh,total_kwh
carbon_aware,0,0.0,59.0,0.0,0.0,0.0,0.0
carbon_aware,1,1800.0,58.333333333333336,0.0,0.0,0.0,0.0
carbon_aware,2,3600.0,56.611111111111114,0.0,0.0,0.0,0.0
carbon_aware,3,5400.0,54.55555555555556,0.0,0.0,0.0,0.0
carbon_aware,4,7200.0,52.44444444444444,0.0,0.0,0.0,0.0
carbon_aware,5,9000.0,49.611111111111114,0.0,0.0,0.0,0.0
carbon_aware,6,10800.0,49.05555555555556,0.0,0.0,0.0,0.0
carbon_aware,7,12600.0,47.5,182.8121736003809,60.0,0.0,242.8121736003809
carbon_aware,8,14400.0,51.5,169.4719456634681,60.0,0.0,229.4719456634681
carbon_aware,9,16200.0,53.5,161.42271373223298,31.793845757274237,0.0,193.21655948950723
carbon_aware,10,18000.0,55.111111111111114,138.15204667309737,0.0,0.0,138.15204667309737
carbon_aware,11,19800.0,57.388888888888886,67.085990890413,0.0,0.0,67.085990890413
carbon_aware,12,21600.0,64.05555555555556,44.0,0.0,0.0,44.0
carbon_aware,13,23400.0,67.38888888888889,25.018430277941743,0.0,0.0,25.018430277941743
carbon_aware,14,25200.0,74.11111111111111,0.0,0.0,0.0,0.0
carbon_aware,15,27000.0,80.61111111111111,0.0,0.0,0.0,0.0
carbon_aware,16,28800.0,79.27777777777777,0.0,0.0,0.0,0.0
carbon_aware,17,30600.0,76.94444444444444,0.0,0.0,0.0,0.0
carbon_aware,18,32400.0,76.77777777777777,0.0,0.0,0.0,0.0
carbon_aware,19,34200.0,75.88888888888889,0.0,0.0,0.0,0.0
carbon_aware,20,36000.0,77.55555555555556,0.0,0.0,0.0,0.0
carbon_aware,21,37800.0,80.83333333333333,0.0,0.0,0.0,0.0
carbon_aware,22,39600.0,85.55555555555556,0.0,0.0,0.0,0.0
carbon_aware,23,41400.0,90.33333333333333,0.0,0.0,0.0,0.0
carbon_aware,24,43200.0,98.27777777777777,0.0,0.0,0.0,0.0
carbon_aware,25,45000.0,111.44444444444444,0.0,0.0,0.0,0.0
carbon_aware,26,46800.0,124.27777777777777,0.0,0.0,0.0,0.0
carbon_aware,27,48600.0,140.05555555555554,0.0,0.0,0.0,0.0
carbon_aware,28,50400.0,157.33333333333334,0.0,0.0,0.0,0.0
carbon_aware,29,52200.0,172.44444444444446,0.0,0.0,0.0,0.0
carbon_aware,30,54000.0,184.16666666666666,0.0,0.0,0.0,0.0
carbon_aware,31,55800.0,188.61111111111111,0.0,0.0,0.0,0.0
carbon_aware,32,57600.0,187.94444444444446,0.0,0.0,0.0,0.0
carbon_aware,33,59400.0,188.94444444444446,0.0,0.0,0.0,0.0
carbon_aware,34,61200.0,184.44444444444446,0.0,0.0,0.0,0.0
carbon_aware,35,63000.0,184.72222222222223,0.0,0.0,0.0,0.0
carbon_aware,36,64800.0,181.72222222222223,0.0,0.0,0.0,0.0
carbon_aware,37,66600.0,179.88888888888889,0.0,0.0,0.0,0.0
carbon_aware,38,68400.0,174.44444444444446,0.0,0.0,0.0,0.0
carbon_aware,39,70200.0,166.38888888888889,0.0,0.0,0.0,0.0
carbon_aware,40,72000.0,154.66666666666666,0.0,0.0,0.0,0.0
