route_id,vehicle_type,home_depot_id,node_sequence
CV1,cv,D0,D0>C013>C117>C166>C203>D0
EV58,ev,D0,D0>C086>C091>C060>D0
EV7,ev,D0,D0>C036>C033>C190>C208>D0
EV4,ev,D0,D0>C076>C138>C125>C179>C144>D0
EV11,ev,D0,D0>C094>C077>C070>C161>D0
EV53,ev,D0,D0>C083>C054>C155>C123>D0
EV8,ev,D0,D0>C048>C085>C038>C002>C180>D0
EV44,ev,D0,D0>C046>C110>C164>C137>D0
EV3,ev,D0,D0>C103>C148>C192>D0
EV17,ev,D0,D0>C089>C015>C025>C031>C198>D0
CV12,cv,D0,D0>C020>C058>C195>C175>C217>D0
EV50,ev,D0,D0>C078>C147>C122>D0
EV46,ev,D0,D0>C023>C176>C143>C193>D0
EV47,ev,D0,D0>C050>C172>C207>C201>D0
EV45,ev,D0,D0>C008>C204>C211>D0
EV21,ev,D0,D0>C099>C041>C130>C145>D0
EV26,ev,D0,D0>C004>C096>C171>C173>D0
EV27,ev,D0,D0>C018>C097>C160>D0
EV39,ev,D0,D0>C200>C102>C184>D0
EV18,ev,D0,D0>C027>C022>C151>C156>D0
EV54,ev,D0,D0>C001>C075>C059>D0
CV24,cv,D0,D0>C082>C162>C165>D0
EV57,ev,D0,D0>C114>C108>C142>D0
EV15,ev,D0,D0>C113>C146>C189>D0
EV16,ev,D0,D0>C035>C042>C159>C163>C115>D0
EV12,ev,D0,D0>C090>C003>C134>D0
EV41,ev,D0,D0>C081>C194>D0
EV2,ev,D0,D0>C167>C205>D0
EV23,ev,D0,D0>C191>C181>C126>C214>D0
EV31,ev,D0,D0>C169>C124>C107>D0
EV33,ev,D0,D0>C131>C177>C133>D0
EV43,ev,D1,D1>C017>C006>C073>C140>D1
EV37,ev,D1,D1>C007>C072>C188>D1
EV28,ev,D1,D1>C068>C024>C026>C209>D1
EV30,ev,D1,D1>C021>C139>C212>D1
EV40,ev,D1,D1>C071>C149>D1
EV13,ev,D1,D1>C016>C150>C215>D1
EV38,ev,D1,D1>C019>C047>C182>C219>D1
EV19,ev,D1,D1>C032>C014>C187>C206>D1
EV56,ev,D1,D1>C009>C088>C174>D1
EV25,ev,D1,D1>C098>C120>C154>C129>D1
EV32,ev,D1,D1>C012>C065>C157>D1
EV35,ev,D1,D1>C093>C040>C095>C112>C178>D1
EV52,ev,D1,D1>C029>C063>C186>D1
EV34,ev,D1,D1>C057>C100>C168>D1
EV29,ev,D1,D1>C062>C045>C106>D1
EV10,ev,D1,D1>C028>C104>C128>D1
EV1,ev,D1,D1>C043>C005>C101>D1
CV57,cv,D1,D1>C055>C011>C185>D1
EV9,ev,D1,D1>F2>C087>C061>C080>C183>D1
EV51,ev,D1,D1>C010>C074>C056>C030>D1
EV36,ev,D1,D1>C034>F3>C079>C109>D1
EV20,ev,D1,D1>C037>C153>D1
EV22,ev,D1,D1>C092>C158>C141>D1
EV6,ev,D0,D0>C105>C132>C135>C119>D0
CV36,cv,D0,D0>C152>C170>C118>C202>D0
EV42,ev,D0,D0>C199>C218>C210>D0
EV59,ev,D1,D1>C044>C052>D1
EV48,ev,D1,D1>C049>C216>D1
EV49,ev,D1,D1>C039>C067>C084>C053>C111>D1
EV14,ev,D1,D1>C051>C127>C116>D1
EV24,ev,D0,D0>C069>C196>C197>D0
EV60,ev,D1,D1>C064>D1
EV55,ev,D0,D0>C066>C121>D0
EV5,ev,D0,D0>C136>C213>D0
