factor,price_gbp_per_tonne,carbon_mean,carbon_std,ev_count,source_means_csv,source_seed_detail_csv
0.831,41.83254,1293.142,199.3356790496875,50.6,/Volumes/移动硬盘（512G）/ReSETP/solver/reports/parallel_r2_stress_final/t7b_carbon_stress.csv,/Volumes/移动硬盘（512G）/ReSETP/solver/reports/parallel_r2_stress_final/combined/tables/t7_carbon_sensitivity_seed_detail.csv
1.0,50.34,1305.473,192.02339295330668,49.6,/Volumes/移动硬盘（512G）/ReSETP/solver/reports/parallel_r2_stress_final/t7b_carbon_stress.csv,/Volumes/移动硬盘（512G）/ReSETP/solver/reports/parallel_r2_stress_final/combined/tables/t7_carbon_sensitivity_seed_detail.csv
2.0,100.68,1279.345,211.51602707761896,50.8,/Volumes/移动硬盘（512G）/ReSETP/solver/reports/parallel_r2_stress_final/t7b_carbon_stress.csv,/Volumes/移动硬盘（512G）/ReSETP/solver/reports/parallel_r2_stress_final/combined/tables/t7_carbon_sensitivity_seed_detail.csv
4.0,201.36,1239.593,202.93658003967647,52.2,/Volumes/移动硬盘（512G）/ReSETP/solver/reports/parallel_r2_stress_final/t7b_carbon_stress.csv,/Volumes/移动硬盘（512G）/ReSETP/solver/reports/parallel_r2_stress_final/combined/tables/t7_carbon_sensitivity_seed_detail.csv
8.0,402.72,1202.96,234.3559598107119,53.4,/Volumes/移动硬盘（512G）/ReSETP/solver/reports/parallel_r2_stress_final/t7b_carbon_stress.csv,/Volumes/移动硬盘（512G）/ReSETP/solver/reports/parallel_r2_stress_final/combined/tables/t7_carbon_sensitivity_seed_detail.csv
16.0,805.44,1213.634,205.44336611996022,52.2,/Volumes/移动硬盘（512G）/ReSETP/solver/reports/parallel_r2_stress_final/t7b_carbon_stress.csv,/Volumes/移动硬盘（512G）/ReSETP/solver/reports/parallel_r2_stress_final/combined/tables/t7_carbon_sensitivity_seed_detail.csv
32.0,1610.88,1086.02,114.10903195496837,57.2,/Volumes/移动硬盘（512G）/ReSETP/solver/reports/parallel_r2_stress_final/t7b_carbon_stress.csv,/Volumes/移动硬盘（512G）/ReSETP/solver/reports/parallel_r2_stress_final/combined/tables/t7_carbon_sensitivity_seed_detail.csv
64.0,3221.76,1410.505,669.2419534505439,47.2,/Volumes/移动硬盘（512G）/ReSETP/solver/reports/parallel_r2_stress_final/t7b_carbon_stress.csv,/Volumes/移动硬盘（512G）/ReSETP/solver/reports/parallel_r2_stress_final/combined/tables/t7_carbon_sensitivity_seed_detail.csv
