region_code,region,scale_band,tiers,instance_count,HGS-F_Best,HGS-F_avg,HGS-F_Best_gap_to_MV_pct,HGS-F_avg_gap_to_MV_pct,HGS-E_Best,HGS-E_avg,HGS-E_Best_gap_to_MV_pct,HGS-E_avg_gap_to_MV_pct,HGS-M_Best,HGS-M_avg,HGS-M_Best_gap_to_MV_pct,HGS-M_avg_gap_to_MV_pct,MV-HGS-SP_Best,MV-HGS-SP_avg,MV-HGS-SP_Best_gap_to_MV_pct,MV-HGS-SP_avg_gap_to_MV_pct
jjj,京津冀,S,10/15/20,9,899.6116371941745,899.7963734185175,0.490814735854184,0.5090637305388986,895.8712296874771,895.8712296874771,0.010096206542499526,0.010096206542499526,895.7500840720509,895.7500840720509,0.0,0.0,895.7500840720509,895.7500840720509,0.0,0.0
jjj,京津冀,M,25/50/75,9,2630.1472711379884,2631.4851665764313,1.4663036898695474,1.5219424566510291,2602.348391249884,2602.976890021382,0.0,0.013951086389476706,2602.5741624225634,2602.9939575405206,0.005942409422652829,0.013818863991949006,2602.348391249884,2602.471000931366,0.0,0.0
jjj,京津冀,L,100/150/200,9,7329.239855735021,7335.634709397137,0.7384035802113929,0.6667032490283997,7288.902444904741,7311.433352226909,0.1121893492718989,0.2977919886663644,7288.859832466181,7317.300745605368,0.13813790424359676,0.37560362141528697,7278.540681176897,7290.457093800924,0.0,0.0
prd,珠三角,S,10/15/20,9,782.3349682210005,782.9303261565851,0.9085972785840778,0.9663078575426014,777.1735066332681,777.1735066332681,0.0,0.0,777.1735066332681,777.1735066332681,0.0,0.0,777.1735066332681,777.1735066332681,0.0,0.0
prd,珠三角,M,25/50/75,9,2476.7860145698414,2478.791636186164,1.0665451040475795,1.1467026094839512,2455.488135815428,2455.635355421857,0.0,0.004441377386147315,2455.488135815428,2455.5252236399488,0.0,0.0007950571020134253,2455.488135815428,2455.496644081044,0.0,0.0
prd,珠三角,L,100/150/200,9,7233.879975597336,7258.735901351251,0.4746156790728783,0.6085310682311862,7225.090961435481,7269.163290655477,0.2398418110243149,0.5619136892694521,7242.6639561110915,7299.521702747769,0.4601372352098551,0.9220466269333141,7203.110759006169,7219.728333559619,0.0,0.0
cy,成渝,S,10/15/20,9,925.4462823970694,925.4981295791699,0.6438612721175714,0.6481111677810295,920.1099096949642,920.109909694964,0.013368641845637068,0.013368641845637068,920.0349116478569,920.0349116478569,0.0,0.0,920.0349116478569,920.0349116478569,0.0,0.0
cy,成渝,M,25/50/75,9,2614.8749674895694,2624.14376155439,2.0396300093487865,2.1922815695474274,2564.4552730122896,2567.6584233470294,0.30086042382784234,0.2898014100302986,2561.115733293116,2565.884825102173,0.07827074634432046,0.17278181917914015,2559.8765155616843,2563.0602776698047,0.0,0.0
cy,成渝,L,100/150/200,9,7423.091939037822,7444.448607777387,0.807460885492984,1.0009029715195876,7380.2857193221425,7429.325803783195,0.09488648480047868,0.5187453484391882,7416.119213966678,7444.416975565937,0.6118240313652468,0.7696967246165738,7372.074647554874,7383.8437815142715,0.0,0.0
overall,总体,All,10--200,81,3590.6014345977583,3597.9405124441155,0.9595813593998891,1.0289496311471236,3567.7472857506305,3581.038640163507,0.08569365747918571,0.19001219428545155,3573.308837380915,3586.5113258394326,0.14381248073174133,0.25052696813758635,3562.71084807979,3567.5572926566892,0.0,0.0
