route_index,path,distance_km,cost_cny,time_h,fuel_l,electricity_kwh,emissions_kg,on_time_customer_count,load_rate_pct,vehicle_id,vehicle_type,home_depot_id,home_city
1,"[D_guangzhou, C002, C008, C021, C019, D_guangzhou]",60.557275410543994,277.57295926405504,12.000986022222223,7.894669562327166,0,21.35354438971798,4,56.023054755043226,CH81-0001,cv,D_guangzhou,guangzhou
2,"[D_guangzhou, C016, C020, C022, C011, C007, C013, C001, C010, D_guangzhou]",69.074227897574,297.34918724199343,10.855529777777779,9.612993775411795,0,26.001276897120583,8,100.0,CH81-0002,cv,D_guangzhou,guangzhou
3,"[D_guangzhou, C015, C014, C017, C018, C012, C006, D_guangzhou]",76.35401052320198,307.3445286915556,11.795757527777779,10.177845181703063,0,27.529089997163716,6,96.13832853025937,CH81-0003,cv,D_guangzhou,guangzhou
4,"[D_guangzhou, C009, C003, C023, C005, C004, D_guangzhou]",88.54098960950901,241.1859657760797,10.575760755555557,0.0,34.373555709688276,12.35552498669408,5,97.2,CH81-0004,ev,D_guangzhou,guangzhou
5,"[D_shenzhen, C039, C050, C040, C038, C049, D_shenzhen]",59.820378294320996,275.63161341054314,10.670265961111111,7.715867862600611,0,20.86992059749652,5,92.10374639769452,CH81-0005,cv,D_shenzhen,shenzhen
6,"[D_shenzhen, C046, C032, C045, C044, C042, C031, C025, D_shenzhen]",60.321620210791,277.2234253913004,12.093921227777777,7.872986365816077,0,21.29489556400652,7,96.0806916426513,CH81-0006,cv,D_shenzhen,shenzhen
7,"[D_shenzhen, C047, C041, C036, C037, C026, C024, D_shenzhen]",60.315977628736,279.11050370761774,12.313838005555558,8.120467811691213,0,21.96428470036051,6,96.0806916426513,CH81-0007,cv,D_shenzhen,shenzhen
8,"[D_shenzhen, C043, C028, C035, C030, C027, D_shenzhen]",64.477698734987,219.09418189998706,11.43292665,0.0,20.70339479351312,7.596075549739963,5,97.2,CH81-0008,ev,D_shenzhen,shenzhen
9,"[D_shenzhen, C034, C048, C033, C029, D_shenzhen]",63.618851645606995,219.3062101391527,11.929406222222221,0.0,23.47743026350226,8.583286357224482,4,97.2,CH81-0009,ev,D_shenzhen,shenzhen
mean,mean,67.00900332836345,265.9798417246983,11.51871023888889,5.71053672883888,8.72826452963374,18.616433226613818,5.555555555555555,92.00294588536663,,,,
total,total,603.081029955271,2393.818575522285,103.66839215,51.39483055954992,78.55438076670366,167.54789903952437,50.0,,,,,
