algorithm,selected_seed,point_order,time_min,cost_cny,source
HGS-F,1,0,0.0,6072.234910443941,common_initial
HGS-F,1,1,0.02405972499982454,5466.071757863982,hgs_new_proxy_population_best
HGS-F,1,2,0.027824315266722504,5444.031039235768,hgs_new_proxy_population_best
HGS-F,1,3,0.027959367349588624,5443.7271505969775,hgs_new_proxy_population_best
HGS-F,1,4,0.030920207633365258,5442.187577275017,hgs_new_proxy_population_best
HGS-F,1,5,0.031558843049667,5441.501721459102,hgs_new_proxy_population_best
HGS-F,1,6,0.032419644432957286,5436.627924044823,hgs_new_proxy_population_best
HGS-F,1,7,0.034320917349638574,5434.271031265892,hgs_new_proxy_population_best
HGS-F,1,8,0.03626662916649366,5348.1662966166605,hgs_new_proxy_population_best
HGS-F,1,9,0.05560393609969954,5341.36994121307,hgs_new_proxy_population_best
HGS-F,1,10,0.07530060346665171,5288.186220456055,hgs_new_proxy_population_best
HGS-F,1,11,0.23779331318316205,5287.481800660032,hgs_new_proxy_population_best
HGS-F,1,12,0.3029610020831266,5286.883766731755,hgs_new_proxy_population_best
HGS-F,1,13,0.3791567180499745,5286.883766731755,sealed_final_solution
HGS-E,6,0,0.0,6072.234910443941,common_initial
HGS-E,6,1,0.006505706250027288,5341.543257543019,hgs_new_proxy_population_best
HGS-E,6,2,0.02124844375017953,5325.734790576604,hgs_new_proxy_population_best
HGS-E,6,3,0.022940795133278395,5311.747013243684,hgs_new_proxy_population_best
HGS-E,6,4,0.03427854791661957,5301.901278404566,hgs_new_proxy_population_best
HGS-E,6,5,0.03507740070005336,5287.444154746019,hgs_new_proxy_population_best
HGS-E,6,6,0.038529506949998904,5250.645072673939,hgs_new_proxy_population_best
HGS-E,6,7,0.06946291805021852,5241.6954656081525,hgs_new_proxy_population_best
HGS-E,6,8,0.10646918195028168,5225.711841543926,hgs_new_proxy_population_best
HGS-E,6,9,0.15872380903359348,5220.314324506466,hgs_new_proxy_population_best
HGS-E,6,10,0.187597849300073,5211.937223212756,hgs_new_proxy_population_best
HGS-E,6,11,0.21041020486688164,5209.966880881262,hgs_new_proxy_population_best
HGS-E,6,12,0.2198547604168804,5205.986633137369,hgs_new_proxy_population_best
HGS-E,6,13,0.22022193958352243,5197.727207899128,hgs_new_proxy_population_best
HGS-E,6,14,0.24926152083353373,5197.329622725777,hgs_new_proxy_population_best
HGS-E,6,15,0.3045752562500032,5185.209597498421,hgs_new_proxy_population_best
HGS-E,6,16,0.47579028541658774,5185.209597498421,sealed_final_solution
HGS-M,10,0,0.0,6072.234910443941,common_initial
HGS-M,10,1,0.004301204866593859,5470.415752494514,hgs_new_proxy_population_best
HGS-M,10,2,0.008697843049594667,5429.396650095141,hgs_new_proxy_population_best
