accepted,best_updates,destroy,profile,repair,run_id,seed,selected,start
56,18,random_customer_removal,DEFAULT_ALPHA_UCB,greedy_insert_repair,DEFAULT_ALPHA_UCB__CV_ONLY__seed1,1,350,CV_ONLY
0,0,random_customer_removal,DEFAULT_ALPHA_UCB,regret2_insert_repair,DEFAULT_ALPHA_UCB__CV_ONLY__seed1,1,1,CV_ONLY
0,0,random_customer_removal,DEFAULT_ALPHA_UCB,regret3_insert_repair,DEFAULT_ALPHA_UCB__CV_ONLY__seed1,1,1,CV_ONLY
0,0,route_segment_removal,DEFAULT_ALPHA_UCB,greedy_insert_repair,DEFAULT_ALPHA_UCB__CV_ONLY__seed1,1,1,CV_ONLY
0,0,route_segment_removal,DEFAULT_ALPHA_UCB,regret2_insert_repair,DEFAULT_ALPHA_UCB__CV_ONLY__seed1,1,1,CV_ONLY
0,0,route_segment_removal,DEFAULT_ALPHA_UCB,regret3_insert_repair,DEFAULT_ALPHA_UCB__CV_ONLY__seed1,1,1,CV_ONLY
0,0,shaw_related_removal,DEFAULT_ALPHA_UCB,greedy_insert_repair,DEFAULT_ALPHA_UCB__CV_ONLY__seed1,1,1,CV_ONLY
0,0,shaw_related_removal,DEFAULT_ALPHA_UCB,regret2_insert_repair,DEFAULT_ALPHA_UCB__CV_ONLY__seed1,1,1,CV_ONLY
0,0,shaw_related_removal,DEFAULT_ALPHA_UCB,regret3_insert_repair,DEFAULT_ALPHA_UCB__CV_ONLY__seed1,1,1,CV_ONLY
7,7,vehicle_type_swap,DEFAULT_ALPHA_UCB,greedy_insert_repair,DEFAULT_ALPHA_UCB__CV_ONLY__seed1,1,25,CV_ONLY
0,0,whole_route_removal,DEFAULT_ALPHA_UCB,greedy_insert_repair,DEFAULT_ALPHA_UCB__CV_ONLY__seed1,1,1,CV_ONLY
0,0,whole_route_removal,DEFAULT_ALPHA_UCB,regret2_insert_repair,DEFAULT_ALPHA_UCB__CV_ONLY__seed1,1,1,CV_ONLY
0,0,whole_route_removal,DEFAULT_ALPHA_UCB,regret3_insert_repair,DEFAULT_ALPHA_UCB__CV_ONLY__seed1,1,1,CV_ONLY
0,0,worst_customer_removal,DEFAULT_ALPHA_UCB,greedy_insert_repair,DEFAULT_ALPHA_UCB__CV_ONLY__seed1,1,1,CV_ONLY
0,0,worst_customer_removal,DEFAULT_ALPHA_UCB,regret2_insert_repair,DEFAULT_ALPHA_UCB__CV_ONLY__seed1,1,1,CV_ONLY
