run_id,phase,algorithm,seed,best_cost,common_lift,native_lift,flip_lift,native_best_updates,flip_best_updates,common_best_updates
G0_ALNS_seed1,E_G0_REAUDIT,ALNS,1,3630.1118379310765,629.2082289450091,1544.2332833227129,0.0,70,0,1
G0_ALNS_seed2,E_G0_REAUDIT,ALNS,2,3750.640224584691,629.2082289450091,1423.7048966690982,0.0,50,0,1
G0_ALNS_seed3,E_G0_REAUDIT,ALNS,3,3974.365262724132,629.2082289450091,1199.9798585296571,0.0,84,0,1
G0_GA_seed1,E_G0_REAUDIT,GA,1,4110.049788791648,629.2082289450091,618.8709845007625,445.42434796137877,22,23,1
G0_GA_seed2,E_G0_REAUDIT,GA,2,4489.330320008124,629.2082289450091,182.00799728827315,503.00680395739255,9,21,1
G0_GA_seed3,E_G0_REAUDIT,GA,3,4506.104533541003,629.2082289450091,82.98819897186786,585.2523887409188,1,25,1
G0_LNS_seed1,E_G0_REAUDIT,LNS,1,3560.6317439286577,629.2082289450091,1090.3348048297657,523.3785724953659,34,28,1
G0_LNS_seed2,E_G0_REAUDIT,LNS,2,3575.2175786555454,629.2082289450091,906.2882019179924,692.8393406802516,22,24,1
G0_LNS_seed3,E_G0_REAUDIT,LNS,3,3554.0400677971443,629.2082289450091,501.41099433611726,1118.8940591205278,39,42,1
G0_PSO_seed1,E_G0_REAUDIT,PSO,1,4760.4022406746235,629.2082289450091,0.0,413.94288057916583,0,15,1
G0_PSO_seed2,E_G0_REAUDIT,PSO,2,4752.195758113661,629.2082289450091,0.0,422.1493631401281,0,25,1
G0_PSO_seed3,E_G0_REAUDIT,PSO,3,4805.270409675782,629.2082289450091,0.0,369.07471157800774,0,18,1
G0_VNS_seed1,E_G0_REAUDIT,VNS,1,4138.244919388814,629.2082289450091,84.82682018906144,951.2733816759137,3,27,1
G0_VNS_seed2,E_G0_REAUDIT,VNS,2,4151.365339160481,629.2082289450091,0.0,1022.9797820933081,0,35,1
G0_VNS_seed3,E_G0_REAUDIT,VNS,3,4139.85194253881,629.2082289450091,101.49890598529055,932.9942727296884,4,32,1
