run_id,phase,algorithm,seed,step,eval,operator,channel,best_cost,best_cost_before,route_count,signature,time_seconds
G0_ALNS_seed1,E_G0_REAUDIT,ALNS,1,21,1770,vehicle_type_swap+greedy_insert_repair,native_vehicle_type_swap+greedy_insert_repair,4216.048410967098,,,,49.1225770830024
G0_ALNS_seed1,E_G0_REAUDIT,ALNS,1,22,1771,vehicle_type_swap+greedy_insert_repair,native_vehicle_type_swap+greedy_insert_repair,4188.4238327967805,,,,49.1453744169994
G0_ALNS_seed1,E_G0_REAUDIT,ALNS,1,23,1772,vehicle_type_swap+greedy_insert_repair,native_vehicle_type_swap+greedy_insert_repair,4175.98367306349,,,,49.16972658300074
G0_ALNS_seed1,E_G0_REAUDIT,ALNS,1,24,2020,shaw_related_removal+greedy_insert_repair,native_shaw_related_removal+greedy_insert_repair,4079.546311259367,,,,54.33484283299913
G0_ALNS_seed1,E_G0_REAUDIT,ALNS,1,25,2066,vehicle_type_swap+greedy_insert_repair,native_vehicle_type_swap+greedy_insert_repair,4050.2957672235166,,,,60.50544004200128
G0_ALNS_seed1,E_G0_REAUDIT,ALNS,1,26,2067,vehicle_type_swap+greedy_insert_repair,native_vehicle_type_swap+greedy_insert_repair,4026.140145092052,,,,60.52689870800168
G0_ALNS_seed1,E_G0_REAUDIT,ALNS,1,27,2074,vehicle_type_swap+greedy_insert_repair,native_vehicle_type_swap+greedy_insert_repair,4022.594269470003,,,,60.62206091700136
G0_ALNS_seed1,E_G0_REAUDIT,ALNS,1,28,2075,vehicle_type_swap+greedy_insert_repair,native_vehicle_type_swap+greedy_insert_repair,4010.510892710595,,,,60.64228479200028
G0_ALNS_seed1,E_G0_REAUDIT,ALNS,1,29,2304,shaw_related_removal+greedy_insert_repair,native_shaw_related_removal+greedy_insert_repair,3986.346898343911,,,,64.50516591700216
G0_ALNS_seed1,E_G0_REAUDIT,ALNS,1,30,2351,vehicle_type_swap+greedy_insert_repair,native_vehicle_type_swap+greedy_insert_repair,3972.751401710582,,,,70.1645981670008
G0_ALNS_seed1,E_G0_REAUDIT,ALNS,1,31,2352,vehicle_type_swap+greedy_insert_repair,native_vehicle_type_swap+greedy_insert_repair,3959.5180414364117,,,,70.18619212500198
G0_ALNS_seed1,E_G0_REAUDIT,ALNS,1,32,2353,vehicle_type_swap+greedy_insert_repair,native_vehicle_type_swap+greedy_insert_repair,3956.4504965296046,,,,70.21122941700014
G0_ALNS_seed1,E_G0_REAUDIT,ALNS,1,33,2488,whole_route_removal+greedy_insert_repair,native_whole_route_removal+greedy_insert_repair,3954.4002685215305,,,,72.44120262499928
G0_ALNS_seed1,E_G0_REAUDIT,ALNS,1,34,2493,whole_route_removal+greedy_insert_repair,native_whole_route_removal+greedy_insert_repair,3898.3452339862633,,,,72.50020545799998
G0_ALNS_seed1,E_G0_REAUDIT,ALNS,1,35,2617,vehicle_type_swap+regret2_insert_repair,native_vehicle_type_swap+regret2_insert_repair,3881.530945284371,,,,73.5013829999989
G0_ALNS_seed1,E_G0_REAUDIT,ALNS,1,36,3427,route_segment_removal+regret2_insert_repair,native_route_segment_removal+regret2_insert_repair,3874.0664495773663,,,,93.60618833300032
G0_ALNS_seed1,E_G0_REAUDIT,ALNS,1,37,3439,route_segment_removal+regret2_insert_repair,native_route_segment_removal+regret2_insert_repair,3873.6604164916275,,,,93.70990983299998
G0_ALNS_seed1,E_G0_REAUDIT,ALNS,1,38,3442,route_segment_removal+regret2_insert_repair,native_route_segment_removal+regret2_insert_repair,3873.079375943039,,,,93.7334957919993
G0_ALNS_seed1,E_G0_REAUDIT,ALNS,1,39,3463,route_segment_removal+regret2_insert_repair,native_route_segment_removal+regret2_insert_repair,3872.8495039337063,,,,93.86135800000193
G0_ALNS_seed1,E_G0_REAUDIT,ALNS,1,40,3471,route_segment_removal+regret2_insert_repair,native_route_segment_removal+regret2_insert_repair,3848.99583396717,,,,93.91567279200171
G0_ALNS_seed1,E_G0_REAUDIT,ALNS,1,41,3492,route_segment_removal+regret2_insert_repair,native_route_segment_removal+regret2_insert_repair,3835.670700239978,,,,94.0471957080008
G0_ALNS_seed1,E_G0_REAUDIT,ALNS,1,42,3493,route_segment_removal+regret2_insert_repair,native_route_segment_removal+regret2_insert_repair,3835.3526085377366,,,,94.06210141699921
G0_ALNS_seed1,E_G0_REAUDIT,ALNS,1,43,3496,route_segment_removal+regret2_insert_repair,native_route_segment_removal+regret2_insert_repair,3835.09306429403,,,,94.08584616699954
G0_ALNS_seed1,E_G0_REAUDIT,ALNS,1,44,3516,route_segment_removal+regret2_insert_repair,native_route_segment_removal+regret2_insert_repair,3808.8641585868713,,,,94.21620591700048
G0_ALNS_seed1,E_G0_REAUDIT,ALNS,1,45,3530,route_segment_removal+regret2_insert_repair,native_route_segment_removal+regret2_insert_repair,3807.8717389511394,,,,94.3099962080014
G0_ALNS_seed1,E_G0_REAUDIT,ALNS,1,46,3532,route_segment_removal+regret2_insert_repair,native_route_segment_removal+regret2_insert_repair,3807.69468231928,,,,94.32741075000013
G0_ALNS_seed1,E_G0_REAUDIT,ALNS,1,47,3540,route_segment_removal+regret2_insert_repair,native_route_segment_removal+regret2_insert_repair,3752.6405890936007,,,,94.37840929199956
G0_ALNS_seed1,E_G0_REAUDIT,ALNS,1,48,3583,route_segment_removal+regret2_insert_repair,native_route_segment_removal+regret2_insert_repair,3749.3325011013753,,,,94.62488283299899
G0_ALNS_seed1,E_G0_REAUDIT,ALNS,1,49,3606,route_segment_removal+regret2_insert_repair,native_route_segment_removal+regret2_insert_repair,3749.2430099829126,,,,94.77652479199969
G0_ALNS_seed1,E_G0_REAUDIT,ALNS,1,50,3613,route_segment_removal+regret2_insert_repair,native_route_segment_removal+regret2_insert_repair,3746.3933566204546,,,,94.8203996250013
G0_ALNS_seed1,E_G0_REAUDIT,ALNS,1,51,3687,route_segment_removal+regret2_insert_repair,native_route_segment_removal+regret2_insert_repair,3745.3731734823846,,,,95.25069124999936
G0_ALNS_seed1,E_G0_REAUDIT,ALNS,1,52,3694,route_segment_removal+regret2_insert_repair,native_route_segment_removal+regret2_insert_repair,3741.5437800525056,,,,95.30444479200014
G0_ALNS_seed1,E_G0_REAUDIT,ALNS,1,53,3704,route_segment_removal+regret2_insert_repair,native_route_segment_removal+regret2_insert_repair,3740.2949292170974,,,,95.36981820800065
G0_ALNS_seed1,E_G0_REAUDIT,ALNS,1,54,3715,route_segment_removal+regret2_insert_repair,native_route_segment_removal+regret2_insert_repair,3737.951789695136,,,,95.43380937500115
G0_ALNS_seed1,E_G0_REAUDIT,ALNS,1,55,3716,route_segment_removal+regret2_insert_repair,native_route_segment_removal+regret2_insert_repair,3736.9593143897464,,,,95.44679204199929
G0_ALNS_seed1,E_G0_REAUDIT,ALNS,1,56,3722,route_segment_removal+regret2_insert_repair,native_route_segment_removal+regret2_insert_repair,3717.9623416686836,,,,95.48942941700079
G0_ALNS_seed1,E_G0_REAUDIT,ALNS,1,57,3724,route_segment_removal+regret2_insert_repair,native_route_segment_removal+regret2_insert_repair,3714.910826708967,,,,95.5096041249999
G0_ALNS_seed1,E_G0_REAUDIT,ALNS,1,58,3737,route_segment_removal+regret2_insert_repair,native_route_segment_removal+regret2_insert_repair,3698.6650445498503,,,,95.58650750000015
G0_ALNS_seed1,E_G0_REAUDIT,ALNS,1,59,3740,route_segment_removal+regret2_insert_repair,native_route_segment_removal+regret2_insert_repair,3698.4861946902915,,,,95.61192954199942
G0_ALNS_seed1,E_G0_REAUDIT,ALNS,1,60,4174,route_segment_removal+regret2_insert_repair,native_route_segment_removal+regret2_insert_repair,3698.1611302828765,,,,98.03557679200094
G0_ALNS_seed1,E_G0_REAUDIT,ALNS,1,61,4184,route_segment_removal+regret2_insert_repair,native_route_segment_removal+regret2_insert_repair,3672.4698187947333,,,,98.12078566700075
G0_ALNS_seed1,E_G0_REAUDIT,ALNS,1,62,4198,route_segment_removal+regret2_insert_repair,native_route_segment_removal+regret2_insert_repair,3661.433170357447,,,,98.20269879199986
G0_ALNS_seed1,E_G0_REAUDIT,ALNS,1,63,4309,route_segment_removal+regret2_insert_repair,native_route_segment_removal+regret2_insert_repair,3660.7863774825287,,,,98.83398945800218
G0_ALNS_seed1,E_G0_REAUDIT,ALNS,1,64,4334,route_segment_removal+regret2_insert_repair,native_route_segment_removal+regret2_insert_repair,3660.558041705205,,,,99.00135979200059
G0_ALNS_seed1,E_G0_REAUDIT,ALNS,1,65,4371,route_segment_removal+regret2_insert_repair,native_route_segment_removal+regret2_insert_repair,3656.8347305459934,,,,99.20712833300058
G0_ALNS_seed1,E_G0_REAUDIT,ALNS,1,66,4905,route_segment_removal+regret2_insert_repair,native_route_segment_removal+regret2_insert_repair,3654.0574711167997,,,,102.15457179200166
G0_ALNS_seed1,E_G0_REAUDIT,ALNS,1,67,5069,route_segment_removal+regret2_insert_repair,native_route_segment_removal+regret2_insert_repair,3652.967963980048,,,,103.05587658299919
G0_ALNS_seed1,E_G0_REAUDIT,ALNS,1,68,5200,route_segment_removal+regret2_insert_repair,native_route_segment_removal+regret2_insert_repair,3649.6607687649525,,,,103.79402641699926
G0_ALNS_seed1,E_G0_REAUDIT,ALNS,1,69,5588,route_segment_removal+regret2_insert_repair,native_route_segment_removal+regret2_insert_repair,3635.79338487781,,,,106.02221929200095
G0_ALNS_seed1,E_G0_REAUDIT,ALNS,1,70,6138,route_segment_removal+regret2_insert_repair,native_route_segment_removal+regret2_insert_repair,3632.633068540389,,,,108.99735766700178
G0_ALNS_seed1,E_G0_REAUDIT,ALNS,1,71,6224,route_segment_removal+regret2_insert_repair,native_route_segment_removal+regret2_insert_repair,3630.1118379310765,,,,109.46976154200092
G0_ALNS_seed2,E_G0_REAUDIT,ALNS,2,0,0,shared_warm_start,shared_warm_start,5803.553350198798,,22,458cd55f326d1abe7f92786b009298cb4dec22823df0cd1835ebe6c894b46a60,0.0
G0_ALNS_seed2,E_G0_REAUDIT,ALNS,2,1,0,common_flip_preprocess,common_flip_preprocess,5174.345121253789,5803.553350198798,22,7cc6d853424cabb63602f8e9157561513fd038792153be3eb53eab56e86f09d2,0.5914418329994078
