instance,seed,run_order,mother_objective,candidate_objective,relation,improvement_percent,verified_bks,candidate_gap_to_bks_percent,mother_iterations,candidate_iterations,mother_wall_seconds,candidate_wall_seconds,mother_independent_valid,candidate_independent_valid,mechanism_integrity,caps_ok,triggers,accepted_replacements,best_replacements,replacement_attempts,replacement_successes,segment_moves_applied,source_segments_considered,positions_shortlisted,route_evaluations,full_evaluations,hook_seconds,bank_seconds,final_strength
PR11B,1,mother>mpils_mvns_c2,4924488,4957307,loss,-0.666444917725457,4814803,2.9597057242009694,10854,5505,8.670418499968946,8.793190541968215,true,true,true,true,39,1,1,39,2,3,2080,12480,1514,44,0.006280364643316716,0.00433424994116649,3
PR17B,1,mpils_mvns_c2>mother,4902888,5020743,loss,-2.4037873188210703,4771155,5.231186159326201,10824,5164,8.67173304100288,8.751863582991064,true,true,true,true,38,3,0,38,4,4,1829,10974,1376,25,0.006716392235830426,0.004128831846173853,3
PR21B,1,mother>mpils_mvns_c2,5004542,5167663,loss,-3.259459107346886,4822337,7.160967804614236,9875,3883,8.759973708016332,8.69904283300275,true,true,true,true,28,0,0,28,0,0,1792,10752,1344,16,0.002643584623001516,0.0014715820434503257,1
