instance,algorithm,algorithm_label,eval,seed_count,mean_best_cost,median_best_cost,q10_best_cost,q90_best_cost
L-main-threeshift-25c-01,staged_hybrid_carbon_aware,Staged ALNS-LNS hybrid,0,10,1811.8374767193643,1811.8374767193643,1811.8374767193643,1811.8374767193643
L-main-threeshift-25c-01,staged_hybrid_carbon_aware,Staged ALNS-LNS hybrid,100,10,1309.2611895618597,1352.001366692338,1197.5510332855815,1380.2319174102201
L-main-threeshift-25c-01,staged_hybrid_carbon_aware,Staged ALNS-LNS hybrid,200,10,1197.7730823634397,1197.1268184590426,1173.7545744840022,1215.2364474416001
L-main-threeshift-25c-01,staged_hybrid_carbon_aware,Staged ALNS-LNS hybrid,300,10,1196.0226796468298,1195.8438543466668,1173.237171798507,1213.41447345405
L-main-threeshift-25c-01,staged_hybrid_carbon_aware,Staged ALNS-LNS hybrid,400,10,1195.0084572926119,1195.8438543466668,1169.886564243481,1213.41447345405
L-main-threeshift-25c-01,staged_hybrid_carbon_aware,Staged ALNS-LNS hybrid,500,10,1194.4874387696514,1195.8402572504333,1169.3662651397672,1213.41447345405
L-main-threeshift-25c-01,staged_hybrid_carbon_aware,Staged ALNS-LNS hybrid,600,10,1194.156238650304,1195.8402572504333,1169.0350650204198,1213.41447345405
L-main-threeshift-25c-01,staged_hybrid_carbon_aware,Staged ALNS-LNS hybrid,700,10,1194.0510592052142,1195.8402572504333,1168.9298855753298,1213.41447345405
L-main-threeshift-25c-01,staged_hybrid_carbon_aware,Staged ALNS-LNS hybrid,800,10,1194.0510592052142,1195.8402572504333,1168.9298855753298,1213.41447345405
L-main-threeshift-25c-01,staged_hybrid_carbon_aware,Staged ALNS-LNS hybrid,900,10,1193.2084858451378,1195.8402572504333,1168.9298855753298,1205.831313213364
L-main-threeshift-25c-01,staged_hybrid_carbon_aware,Staged ALNS-LNS hybrid,1000,10,1193.2084858451378,1195.8402572504333,1168.9298855753298,1205.831313213364
L-main-threeshift-25c-01,staged_hybrid_carbon_aware,Staged ALNS-LNS hybrid,1100,10,1193.2084858451378,1195.8402572504333,1168.9298855753298,1205.831313213364
L-main-threeshift-25c-01,staged_hybrid_carbon_aware,Staged ALNS-LNS hybrid,1200,10,1193.2084858451378,1195.8402572504333,1168.9298855753298,1205.831313213364
L-main-threeshift-25c-01,staged_hybrid_carbon_aware,Staged ALNS-LNS hybrid,1300,10,1193.2084858451378,1195.8402572504333,1168.9298855753298,1205.831313213364
L-main-threeshift-25c-01,staged_hybrid_carbon_aware,Staged ALNS-LNS hybrid,1400,10,1193.2084858451378,1195.8402572504333,1168.9298855753298,1205.831313213364
L-main-threeshift-25c-01,staged_hybrid_carbon_aware,Staged ALNS-LNS hybrid,1500,10,1193.2084858451378,1195.8402572504333,1168.9298855753298,1205.831313213364
L-main-threeshift-25c-01,staged_hybrid_carbon_aware,Staged ALNS-LNS hybrid,1600,10,1193.2084858451378,1195.8402572504333,1168.9298855753298,1205.831313213364
L-main-threeshift-25c-01,staged_hybrid_carbon_aware,Staged ALNS-LNS hybrid,1700,10,1193.2084858451378,1195.8402572504333,1168.9298855753298,1205.831313213364
L-main-threeshift-25c-01,staged_hybrid_carbon_aware,Staged ALNS-LNS hybrid,1800,10,1193.2084858451378,1195.8402572504333,1168.9298855753298,1205.831313213364
L-main-threeshift-25c-01,staged_hybrid_carbon_aware,Staged ALNS-LNS hybrid,1900,10,1189.853466611107,1190.5871471274384,1162.6438816192642,1205.831313213364
L-main-threeshift-25c-01,staged_hybrid_carbon_aware,Staged ALNS-LNS hybrid,2000,10,1189.853466611107,1190.5871471274384,1162.6438816192642,1205.831313213364
L-main-threeshift-25c-01,staged_hybrid_carbon_aware,Staged ALNS-LNS hybrid,2100,10,1189.853466611107,1190.5871471274384,1162.6438816192642,1205.831313213364
L-main-threeshift-25c-01,staged_hybrid_carbon_aware,Staged ALNS-LNS hybrid,2200,10,1189.853466611107,1190.5871471274384,1162.6438816192642,1205.831313213364
L-main-threeshift-25c-01,staged_hybrid_carbon_aware,Staged ALNS-LNS hybrid,2300,10,1189.853466611107,1190.5871471274384,1162.6438816192642,1205.831313213364
L-main-threeshift-25c-01,staged_hybrid_carbon_aware,Staged ALNS-LNS hybrid,2400,10,1189.853466611107,1190.5871471274384,1162.6438816192642,1205.831313213364
L-main-threeshift-25c-01,staged_hybrid_carbon_aware,Staged ALNS-LNS hybrid,2500,10,1188.92106466928,1190.5871471274384,1154.2522641428195,1205.831313213364
L-main-threeshift-25c-01,staged_hybrid_carbon_aware,Staged ALNS-LNS hybrid,2600,10,1188.92106466928,1190.5871471274384,1154.2522641428195,1205.831313213364
L-main-threeshift-25c-01,staged_hybrid_carbon_aware,Staged ALNS-LNS hybrid,2700,10,1188.92106466928,1190.5871471274384,1154.2522641428195,1205.831313213364
L-main-threeshift-25c-01,staged_hybrid_carbon_aware,Staged ALNS-LNS hybrid,2800,10,1188.92106466928,1190.5871471274384,1154.2522641428195,1205.831313213364
L-main-threeshift-25c-01,staged_hybrid_carbon_aware,Staged ALNS-LNS hybrid,2900,10,1188.92106466928,1190.5871471274384,1154.2522641428195,1205.831313213364
L-main-threeshift-25c-01,staged_hybrid_carbon_aware,Staged ALNS-LNS hybrid,3000,10,1187.3372069939235,1190.5871471274384,1154.2522641428195,1204.2474555380074
L-main-threeshift-25c-01,staged_hybrid_carbon_aware,Staged ALNS-LNS hybrid,3100,10,1187.3372069939235,1190.5871471274384,1154.2522641428195,1204.2474555380074
L-main-threeshift-25c-01,staged_hybrid_carbon_aware,Staged ALNS-LNS hybrid,3200,10,1187.3372069939235,1190.5871471274384,1154.2522641428195,1204.2474555380074
L-main-threeshift-25c-01,staged_hybrid_carbon_aware,Staged ALNS-LNS hybrid,3300,10,1187.3372069939235,1190.5871471274384,1154.2522641428195,1204.2474555380074
L-main-threeshift-25c-01,staged_hybrid_carbon_aware,Staged ALNS-LNS hybrid,3400,10,1187.3372069939235,1190.5871471274384,1154.2522641428195,1204.2474555380074
L-main-threeshift-25c-01,staged_hybrid_carbon_aware,Staged ALNS-LNS hybrid,3500,10,1187.3372069939235,1190.5871471274384,1154.2522641428195,1204.2474555380074
L-main-threeshift-25c-01,staged_hybrid_carbon_aware,Staged ALNS-LNS hybrid,3600,10,1187.3372069939235,1190.5871471274384,1154.2522641428195,1204.2474555380074
L-main-threeshift-25c-01,staged_hybrid_carbon_aware,Staged ALNS-LNS hybrid,3700,10,1187.0873056534626,1190.5871471274384,1154.2522641428195,1203.9975541975466
L-main-threeshift-25c-01,staged_hybrid_carbon_aware,Staged ALNS-LNS hybrid,3800,10,1186.7225924349993,1190.5871471274384,1154.2522641428195,1203.6328409790833
L-main-threeshift-25c-01,staged_hybrid_carbon_aware,Staged ALNS-LNS hybrid,3900,10,1186.7225924349993,1190.5871471274384,1154.2522641428195,1203.6328409790833
L-main-threeshift-25c-01,staged_hybrid_carbon_aware,Staged ALNS-LNS hybrid,4000,10,1186.7225924349993,1190.5871471274384,1154.2522641428195,1203.6328409790833
L-main-threeshift-25c-01,GA,GA,0,10,1811.8374767193643,1811.8374767193643,1811.8374767193643,1811.8374767193643
