iterations,seed,view,status,proxy_best_cost,proxy_best_is_feasible,proxy_initial_best_cost,proxy_improvement,min_pop_size,warm_native_count,random_count,archive_candidate_count,exact_elite_count,sp_route_pool_size,sp_improved_over_parent,selected_source,objective_float_hex,total_cost_cny,route_structure_sha256,charging_structure_sha256,dispatched_cv,dispatched_ev,route_count,complete_candidate_evaluation_attempts,hgs_iterations_by_view,stop_reasons_by_view,elapsed_seconds,failure_reason
100,1,cv_only,PASS,0x1.9499700000000p+21,true,0x1.98ef7a0000000p+25,0x1.7fa5e30000000p+25,25,0,25,1,1,18,false,best_exact_hgs_parent,0x1.1d2064a7ab27dp+12,4562.024573963715,16259adedecdf47b932ddb581e3437b14d8d8941426623e56ce1c88026755bb5,4486a90585abede9353f08a410ffa5b2187e623205ee280ff158ed695d44e4bc,8,4,18,80,"{""cv_only"":100,""mechanism_ev"":100,""naive_ev"":100}","{""cv_only"":""MAX_ITERATIONS"",""mechanism_ev"":""MAX_ITERATIONS"",""naive_ev"":""MAX_ITERATIONS""}",26.486992916907184,
100,1,naive_ev,PASS,0x1.32a8e00000000p+20,true,0x1.2cb9750000000p+25,0x1.23242e0000000p+25,25,0,25,1,1,18,false,best_exact_hgs_parent,0x1.1d2064a7ab27dp+12,4562.024573963715,16259adedecdf47b932ddb581e3437b14d8d8941426623e56ce1c88026755bb5,4486a90585abede9353f08a410ffa5b2187e623205ee280ff158ed695d44e4bc,8,4,18,80,"{""cv_only"":100,""mechanism_ev"":100,""naive_ev"":100}","{""cv_only"":""MAX_ITERATIONS"",""mechanism_ev"":""MAX_ITERATIONS"",""naive_ev"":""MAX_ITERATIONS""}",26.486992916907184,
100,1,mechanism_ev,PASS,0x1.11be700000000p+20,true,0x1.1873f18000000p+25,0x1.0fe5fe0000000p+25,25,0,25,1,1,18,false,best_exact_hgs_parent,0x1.1d2064a7ab27dp+12,4562.024573963715,16259adedecdf47b932ddb581e3437b14d8d8941426623e56ce1c88026755bb5,4486a90585abede9353f08a410ffa5b2187e623205ee280ff158ed695d44e4bc,8,4,18,80,"{""cv_only"":100,""mechanism_ev"":100,""naive_ev"":100}","{""cv_only"":""MAX_ITERATIONS"",""mechanism_ev"":""MAX_ITERATIONS"",""naive_ev"":""MAX_ITERATIONS""}",26.486992916907184,
100,2,cv_only,PASS,0x1.92d2680000000p+21,true,0x1.7afc880000000p+25,0x1.61cf618000000p+25,25,0,25,1,1,18,false,best_exact_hgs_parent,0x1.1d2064a7ab27dp+12,4562.024573963715,16259adedecdf47b932ddb581e3437b14d8d8941426623e56ce1c88026755bb5,4486a90585abede9353f08a410ffa5b2187e623205ee280ff158ed695d44e4bc,8,4,18,80,"{""cv_only"":100,""mechanism_ev"":100,""naive_ev"":100}","{""cv_only"":""MAX_ITERATIONS"",""mechanism_ev"":""MAX_ITERATIONS"",""naive_ev"":""MAX_ITERATIONS""}",26.487608541036025,
100,2,naive_ev,PASS,0x1.ad94d00000000p+20,true,0x1.3005a28000000p+25,0x1.2298fc0000000p+25,25,0,25,1,1,18,false,best_exact_hgs_parent,0x1.1d2064a7ab27dp+12,4562.024573963715,16259adedecdf47b932ddb581e3437b14d8d8941426623e56ce1c88026755bb5,4486a90585abede9353f08a410ffa5b2187e623205ee280ff158ed695d44e4bc,8,4,18,80,"{""cv_only"":100,""mechanism_ev"":100,""naive_ev"":100}","{""cv_only"":""MAX_ITERATIONS"",""mechanism_ev"":""MAX_ITERATIONS"",""naive_ev"":""MAX_ITERATIONS""}",26.487608541036025,
100,2,mechanism_ev,PASS,0x1.50ff100000000p+20,true,0x1.1ed3398000000p+25,0x1.144b410000000p+25,25,0,25,1,1,18,false,best_exact_hgs_parent,0x1.1d2064a7ab27dp+12,4562.024573963715,16259adedecdf47b932ddb581e3437b14d8d8941426623e56ce1c88026755bb5,4486a90585abede9353f08a410ffa5b2187e623205ee280ff158ed695d44e4bc,8,4,18,80,"{""cv_only"":100,""mechanism_ev"":100,""naive_ev"":100}","{""cv_only"":""MAX_ITERATIONS"",""mechanism_ev"":""MAX_ITERATIONS"",""naive_ev"":""MAX_ITERATIONS""}",26.487608541036025,
1000,1,cv_only,PASS,0x1.202d300000000p+21,true,0x1.98ef7a0000000p+25,0x1.86eca70000000p+25,25,0,25,1,1,18,false,best_exact_hgs_parent,0x1.1d2064a7ab27dp+12,4562.024573963715,16259adedecdf47b932ddb581e3437b14d8d8941426623e56ce1c88026755bb5,4486a90585abede9353f08a410ffa5b2187e623205ee280ff158ed695d44e4bc,8,4,18,80,"{""cv_only"":1000,""mechanism_ev"":1000,""naive_ev"":1000}","{""cv_only"":""MAX_ITERATIONS"",""mechanism_ev"":""MAX_ITERATIONS"",""naive_ev"":""MAX_ITERATIONS""}",53.173186791012995,
1000,1,naive_ev,PASS,0x1.2c04200000000p+20,true,0x1.2cb9750000000p+25,0x1.2359540000000p+25,25,0,25,1,1,18,false,best_exact_hgs_parent,0x1.1d2064a7ab27dp+12,4562.024573963715,16259adedecdf47b932ddb581e3437b14d8d8941426623e56ce1c88026755bb5,4486a90585abede9353f08a410ffa5b2187e623205ee280ff158ed695d44e4bc,8,4,18,80,"{""cv_only"":1000,""mechanism_ev"":1000,""naive_ev"":1000}","{""cv_only"":""MAX_ITERATIONS"",""mechanism_ev"":""MAX_ITERATIONS"",""naive_ev"":""MAX_ITERATIONS""}",53.173186791012995,
1000,1,mechanism_ev,PASS,0x1.0181100000000p+20,true,0x1.1873f18000000p+25,0x1.1067e90000000p+25,25,0,25,1,1,18,false,best_exact_hgs_parent,0x1.1d2064a7ab27dp+12,4562.024573963715,16259adedecdf47b932ddb581e3437b14d8d8941426623e56ce1c88026755bb5,4486a90585abede9353f08a410ffa5b2187e623205ee280ff158ed695d44e4bc,8,4,18,80,"{""cv_only"":1000,""mechanism_ev"":1000,""naive_ev"":1000}","{""cv_only"":""MAX_ITERATIONS"",""mechanism_ev"":""MAX_ITERATIONS"",""naive_ev"":""MAX_ITERATIONS""}",53.173186791012995,
1000,2,cv_only,PASS,0x1.1fd0480000000p+21,true,0x1.7afc880000000p+25,0x1.68ff838000000p+25,25,0,25,1,1,18,false,best_exact_hgs_parent,0x1.1d2064a7ab27dp+12,4562.024573963715,16259adedecdf47b932ddb581e3437b14d8d8941426623e56ce1c88026755bb5,4486a90585abede9353f08a410ffa5b2187e623205ee280ff158ed695d44e4bc,8,4,18,80,"{""cv_only"":1000,""mechanism_ev"":1000,""naive_ev"":1000}","{""cv_only"":""MAX_ITERATIONS"",""mechanism_ev"":""MAX_ITERATIONS"",""naive_ev"":""MAX_ITERATIONS""}",53.9728840830503,
