algorithm,selected_seed,sealed_final_cost,rerun_final_cost,final_cost_equal,hgs_iterations,curve_point_count,offline_snapshot_count,offline_valid_count,offline_infeasible_count,offline_error_count
HGS-F,1,2574.660505687653,2574.660505687653,True,5000,5,5,5,0,0
HGS-E,8,2594.1291282681514,2594.1291282681514,True,5000,3,12,12,0,0
HGS-M,2,2597.597031380586,2597.597031380586,True,5000,2,16,16,0,0
MV-HGS-SP,1,2574.660505687653,2574.660505687653,True,15000,5,26,26,0,0
