carbon_tier,category,instance,right_algorithm,pair_count,carbon_e_total_all_lower,carbon_cost_carbon_all_lower,carbon_cost_within_one_percent_all,carbon_best_cost_not_worse_all,mean_carbon_best_cost,mean_right_best_cost,mean_carbon_E_total,mean_right_E_total,mean_carbon_cost_carbon,mean_right_cost_carbon
Tier1,threeshift,e2-threeshift-150c-02,alns_e2_carbon_ablation,3,False,False,False,False,3537.2661730544046,3523.7568482306197,1084.9123166212182,1056.7405903359452,54.61448601871213,53.19632131751148
Tier1,threeshift,e2-threeshift-200c-02,alns_e2_carbon_ablation,3,False,False,False,False,4538.127565277276,4374.864524563585,1216.282688357112,1120.670483542904,61.22767053189702,56.41455214154979
Tier1,threeshift,e2-threeshift-200c-03,alns_e2_carbon_ablation,3,False,False,False,False,4528.753427348069,4481.788661743042,1203.5494788064364,1137.8774493151593,60.58668076311601,57.28075079852512
