tier_scope,carbon_tier,category,instance,size,bundle_dir,selection_reason
Tier1,Tier1,threeshift,e2-threeshift-150c-02,150,models/data_bundle/generated_instances/e2_benchmark/threeshift/e2-threeshift-150c-02,EV/charging structure enriched Goeke80 three-shift diagnostic instance
Tier1,Tier1,threeshift,e2-threeshift-200c-02,200,models/data_bundle/generated_instances/e2_benchmark/threeshift/e2-threeshift-200c-02,EV/charging structure enriched Goeke80 three-shift diagnostic instance
Tier1,Tier1,threeshift,e2-threeshift-200c-03,200,models/data_bundle/generated_instances/e2_benchmark/threeshift/e2-threeshift-200c-03,EV/charging structure enriched Goeke80 three-shift diagnostic instance
