instance,algorithm,seed,label,seconds,count
e2-threeshift-200c-03,t3_main_alns,1,destroy:worst_customer_removal,0.004503377043874934,9.0
e2-threeshift-200c-03,alns_e2_carbon_ablation,1,destroy:worst_carbon_removal,0.004112002017791383,8.0
e2-threeshift-200c-03,alns_e2_carbon_ablation,1,destroy:worst_customer_removal,0.00383391699870117,8.0
e2-threeshift-200c-03,alns_e2_carbon,1,destroy:whole_route_removal,0.0038258749700617045,8.0
e2-threeshift-200c-03,alns_e2_carbon_ablation,1,destroy:whole_route_removal,0.0037925010110484436,8.0
e2-threeshift-200c-03,alns_e2_carbon,1,destroy:worst_customer_removal,0.003745749985682778,8.0
e2-threeshift-200c-03,alns_e2_carbon_ablation,1,final_check,0.002397459000349045,1.0
e2-threeshift-200c-03,alns_e2_carbon,1,final_check,0.0021294170001056045,1.0
e2-threeshift-200c-03,t3_main_alns,1,final_check,0.0020597080001607537,1.0
e2-threeshift-200c-03,alns_e2_carbon,1,initial_reference_score,0.0012605829979293048,1.0
e2-threeshift-200c-03,t3_main_alns,1,initial_reference_score,0.0012189580011181533,1.0
e2-threeshift-200c-03,alns_e2_carbon_ablation,1,initial_reference_score,0.001205375010613352,1.0
