run_id,phase,algorithm,display_algorithm,category,instance,seed,best_cost,common_lift,native_lift,flip_lift,native_best_updates,route_count_unique
E_CARBON_TIER1__formal_goeke80__threeshift__e2-threeshift-150c-02__alns_e2_carbon__seed1,E_CARBON_TIER1,alns_e2_carbon,alns_e2_carbon,threeshift,e2-threeshift-150c-02,1,3630.5130760186526,0.0,1428.488418467064,0,78,1
E_CARBON_TIER1__formal_goeke80__threeshift__e2-threeshift-150c-02__alns_e2_carbon__seed2,E_CARBON_TIER1,alns_e2_carbon,alns_e2_carbon,threeshift,e2-threeshift-150c-02,2,3536.90913953259,0.0,1522.0923549531267,0,67,1
E_CARBON_TIER1__formal_goeke80__threeshift__e2-threeshift-150c-02__alns_e2_carbon__seed3,E_CARBON_TIER1,alns_e2_carbon,alns_e2_carbon,threeshift,e2-threeshift-150c-02,3,3444.376303611971,0.0,1614.6251908737459,0,66,1
E_CARBON_TIER1__formal_goeke80__threeshift__e2-threeshift-150c-02__alns_e2_carbon_ablation__seed1,E_CARBON_TIER1,alns_e2_carbon_ablation,alns_e2_carbon_ablation,threeshift,e2-threeshift-150c-02,1,3589.9851015472987,0.0,1469.016392938418,0,83,1
E_CARBON_TIER1__formal_goeke80__threeshift__e2-threeshift-150c-02__alns_e2_carbon_ablation__seed2,E_CARBON_TIER1,alns_e2_carbon_ablation,alns_e2_carbon_ablation,threeshift,e2-threeshift-150c-02,2,3536.90913953259,0.0,1522.0923549531267,0,67,1
E_CARBON_TIER1__formal_goeke80__threeshift__e2-threeshift-150c-02__alns_e2_carbon_ablation__seed3,E_CARBON_TIER1,alns_e2_carbon_ablation,alns_e2_carbon_ablation,threeshift,e2-threeshift-150c-02,3,3444.376303611971,0.0,1614.6251908737459,0,66,1
E_CARBON_TIER1__formal_goeke80__threeshift__e2-threeshift-150c-02__t3_main_alns__seed1,E_CARBON_TIER1,t3_main_alns,alns_e2_throughput+LOCAL_SEARCH,threeshift,e2-threeshift-150c-02,1,3511.288783892367,0.0,1547.7127105933496,0,95,1
E_CARBON_TIER1__formal_goeke80__threeshift__e2-threeshift-150c-02__t3_main_alns__seed2,E_CARBON_TIER1,t3_main_alns,alns_e2_throughput+LOCAL_SEARCH,threeshift,e2-threeshift-150c-02,2,3454.81396231612,0.0,1604.1875321695966,0,55,1
E_CARBON_TIER1__formal_goeke80__threeshift__e2-threeshift-150c-02__t3_main_alns__seed3,E_CARBON_TIER1,t3_main_alns,alns_e2_throughput+LOCAL_SEARCH,threeshift,e2-threeshift-150c-02,3,3464.1699469960395,0.0,1594.8315474896772,0,66,1
E_CARBON_TIER1__formal_goeke80__threeshift__e2-threeshift-200c-02__alns_e2_carbon__seed1,E_CARBON_TIER1,alns_e2_carbon,alns_e2_carbon,threeshift,e2-threeshift-200c-02,1,4976.038182675772,0.0,1391.3972955957752,0,120,1
