task_id,instance_id,arm,start_cost,selected_customers,selected_customer_count,route_indices,old_pair_cost,worker_pid,worker_module_file,worker_cwd,peak_rss_mib,real_neighborhood_search_launched
JRC-G0__cn-cy-25c-01-V2-LOCATIONS__AB_HGS_EXACT_NH,cn-cy-25c-01-V2-LOCATIONS,AB_HGS_EXACT_NH,1287.1206743588011,"['C008', 'C001', 'C007', 'C020', 'C009', 'C018', 'C012', 'C006']",8,"[1, 3]",581.886942827913,46278,/Volumes/移动硬盘（512G）/ReSETP/baselines/algorithm_prototypes/joint_route_charge_exact_neighborhood_20260725/engineering_worker_v2.py,/Volumes/移动硬盘（512G）/ReSETP,52.40625,False
JRC-G0__cn-cy-25c-01-V2-LOCATIONS__B_EXACT_NH,cn-cy-25c-01-V2-LOCATIONS,B_EXACT_NH,1637.3212660504635,"['C008', 'C009', 'C004', 'C022', 'C021', 'C020', 'C001', 'C017']",8,"[1, 2]",850.1704650326876,46279,/Volumes/移动硬盘（512G）/ReSETP/baselines/algorithm_prototypes/joint_route_charge_exact_neighborhood_20260725/engineering_worker_v2.py,/Volumes/移动硬盘（512G）/ReSETP,52.046875,False
JRC-G0__cn-jjj-150c-03-V2-LOCATIONS__AB_HGS_EXACT_NH,cn-jjj-150c-03-V2-LOCATIONS,AB_HGS_EXACT_NH,7260.371109289286,"['C036', 'C015', 'C082', 'C093', 'C121', 'C150', 'C149', 'C147']",8,"[21, 23]",528.9057381076422,46282,/Volumes/移动硬盘（512G）/ReSETP/baselines/algorithm_prototypes/joint_route_charge_exact_neighborhood_20260725/engineering_worker_v2.py,/Volumes/移动硬盘（512G）/ReSETP,58.1875,False
JRC-G0__cn-jjj-150c-03-V2-LOCATIONS__B_EXACT_NH,cn-jjj-150c-03-V2-LOCATIONS,B_EXACT_NH,8767.664472536959,"['C053', 'C047', 'C006', 'C016', 'C131', 'C146', 'C140', 'C128']",8,"[7, 22]",643.0309424541822,46281,/Volumes/移动硬盘（512G）/ReSETP/baselines/algorithm_prototypes/joint_route_charge_exact_neighborhood_20260725/engineering_worker_v2.py,/Volumes/移动硬盘（512G）/ReSETP,60.046875,False
JRC-G0__cn-prd-75c-03-V2-LOCATIONS__AB_HGS_EXACT_NH,cn-prd-75c-03-V2-LOCATIONS,AB_HGS_EXACT_NH,3935.78265565653,"['C011', 'C030', 'C032', 'C006', 'C053', 'C062', 'C044', 'C067']",8,"[0, 13]",513.8832969550485,46280,/Volumes/移动硬盘（512G）/ReSETP/baselines/algorithm_prototypes/joint_route_charge_exact_neighborhood_20260725/engineering_worker_v2.py,/Volumes/移动硬盘（512G）/ReSETP,54.015625,False
JRC-G0__cn-prd-75c-03-V2-LOCATIONS__B_EXACT_NH,cn-prd-75c-03-V2-LOCATIONS,B_EXACT_NH,4315.233520443723,"['C018', 'C026', 'C009', 'C027', 'C037', 'C062', 'C040', 'C053']",8,"[4, 7]",638.8360928655667,46277,/Volumes/移动硬盘（512G）/ReSETP/baselines/algorithm_prototypes/joint_route_charge_exact_neighborhood_20260725/engineering_worker_v2.py,/Volumes/移动硬盘（512G）/ReSETP,54.015625,False
