instance,arm,seed,requested_iterations,iterations,runtime_seconds,cost,route_sha256,complete,feasible,completed_clients,total_clients,completed_delivery,total_delivery,no_duplicate_clients,compound_calls,compound_accepted_calls,compound_route_slot_evaluations,compound_rotations_evaluated,compound_assignments_changed,compound_rotations_changed,compound_runtime_seconds
PR11A,copied_loop,11,1000,1000,20.870830708008725,6952,90137d50b8382e557f96d7e84b63b004264ca2e2d2da0629ad96359ee3ef5f2d,True,True,360,360,4806,4806,True,0,0,0,0,0,0,0.0
PR11A,integrated_with_compound,11,1000,1000,21.1383917920175,6945,e58166afa70c01bea9fb280b803443adfccd30d88393e83089965146fdc5026b,True,True,360,360,4806,4806,True,688,260,910320,990720,487,11,3.575082164898049
PR11B,copied_loop,11,1000,1000,20.44169316702755,4980,3ece9393d5cc920c4b18d16ba760c0fa0c8c2ea9bf65919fa52b425b5da56272,True,True,360,360,4700,4700,True,0,0,0,0,0,0,0.0
PR11B,integrated_with_compound,11,1000,1000,18.69246537500294,4925,2ba0b3cb49774b2f5b9e003ab90f21ded02f032a91de4b03e16c1240fc7b6494,True,True,360,360,4700,4700,True,601,145,504672,865440,207,35,3.1366494190879166
PR12A,copied_loop,11,1000,1000,28.37841483298689,8522,a33c0397c9c367381c0847ce9d32346925e93a68a3af80aa5704c4ac2aed58ad,True,True,480,480,6378,6378,True,0,0,0,0,0,0,0.0
PR12A,integrated_with_compound,11,1000,1000,32.968208875041455,8456,e1c12908028550757c4d80da14c53ed2c867f3692b70983e5366d8fea84d5c27,True,True,480,480,6378,6378,True,909,369,1971216,1745280,667,0,6.2794685018016025
PR12B,copied_loop,11,1000,1000,25.7153291249997,6214,30e27860a537be20ed25eca9afee81ebbba887617d9f2670304bfb5f77e456f9,True,True,480,480,6173,6173,True,0,0,0,0,0,0,0.0
PR12B,integrated_with_compound,11,1000,1000,27.938471957982983,6200,6d003df6da81cab99fa1d10f8f5c84a65c73955bd96d7f4b844b7c897bb02775,True,True,480,480,6173,6173,True,659,189,1005532,1265280,268,32,4.773390473332256
PR13A,copied_loop,11,1000,1000,37.43345100001898,10069,2a1128850fcd6414288dddeb9d86c1be6ec4b09ba1d39769bd8650398a262b91,True,True,600,600,7846,7846,True,0,0,0,0,0,0,0.0
PR13A,integrated_with_compound,11,1000,1000,47.14937925001141,9922,57787e1013d3b98ac46ddb3f13a14c2cd05e15cf27bc16d3235ee6a17bf85f99,True,True,600,600,7846,7846,True,793,306,2558272,1903200,604,5,7.140714499459136
PR13B,copied_loop,11,1000,1000,35.09403945796657,7581,d8bf379cbc2f44850f4a52dfba7a69e9d7eadb023213a29aae861e0e8624d41f,True,True,600,600,7506,7506,True,0,0,0,0,0,0,0.0
PR13B,integrated_with_compound,11,1000,1000,40.778455874999054,7449,635b6e47105b8d59bf7625ccf65797cd58b81cb0d1e789dd37259b43f0fa0100,True,True,600,600,7506,7506,True,692,218,1659056,1660800,344,54,6.328075731697027
PR14A,copied_loop,11,1000,1000,48.705132583971135,11539,d3bab2c68267eab0daaed8e70625e4ff8105a20b1ea26abc7e6b79b352cfb7bd,True,True,720,720,9408,9408,True,0,0,0,0,0,0,0.0
PR14A,integrated_with_compound,11,1000,1000,68.31089262501337,11608,cfbe59d9a35f1c28d78cfb1e8861885ee0950032ed53a91c0f1fb69675d9c8af,True,True,720,720,9408,9408,True,835,344,3865208,2404800,792,0,8.77330970816547
PR14B,copied_loop,11,1000,1000,47.259804582979996,9065,b357dcbb3f093b1e53b0ab62a6673603779cd8a141fe3955b7b4b22d6c9514c4,True,True,720,720,9354,9354,True,0,0,0,0,0,0,0.0
PR14B,integrated_with_compound,11,1000,1000,53.50690174999181,8993,ffdd6346f3b97e636e8504ff6bd23450fab3c085e0249155a06607f77d746473,True,True,720,720,9354,9354,True,684,205,2489956,1969920,333,48,7.370417131867725
PR15A,copied_loop,11,1000,1000,70.38887979200808,13499,4ee2aae4230b8a08bf552254aacef201c6f0ec32575b577bca807a1324ff8672,True,True,840,840,10996,10996,True,0,0,0,0,0,0,0.0
PR15A,integrated_with_compound,11,1000,1000,79.92405395803507,13460,a45df708707af46757d4b04f5929b1969ed3583276fc832f9a295e654eee7de1,True,True,840,840,10996,10996,True,808,335,5128552,2714880,782,1,9.780420199211221
PR15B,copied_loop,11,1000,1000,64.45097533398075,10807,b397561986d087e79409cec779d0b4b833674279d49adef9f523b6adb72d539d,True,True,840,840,11056,11056,True,0,0,0,0,0,0,0.0
