calibration_dir,eval_budget,block_size,num_actors,completed_episodes,train_wall_time_seconds,episodes_per_hour,projected_episodes,max_system_memory_used_mb,max_worker_rss_mb,zero_violations,worker_ok,numpy_ok
solver/reports/dr_alns_ppo_v3_block_dr_alns/async_pilot/pilot07/calibration_budget1500_block32_actors8,1500,32,8,10,900.2179999999935,40.0201879614827,120.0605638844481,13759.9140625,328.828125,True,True,True
solver/reports/dr_alns_ppo_v3_block_dr_alns/async_pilot/pilot07/calibration_budget1500_block64_actors6,1500,64,6,8,636.8899999999994,45.26636426220565,135.79909278661694,11612.5078125,239.640625,True,True,True
solver/reports/dr_alns_ppo_v3_block_dr_alns/async_pilot/pilot07/calibration_budget3000_block64_actors6,3000,64,6,6,861.5939999999973,25.087108013937282,75.26132404181185,11133.38671875,244.84765625,True,True,True
