phase,instance,config,seed,runtime_budget_seconds,objective,bks,gap_percent,iterations,solver_runtime_seconds,end_to_end_seconds,complete,feasible,independent_valid,adaptive_updates,sample_seconds,final_strength,route_calls,route_improvements
development,PR11A,foundation,3,30.0,6747346,6655548,1.3792703470848682,28306,30.00049541599583,30.28708237502724,True,True,True,0,0.0,,58,7
development,PR17A,foundation,3,30.0,6356087,6292594,1.0090115459538627,29064,30.000339167017955,30.28750483301701,True,True,True,0,0.0,,45,4
development,PR11A,adaptive_d20_10,3,30.0,6766500,6655548,1.6670603232070447,16363,30.000130625034217,30.296481875004247,True,True,True,545,0.4355577700189315,20,49,6
development,PR17A,adaptive_d20_10,3,30.0,6378058,6292594,1.3581680305451138,16331,30.000953792012297,30.301092833979055,True,True,True,544,0.43445277359569445,30,37,2
development,PR11A,adaptive_d30_15,3,30.0,6869341,6655548,3.21225239454362,13222,30.00594204099616,30.30973541602725,True,True,True,440,0.3456180702778511,16,23,3
development,PR11A,adaptive_da30_15,3,30.0,6798841,6655548,2.1529857496332383,12656,30.001790249953046,30.31531354098115,True,True,True,421,0.34160214103758335,16,20,2
development,PR17A,adaptive_da30_15,3,30.0,6347665,6292594,0.875171670061663,12125,30.0009635000024,30.693434457993135,True,True,True,404,0.3355018482543528,25,28,0
development,PR17A,adaptive_d30_15,3,30.0,6426742,6292594,2.1318394290176674,12665,30.000175583991222,30.71860070899129,True,True,True,422,0.3559827620629221,12,24,2
development,PR21A,foundation,3,30.0,6293521,6230046,1.0188528303001294,29115,30.002695582981687,30.712469916034024,True,True,True,0,0.0,,68,1
development,PR21A,adaptive_da30_15,3,30.0,6384427,6230046,2.4780073854992404,11610,30.001367749995552,30.70892249996541,True,True,True,387,0.3831002074875869,25,20,1
development,PR21A,adaptive_d30_15,3,30.0,6402886,6230046,2.7742973326360674,12489,30.000795667001512,30.717846957966685,True,True,True,416,0.3999509204295464,25,21,3
development,PR21A,adaptive_d20_10,3,30.0,6337353,6230046,1.7224110383775657,16023,30.002226957993116,30.725980624963995,True,True,True,534,0.5261796332197264,25,31,2
