algorithm,category,eval_budget,instance,prior_status,queue_action,replicate,runtime_cap_seconds,seed,size,stage
alns_e2_throughput,vanilla,3000,e2-vanilla-10c-01,,PENDING,1,180.0,1,10,stage_a
LNS,vanilla,3000,e2-vanilla-10c-01,,PENDING,1,180.0,1,10,stage_a
alns_e2_throughput,vanilla,3000,e2-vanilla-10c-01,,PENDING,1,180.0,2,10,stage_a
LNS,vanilla,3000,e2-vanilla-10c-01,,PENDING,1,180.0,2,10,stage_a
alns_e2_throughput,vanilla,3000,e2-vanilla-10c-01,,PENDING,1,180.0,3,10,stage_a
LNS,vanilla,3000,e2-vanilla-10c-01,,PENDING,1,180.0,3,10,stage_a
alns_e2_throughput,vanilla,3000,e2-vanilla-15c-01,,PENDING,1,180.0,1,15,stage_a
LNS,vanilla,3000,e2-vanilla-15c-01,,PENDING,1,180.0,1,15,stage_a
alns_e2_throughput,vanilla,3000,e2-vanilla-15c-01,,PENDING,1,180.0,2,15,stage_a
LNS,vanilla,3000,e2-vanilla-15c-01,,PENDING,1,180.0,2,15,stage_a
alns_e2_throughput,vanilla,3000,e2-vanilla-15c-01,,PENDING,1,180.0,3,15,stage_a
LNS,vanilla,3000,e2-vanilla-15c-01,,PENDING,1,180.0,3,15,stage_a
alns_e2_throughput,vanilla,3000,e2-vanilla-20c-01,,PENDING,1,180.0,1,20,stage_a
LNS,vanilla,3000,e2-vanilla-20c-01,,PENDING,1,180.0,1,20,stage_a
alns_e2_throughput,vanilla,3000,e2-vanilla-20c-01,,PENDING,1,180.0,2,20,stage_a
LNS,vanilla,3000,e2-vanilla-20c-01,,PENDING,1,180.0,2,20,stage_a
alns_e2_throughput,vanilla,3000,e2-vanilla-20c-01,,PENDING,1,180.0,3,20,stage_a
LNS,vanilla,3000,e2-vanilla-20c-01,,PENDING,1,180.0,3,20,stage_a
alns_e2_throughput,vanilla,3000,e2-vanilla-25c-01,,PENDING,1,180.0,1,25,stage_a
LNS,vanilla,3000,e2-vanilla-25c-01,,PENDING,1,180.0,1,25,stage_a
alns_e2_throughput,vanilla,3000,e2-vanilla-25c-01,,PENDING,1,180.0,2,25,stage_a
LNS,vanilla,3000,e2-vanilla-25c-01,,PENDING,1,180.0,2,25,stage_a
alns_e2_throughput,vanilla,3000,e2-vanilla-25c-01,,PENDING,1,180.0,3,25,stage_a
LNS,vanilla,3000,e2-vanilla-25c-01,,PENDING,1,180.0,3,25,stage_a
alns_e2_throughput,vanilla,3000,e2-vanilla-50c-01,,PENDING,1,240.0,1,50,stage_a
LNS,vanilla,3000,e2-vanilla-50c-01,,PENDING,1,240.0,1,50,stage_a
alns_e2_throughput,vanilla,3000,e2-vanilla-50c-01,,PENDING,1,240.0,2,50,stage_a
LNS,vanilla,3000,e2-vanilla-50c-01,,PENDING,1,240.0,2,50,stage_a
alns_e2_throughput,vanilla,3000,e2-vanilla-50c-01,,PENDING,1,240.0,3,50,stage_a
LNS,vanilla,3000,e2-vanilla-50c-01,,PENDING,1,240.0,3,50,stage_a
alns_e2_throughput,vanilla,3000,e2-vanilla-75c-01,,PENDING,1,240.0,1,75,stage_a
LNS,vanilla,3000,e2-vanilla-75c-01,,PENDING,1,240.0,1,75,stage_a
alns_e2_throughput,vanilla,3000,e2-vanilla-75c-01,,PENDING,1,240.0,2,75,stage_a
LNS,vanilla,3000,e2-vanilla-75c-01,,PENDING,1,240.0,2,75,stage_a
alns_e2_throughput,vanilla,3000,e2-vanilla-75c-01,,PENDING,1,240.0,3,75,stage_a
LNS,vanilla,3000,e2-vanilla-75c-01,,PENDING,1,240.0,3,75,stage_a
alns_e2_throughput,vanilla,3000,e2-vanilla-100c-01,,PENDING,1,300.0,1,100,stage_a
LNS,vanilla,3000,e2-vanilla-100c-01,,PENDING,1,300.0,1,100,stage_a
alns_e2_throughput,vanilla,3000,e2-vanilla-100c-01,,PENDING,1,300.0,2,100,stage_a
LNS,vanilla,3000,e2-vanilla-100c-01,,PENDING,1,300.0,2,100,stage_a
alns_e2_throughput,vanilla,3000,e2-vanilla-100c-01,,PENDING,1,300.0,3,100,stage_a
LNS,vanilla,3000,e2-vanilla-100c-01,,PENDING,1,300.0,3,100,stage_a
alns_e2_throughput,vanilla,3000,e2-vanilla-150c-01,,PENDING,1,600.0,1,150,stage_a
LNS,vanilla,3000,e2-vanilla-150c-01,,PENDING,1,600.0,1,150,stage_a
alns_e2_throughput,vanilla,3000,e2-vanilla-150c-01,,PENDING,1,600.0,2,150,stage_a
LNS,vanilla,3000,e2-vanilla-150c-01,,PENDING,1,600.0,2,150,stage_a
alns_e2_throughput,vanilla,3000,e2-vanilla-150c-01,,PENDING,1,600.0,3,150,stage_a
LNS,vanilla,3000,e2-vanilla-150c-01,,PENDING,1,600.0,3,150,stage_a
alns_e2_throughput,vanilla,3000,e2-vanilla-200c-01,,PENDING,1,900.0,1,200,stage_a
LNS,vanilla,3000,e2-vanilla-200c-01,,PENDING,1,900.0,1,200,stage_a
alns_e2_throughput,vanilla,3000,e2-vanilla-200c-01,,PENDING,1,900.0,2,200,stage_a
LNS,vanilla,3000,e2-vanilla-200c-01,,PENDING,1,900.0,2,200,stage_a
alns_e2_throughput,vanilla,3000,e2-vanilla-200c-01,,PENDING,1,900.0,3,200,stage_a
LNS,vanilla,3000,e2-vanilla-200c-01,,PENDING,1,900.0,3,200,stage_a
alns_e2_throughput,multidepot,3000,e2-multidepot-10c-01,,PENDING,1,180.0,1,10,stage_a
LNS,multidepot,3000,e2-multidepot-10c-01,,PENDING,1,180.0,1,10,stage_a
alns_e2_throughput,multidepot,3000,e2-multidepot-10c-01,,PENDING,1,180.0,2,10,stage_a
LNS,multidepot,3000,e2-multidepot-10c-01,,PENDING,1,180.0,2,10,stage_a
alns_e2_throughput,multidepot,3000,e2-multidepot-10c-01,,PENDING,1,180.0,3,10,stage_a
LNS,multidepot,3000,e2-multidepot-10c-01,,PENDING,1,180.0,3,10,stage_a
alns_e2_throughput,multidepot,3000,e2-multidepot-15c-01,,PENDING,1,180.0,1,15,stage_a
LNS,multidepot,3000,e2-multidepot-15c-01,,PENDING,1,180.0,1,15,stage_a
alns_e2_throughput,multidepot,3000,e2-multidepot-15c-01,,PENDING,1,180.0,2,15,stage_a
LNS,multidepot,3000,e2-multidepot-15c-01,,PENDING,1,180.0,2,15,stage_a
alns_e2_throughput,multidepot,3000,e2-multidepot-15c-01,,PENDING,1,180.0,3,15,stage_a
LNS,multidepot,3000,e2-multidepot-15c-01,,PENDING,1,180.0,3,15,stage_a
alns_e2_throughput,multidepot,3000,e2-multidepot-20c-01,,PENDING,1,180.0,1,20,stage_a
LNS,multidepot,3000,e2-multidepot-20c-01,,PENDING,1,180.0,1,20,stage_a
alns_e2_throughput,multidepot,3000,e2-multidepot-20c-01,,PENDING,1,180.0,2,20,stage_a
LNS,multidepot,3000,e2-multidepot-20c-01,,PENDING,1,180.0,2,20,stage_a
alns_e2_throughput,multidepot,3000,e2-multidepot-20c-01,,PENDING,1,180.0,3,20,stage_a
LNS,multidepot,3000,e2-multidepot-20c-01,,PENDING,1,180.0,3,20,stage_a
alns_e2_throughput,multidepot,3000,e2-multidepot-25c-01,,PENDING,1,180.0,1,25,stage_a
LNS,multidepot,3000,e2-multidepot-25c-01,,PENDING,1,180.0,1,25,stage_a
alns_e2_throughput,multidepot,3000,e2-multidepot-25c-01,,PENDING,1,180.0,2,25,stage_a
LNS,multidepot,3000,e2-multidepot-25c-01,,PENDING,1,180.0,2,25,stage_a
alns_e2_throughput,multidepot,3000,e2-multidepot-25c-01,,PENDING,1,180.0,3,25,stage_a
LNS,multidepot,3000,e2-multidepot-25c-01,,PENDING,1,180.0,3,25,stage_a
alns_e2_throughput,multidepot,3000,e2-multidepot-50c-01,,PENDING,1,240.0,1,50,stage_a
LNS,multidepot,3000,e2-multidepot-50c-01,,PENDING,1,240.0,1,50,stage_a
alns_e2_throughput,multidepot,3000,e2-multidepot-50c-01,,PENDING,1,240.0,2,50,stage_a
LNS,multidepot,3000,e2-multidepot-50c-01,,PENDING,1,240.0,2,50,stage_a
alns_e2_throughput,multidepot,3000,e2-multidepot-50c-01,,PENDING,1,240.0,3,50,stage_a
LNS,multidepot,3000,e2-multidepot-50c-01,,PENDING,1,240.0,3,50,stage_a
alns_e2_throughput,multidepot,3000,e2-multidepot-75c-01,,PENDING,1,240.0,1,75,stage_a
LNS,multidepot,3000,e2-multidepot-75c-01,,PENDING,1,240.0,1,75,stage_a
alns_e2_throughput,multidepot,3000,e2-multidepot-75c-01,,PENDING,1,240.0,2,75,stage_a
LNS,multidepot,3000,e2-multidepot-75c-01,,PENDING,1,240.0,2,75,stage_a
alns_e2_throughput,multidepot,3000,e2-multidepot-75c-01,,PENDING,1,240.0,3,75,stage_a
LNS,multidepot,3000,e2-multidepot-75c-01,,PENDING,1,240.0,3,75,stage_a
alns_e2_throughput,multidepot,3000,e2-multidepot-100c-01,,PENDING,1,300.0,1,100,stage_a
LNS,multidepot,3000,e2-multidepot-100c-01,,PENDING,1,300.0,1,100,stage_a
alns_e2_throughput,multidepot,3000,e2-multidepot-100c-01,,PENDING,1,300.0,2,100,stage_a
LNS,multidepot,3000,e2-multidepot-100c-01,,PENDING,1,300.0,2,100,stage_a
alns_e2_throughput,multidepot,3000,e2-multidepot-100c-01,,PENDING,1,300.0,3,100,stage_a
LNS,multidepot,3000,e2-multidepot-100c-01,,PENDING,1,300.0,3,100,stage_a
alns_e2_throughput,multidepot,3000,e2-multidepot-150c-01,,PENDING,1,600.0,1,150,stage_a
LNS,multidepot,3000,e2-multidepot-150c-01,,PENDING,1,600.0,1,150,stage_a
alns_e2_throughput,multidepot,3000,e2-multidepot-150c-01,,PENDING,1,600.0,2,150,stage_a
LNS,multidepot,3000,e2-multidepot-150c-01,,PENDING,1,600.0,2,150,stage_a
alns_e2_throughput,multidepot,3000,e2-multidepot-150c-01,,PENDING,1,600.0,3,150,stage_a
LNS,multidepot,3000,e2-multidepot-150c-01,,PENDING,1,600.0,3,150,stage_a
alns_e2_throughput,multidepot,3000,e2-multidepot-200c-01,,PENDING,1,900.0,1,200,stage_a
LNS,multidepot,3000,e2-multidepot-200c-01,,PENDING,1,900.0,1,200,stage_a
alns_e2_throughput,multidepot,3000,e2-multidepot-200c-01,,PENDING,1,900.0,2,200,stage_a
LNS,multidepot,3000,e2-multidepot-200c-01,,PENDING,1,900.0,2,200,stage_a
alns_e2_throughput,multidepot,3000,e2-multidepot-200c-01,,PENDING,1,900.0,3,200,stage_a
LNS,multidepot,3000,e2-multidepot-200c-01,,PENDING,1,900.0,3,200,stage_a
alns_e2_throughput,threeshift,3000,e2-threeshift-50c-01,,PENDING,1,300.0,1,50,stage_a
LNS,threeshift,3000,e2-threeshift-50c-01,,PENDING,1,300.0,1,50,stage_a
alns_e2_throughput,threeshift,3000,e2-threeshift-50c-01,,PENDING,1,300.0,2,50,stage_a
LNS,threeshift,3000,e2-threeshift-50c-01,,PENDING,1,300.0,2,50,stage_a
alns_e2_throughput,threeshift,3000,e2-threeshift-50c-01,,PENDING,1,300.0,3,50,stage_a
LNS,threeshift,3000,e2-threeshift-50c-01,,PENDING,1,300.0,3,50,stage_a
alns_e2_throughput,threeshift,3000,e2-threeshift-75c-01,,PENDING,1,300.0,1,75,stage_a
LNS,threeshift,3000,e2-threeshift-75c-01,,PENDING,1,300.0,1,75,stage_a
alns_e2_throughput,threeshift,3000,e2-threeshift-75c-01,,PENDING,1,300.0,2,75,stage_a
LNS,threeshift,3000,e2-threeshift-75c-01,,PENDING,1,300.0,2,75,stage_a
alns_e2_throughput,threeshift,3000,e2-threeshift-75c-01,,PENDING,1,300.0,3,75,stage_a
LNS,threeshift,3000,e2-threeshift-75c-01,,PENDING,1,300.0,3,75,stage_a
alns_e2_throughput,threeshift,3000,e2-threeshift-100c-01,,PENDING,1,300.0,1,100,stage_a
LNS,threeshift,3000,e2-threeshift-100c-01,,PENDING,1,300.0,1,100,stage_a
alns_e2_throughput,threeshift,3000,e2-threeshift-100c-01,,PENDING,1,300.0,2,100,stage_a
LNS,threeshift,3000,e2-threeshift-100c-01,,PENDING,1,300.0,2,100,stage_a
alns_e2_throughput,threeshift,3000,e2-threeshift-100c-01,,PENDING,1,300.0,3,100,stage_a
LNS,threeshift,3000,e2-threeshift-100c-01,,PENDING,1,300.0,3,100,stage_a
alns_e2_throughput,threeshift,3000,e2-threeshift-150c-01,,PENDING,1,900.0,1,150,stage_a
LNS,threeshift,3000,e2-threeshift-150c-01,,PENDING,1,900.0,1,150,stage_a
alns_e2_throughput,threeshift,3000,e2-threeshift-150c-01,,PENDING,1,900.0,2,150,stage_a
LNS,threeshift,3000,e2-threeshift-150c-01,,PENDING,1,900.0,2,150,stage_a
alns_e2_throughput,threeshift,3000,e2-threeshift-150c-01,,PENDING,1,900.0,3,150,stage_a
LNS,threeshift,3000,e2-threeshift-150c-01,,PENDING,1,900.0,3,150,stage_a
alns_e2_throughput,threeshift,3000,e2-threeshift-200c-01,,PENDING,1,900.0,1,200,stage_a
