all_cv_winner_count,all_cv_winner_share,best_gap_pct_alns_minus_lns,category,mean_gap_pct_alns_minus_lns,mean_winner_ev_route_share,paired_winner_counts,pairs,size
0,0.0,-18.53291399789436,multidepot,-18.53291399789436,0.5,"{""alns"": 3}",3,10
3,1.0,0.0,multidepot,0.0,0.0,"{""tie"": 3}",3,15
0,0.0,0.0,multidepot,0.0,0.20000000000000004,"{""tie"": 3}",3,20
0,0.0,0.0,multidepot,0.0,0.20000000000000004,"{""tie"": 3}",3,25
0,0.0,0.0,multidepot,0.0,0.1111111111111111,"{""tie"": 3}",3,50
0,0.0,0.0,multidepot,0.0,0.07692307692307693,"{""tie"": 3}",3,75
0,0.0,0.0,multidepot,0.0,0.06666666666666667,"{""tie"": 3}",3,100
0,0.0,0.0,multidepot,0.0,0.04545454545454545,"{""tie"": 3}",3,150
0,0.0,0.0,multidepot,0.0,0.034482758620689655,"{""tie"": 3}",3,200
0,0.0,0.0,threeshift,0.0,0.125,"{""tie"": 3}",3,50
0,0.0,0.0,threeshift,0.0,0.08333333333333333,"{""tie"": 3}",3,75
0,0.0,0.0,threeshift,0.0,0.06666666666666667,"{""tie"": 3}",3,100
0,0.0,0.0,threeshift,0.0,0.04545454545454545,"{""tie"": 3}",3,150
0,0.0,0.0,threeshift,0.0,0.037037037037037035,"{""tie"": 3}",3,200
0,0.0,-28.78478518398367,vanilla,-28.78478518398367,0.5,"{""alns"": 3}",3,10
3,1.0,-1.7662920707800345,vanilla,12.742715049765266,0.0,"{""alns"": 1, ""lns"": 2}",3,15
0,0.0,0.0,vanilla,0.0,0.25,"{""tie"": 3}",3,20
0,0.0,0.0,vanilla,0.0,0.25,"{""tie"": 3}",3,25
0,0.0,0.0,vanilla,0.0,0.125,"{""tie"": 3}",3,50
0,0.0,0.0,vanilla,0.0,0.08333333333333333,"{""tie"": 3}",3,75
0,0.0,0.0,vanilla,0.0,0.06666666666666667,"{""tie"": 3}",3,100
0,0.0,0.0,vanilla,0.0,0.047619047619047616,"{""tie"": 3}",3,150
0,0.0,0.0,vanilla,0.0,0.034482758620689655,"{""tie"": 3}",3,200
