instance_id,seed,capacity_kwh,public_charge_power_kw,curve_id,feasible,total_cost_cny,route_hash,route_count,ev_route_count,depot_charging_session_count,public_charging_session_count,public_charging_minutes_total,public_charging_minutes_max,max_public_charge_end_soc_pct,taper_entered_session_count,station_charging_kwh,depot_charging_kwh,complete_candidate_evaluations,elapsed_seconds,independent_check_completed,violation_count,station_capacity_conflict_count,linear_routes_m17_recheck_feasible,linear_routes_m17_recheck_total_cost_cny,linear_routes_m17_recheck_violation_count,linear_routes_m17_recheck_violation_types,linear_routes_m17_recheck_station_capacity_conflict_count,linear_routes_m17_recheck_public_charging_session_count,linear_routes_m17_recheck_public_charging_minutes_total,linear_routes_m17_recheck_public_charging_minutes_max,linear_routes_m17_recheck_max_public_charge_end_soc_pct,linear_routes_m17_recheck_taper_entered_session_count
cn-prd-50c-01-V2-LOCATIONS,1,16.0,22.0,L100_control,True,2398.104604918465,d6da009bf6f88267c53edd1e597123e97df22c0af12b643c2026440c76b50407,9,3,0,1,29.063394994973397,29.063394994973397,81.6769760740705,0,10.656578164823578,0.0,14,0.941535749938339,True,0,0,True,2402.9614937827955,0,,0,1,29.14887556848802,29.14887556848802,81.6769760740705,0
cn-prd-50c-01-V2-LOCATIONS,1,16.0,22.0,M17_22KW_NORMAL_PWL,True,2398.1472990071265,d6da009bf6f88267c53edd1e597123e97df22c0af12b643c2026440c76b50407,9,3,0,1,29.14887556848802,29.14887556848802,81.6769760740705,0,10.656578164823578,0.0,14,1.3010886670090258,True,0,0,True,2402.9614937827955,0,,0,1,29.14887556848802,29.14887556848802,81.6769760740705,0
cn-prd-50c-01-V2-LOCATIONS,1,20.0,22.0,L100_control,True,2378.4332891608815,845e81acca022252b4952bca7537c23d03ee185e3a951c062aeb505f3bc5078a,9,3,0,1,18.154304085882487,18.154304085882487,65.3415808592564,0,6.6565781648235784,0.0,14,1.3514787080930546,True,0,0,True,2381.4668734299466,0,,0,1,18.207699097899784,18.207699097899784,65.3415808592564,0
cn-prd-50c-01-V2-LOCATIONS,1,20.0,22.0,M17_22KW_NORMAL_PWL,True,2378.45998666689,845e81acca022252b4952bca7537c23d03ee185e3a951c062aeb505f3bc5078a,9,3,0,1,18.207699097899784,18.207699097899784,65.3415808592564,0,6.6565781648235784,0.0,14,0.9125497500644997,True,0,0,True,2381.4668734299466,0,,0,1,18.207699097899784,18.207699097899784,65.3415808592564,0
cn-prd-50c-01-V2-LOCATIONS,1,24.0,22.0,L100_control,True,2357.7245406194365,b23fdc29c337cabd61740bbbd1cdedca5e3f86ecff00d6f605c03245132d3526,9,3,0,0,0,0.0,0.0,0,0.0,0.0,14,0.7882880420656875,True,0,0,True,2357.7245406194365,0,,0,0,0,0.0,0.0,0
cn-prd-50c-01-V2-LOCATIONS,1,24.0,22.0,M17_22KW_NORMAL_PWL,True,2357.7245406194365,b23fdc29c337cabd61740bbbd1cdedca5e3f86ecff00d6f605c03245132d3526,9,3,0,0,0,0.0,0.0,0,0.0,0.0,14,0.8079785420559347,True,0,0,True,2357.7245406194365,0,,0,0,0,0.0,0.0,0
cn-prd-50c-01-V2-LOCATIONS,1,28.0,22.0,L100_control,True,2348.5712374258433,02c5e60ce50afffec7c998944b562afd3c47bcd8a475478d946d23839797efed,9,3,0,0,0,0.0,0.0,0,0.0,0.0,14,0.7551979159470648,True,0,0,True,2348.5712374258433,0,,0,0,0,0.0,0.0,0
cn-prd-50c-01-V2-LOCATIONS,1,28.0,22.0,M17_22KW_NORMAL_PWL,True,2348.5712374258433,02c5e60ce50afffec7c998944b562afd3c47bcd8a475478d946d23839797efed,9,3,0,0,0,0.0,0.0,0,0.0,0.0,14,0.7714356250362471,True,0,0,True,2348.5712374258433,0,,0,0,0,0.0,0.0,0
cn-prd-50c-01-V2-LOCATIONS,1,32.0,22.0,L100_control,True,2337.215021861942,8071b5a28becf6229ebe608e8348b8f686ab7d0d00b296ccfcf48c35580705b4,9,3,0,0,0,0.0,0.0,0,0.0,0.0,14,0.7311450419947505,True,0,0,True,2337.215021861942,0,,0,0,0,0.0,0.0,0
cn-prd-50c-01-V2-LOCATIONS,1,32.0,22.0,M17_22KW_NORMAL_PWL,True,2337.215021861942,8071b5a28becf6229ebe608e8348b8f686ab7d0d00b296ccfcf48c35580705b4,9,3,0,0,0,0.0,0.0,0,0.0,0.0,14,0.845939000020735,True,0,0,True,2337.215021861942,0,,0,0,0,0.0,0.0,0
