stage,trigger_second,trigger_cause,revealed_in_batch,active_customers,committed_customers,future_customers,iterations,runtime_seconds,population_size,initial_feasible_candidates,best_cost,best_emissions_kg,history_preserved,completed_customers,total_active_customers,termination_status,readiness_charging_kwh_cumulative
1,23400.0,fixed_interval,1,41,0,41,72,5.019830250006635,25,21,1958.9075602626413,158.88573593987087,True,41,41,INTEGRATED_HGS_STOPPED_BY_CALLER,0
2,25200.0,fixed_interval,1,42,0,42,330,5.020435458980501,25,22,1915.2056759487116,184.55483335067302,True,42,42,INTEGRATED_HGS_STOPPED_BY_CALLER,0
3,27000.0,fixed_interval,1,43,0,43,277,5.008698958961759,25,20,1937.7536842343322,190.43207449579813,True,43,43,INTEGRATED_HGS_STOPPED_BY_CALLER,0
4,30600.0,fixed_interval,2,45,0,45,0,5.122581084026024,25,22,1965.7653829785324,196.19833796244717,True,45,45,INTEGRATED_HGS_STOPPED_BY_CALLER,0
5,41400.0,fixed_interval,2,47,5,42,53,5.00579204200767,25,17,2073.7724221275444,207.32293419682603,True,47,47,INTEGRATED_HGS_STOPPED_BY_CALLER,0
6,43200.0,fixed_interval,1,48,17,31,968,5.006378457997926,25,21,2073.9941499954343,207.40150584599644,True,48,48,INTEGRATED_HGS_STOPPED_BY_CALLER,0
