stage,algorithm,policy_mode,bundle,bundle_dir,seed,scale,status,health_status,myopic_dynamic_cost,heuristic_dynamic_cost,myopic_static_revealed_cost,heuristic_static_revealed_cost,myopic_information_cost,heuristic_information_cost,myopic_information_cost_pct,heuristic_information_cost_pct,information_cost_reduction,information_cost_reduction_pct_of_myopic,dynamic_cost_delta,static_cost_delta,policy_deferred_total,policy_defer_stage_count,policy_trace_stage_count,trigger_count,event_count,actual_evals,elapsed_seconds,payload_path
action_sanity,track20_reserve_defer_heuristic,commit_defer,E-UK50_01__curric_d2_s3_seed1_24h,models/data_bundle/generated_instances/E-UK50_01__curric_d2_s3_seed1_24h,901,50,OK,HEALTHY,1548.9863521250727,1492.408746108013,1087.7508126654993,1087.7508126654993,461.2355394595734,404.6579334425137,42.40268396852126,37.20134508113233,56.57760601705968,12.266532211145586,-56.57760601705968,0.0,1,1,4,4,12,8445,305.62214170000516,solver\reports\dr_alns_ppo_v3\final_track23\stage_d_track20_commit_defer\track20_payloads\E-UK50_01__curric_d2_s3_seed1_24h_seed901_heuristic.json
action_sanity,track20_reserve_defer_heuristic,commit_defer,E-UK50_01__curric_d2_s3_seed1_24h,models/data_bundle/generated_instances/E-UK50_01__curric_d2_s3_seed1_24h,902,50,OK,HEALTHY,1661.752712554383,1650.3400278596241,1077.596790341294,1077.596790341294,584.1559222130888,572.74323751833,54.20913716976423,53.150050431844,11.41268469475881,1.9537052113623325,-11.41268469475881,0.0,4,3,5,5,12,10716,304.74268799996935,solver\reports\dr_alns_ppo_v3\final_track23\stage_d_track20_commit_defer\track20_payloads\E-UK50_01__curric_d2_s3_seed1_24h_seed902_heuristic.json
action_sanity,track20_reserve_defer_heuristic,commit_defer,E-UK50_01__curric_d2_s3_seed1_24h,models/data_bundle/generated_instances/E-UK50_01__curric_d2_s3_seed1_24h,903,50,OK,HEALTHY,1837.4638519301757,1697.435052102028,1093.9984012993416,1093.9984012993416,743.4654506308341,603.4366508026865,67.95855000773497,55.15882382332414,140.0287998281476,18.834607540852435,-140.0287998281476,0.0,3,2,5,5,12,10557,345.8265992999077,solver\reports\dr_alns_ppo_v3\final_track23\stage_d_track20_commit_defer\track20_payloads\E-UK50_01__curric_d2_s3_seed1_24h_seed903_heuristic.json
action_sanity,track20_reserve_defer_heuristic,commit_defer,E-UK50_01__curric_d2_s3_seed1_24h,models/data_bundle/generated_instances/E-UK50_01__curric_d2_s3_seed1_24h,904,50,OK,HEALTHY,1870.6609189093963,1717.8980695610257,1128.796590054887,1128.796590054887,741.8643288545093,589.1014795061387,65.72170180089192,52.18845314526456,152.76284934837054,20.591750190260143,-152.76284934837054,0.0,2,2,5,5,12,10551,319.88958369987085,solver\reports\dr_alns_ppo_v3\final_track23\stage_d_track20_commit_defer\track20_payloads\E-UK50_01__curric_d2_s3_seed1_24h_seed904_heuristic.json
action_sanity,track20_reserve_defer_heuristic,commit_defer,E-UK50_01__curric_d2_s3_seed1_24h,models/data_bundle/generated_instances/E-UK50_01__curric_d2_s3_seed1_24h,905,50,OK,HEALTHY,1722.7835476322423,1794.8433907158371,1130.6474085142984,1130.6474085142984,592.1361391179439,664.1959822015388,52.3714231916055,58.74474899954093,-72.05984308359484,-12.169472241795006,72.05984308359484,0.0,4,3,5,5,12,10066,354.74129269993864,solver\reports\dr_alns_ppo_v3\final_track23\stage_d_track20_commit_defer\track20_payloads\E-UK50_01__curric_d2_s3_seed1_24h_seed905_heuristic.json
action_sanity,track20_reserve_defer_heuristic,commit_defer,E-UK50_01__curric_d2_s3_seed1_24h,models/data_bundle/generated_instances/E-UK50_01__curric_d2_s3_seed1_24h,906,50,OK,HEALTHY,1834.0600451333312,1753.7988762380983,1163.0456172998656,1163.0456172998656,671.0144278334656,590.7532589382326,57.694592357546306,50.793644733362164,80.26116889523291,11.961168875962288,-80.26116889523291,0.0,3,2,5,5,12,11169,349.17866659979336,solver\reports\dr_alns_ppo_v3\final_track23\stage_d_track20_commit_defer\track20_payloads\E-UK50_01__curric_d2_s3_seed1_24h_seed906_heuristic.json
action_sanity,track20_reserve_defer_heuristic,commit_defer,E-UK50_01__curric_d2_s3_seed1_24h,models/data_bundle/generated_instances/E-UK50_01__curric_d2_s3_seed1_24h,907,50,OK,HEALTHY,2034.5255236680478,2035.188268124834,1176.9776336183447,1176.9776336183447,857.547890049703,858.2106345064892,72.86016875387605,72.91647776416275,-0.6627444567861858,-0.07728366712531629,0.6627444567861858,0.0,3,2,5,5,12,9785,351.4352200999856,solver\reports\dr_alns_ppo_v3\final_track23\stage_d_track20_commit_defer\track20_payloads\E-UK50_01__curric_d2_s3_seed1_24h_seed907_heuristic.json
action_sanity,track20_reserve_defer_heuristic,commit_defer,E-UK50_01__curric_d2_s3_seed1_24h,models/data_bundle/generated_instances/E-UK50_01__curric_d2_s3_seed1_24h,908,50,OK,HEALTHY,1548.993384120361,1546.2525680092965,1139.1884658219358,1139.1884658219358,409.80491829842526,407.06410218736073,35.97340831595823,35.732814578109334,2.7408161110645324,0.6688099602232286,-2.7408161110645324,0.0,3,2,4,4,12,7529,327.96126010012813,solver\reports\dr_alns_ppo_v3\final_track23\stage_d_track20_commit_defer\track20_payloads\E-UK50_01__curric_d2_s3_seed1_24h_seed908_heuristic.json
action_sanity,track20_reserve_defer_heuristic,commit_defer,E-UK50_01__curric_d2_s3_seed1_24h,models/data_bundle/generated_instances/E-UK50_01__curric_d2_s3_seed1_24h,909,50,OK,HEALTHY,1656.3700749106433,1583.7678088307807,1158.6461783645816,1158.6461783645816,497.7238965460617,425.1216304661991,42.95736747249229,36.69123830937365,72.6022660798626,14.586855600802693,-72.6022660798626,0.0,4,3,5,5,12,12000,308.65588320000097,solver\reports\dr_alns_ppo_v3\final_track23\stage_d_track20_commit_defer\track20_payloads\E-UK50_01__curric_d2_s3_seed1_24h_seed909_heuristic.json
action_sanity,track20_reserve_defer_heuristic,commit_defer,E-UK50_01__curric_d2_s3_seed1_24h,models/data_bundle/generated_instances/E-UK50_01__curric_d2_s3_seed1_24h,910,50,OK,HEALTHY,1310.441934426096,1303.211610360389,1066.181026705404,1066.181026705404,244.26090772069188,237.03058365498487,22.909890684838032,22.231739049740064,7.230324065707009,2.9600823697809067,-7.230324065707009,0.0,2,2,4,4,12,8535,307.45278490008786,solver\reports\dr_alns_ppo_v3\final_track23\stage_d_track20_commit_defer\track20_payloads\E-UK50_01__curric_d2_s3_seed1_24h_seed910_heuristic.json
