strategy,route_fingerprint,total_charging_kwh,first_trip_charge_day_offset,hard_violation_count,hard_violation_types,hard_violation_sample,first_trip_charge_after_departure,first_trip_charge_wrong_day_offset,same_vehicle_charge_trip_overlaps,same_vehicle_charge_charge_overlaps,total_cost,ev_charging_emissions_kg
naive,5811e3231f1d4337ecc7f00468093cb31930da4ae21edca6fc6386c51bebe2b7,3616.789812154106,-1,0,{},,0,0,0,0,13028.27194850728,234.0726292924276
aware,5811e3231f1d4337ecc7f00468093cb31930da4ae21edca6fc6386c51bebe2b7,3616.789812154106,-1,0,{},,0,0,0,0,13028.27194850728,233.8730728107281
