instance,failure_reason,count
e2-vanilla-150c-01,ACCEPTED,1
e2-vanilla-150c-01,CHARGING_TIME_WINDOW_DETOUR,14
e2-vanilla-150c-01,STATION_OR_DEPOT_CAPACITY,5
