capacity_feasible_distance_reducing_relocate_customer_count,capacity_feasible_distance_reducing_swap_pair_count,capacity_feasible_relocate_delta_km_max,capacity_feasible_relocate_delta_km_median,capacity_feasible_relocate_delta_km_min,capacity_feasible_swap_pair_count,cross_depot_swap_pair_count,customer_count,customer_demand_kg,distance_reducing_swap_pair_count,failure_reason,instance_id,new_distance_reducing_relocate_customer_count_vs_direct_screen,region,saved_direct_roundtrip_distance_reducing_customer_count,status
0,0,603.588372745545,570.4199046883485,478.9385867734791,804,2436,100,27293.0,0,,cn-cy-100c-01-V2-LOCATIONS,0,cy,0,MARGINAL_SCREEN_PASS
0,0,607.08694079754,568.4033945992485,488.0267949674491,867,2436,100,26941.0,0,,cn-cy-100c-02-V2-LOCATIONS,0,cy,0,MARGINAL_SCREEN_PASS
0,0,596.9172232311149,566.2504865403914,521.294681935432,904,2436,100,25837.0,0,,cn-cy-100c-03-V2-LOCATIONS,0,cy,0,MARGINAL_SCREEN_PASS
0,0,596.8245418348348,566.700407614862,464.9675318938991,2033,5481,150,40422.0,0,,cn-cy-150c-01-V2-LOCATIONS,0,cy,0,MARGINAL_SCREEN_PASS
0,0,598.6920449257809,570.7544458320885,511.903295774571,2630,5481,150,41664.0,0,,cn-cy-150c-02-V2-LOCATIONS,0,cy,0,MARGINAL_SCREEN_PASS
0,0,605.766981383126,570.516318666155,516.348101863797,2267,5481,150,40767.0,0,,cn-cy-150c-03-V2-LOCATIONS,0,cy,0,MARGINAL_SCREEN_PASS
0,0,588.5271574742219,567.594881612539,518.732619388037,362,609,50,13266.0,0,,cn-cy-50c-01-V2-LOCATIONS,0,cy,0,MARGINAL_SCREEN_PASS
0,0,599.4775364270679,563.333816419525,474.596245615695,187,609,50,12567.0,0,,cn-cy-50c-02-V2-LOCATIONS,0,cy,0,MARGINAL_SCREEN_PASS
0,0,617.923155473591,568.6454601375615,524.58162390165,320,609,50,13820.0,0,,cn-cy-50c-03-V2-LOCATIONS,0,cy,0,MARGINAL_SCREEN_PASS
0,0,258.643888890395,234.57963148273956,192.969296487561,766,1971,100,25972.0,0,,cn-jjj-100c-01-V2-LOCATIONS,0,jjj,0,MARGINAL_SCREEN_PASS
0,0,259.32291852333594,232.589084976839,150.44849206994098,744,1971,100,27432.0,0,,cn-jjj-100c-02-V2-LOCATIONS,0,jjj,0,MARGINAL_SCREEN_PASS
0,0,262.90455338078596,234.2886422291465,188.696369903849,798,1971,100,27081.0,0,,cn-jjj-100c-03-V2-LOCATIONS,0,jjj,0,MARGINAL_SCREEN_PASS
0,0,571.148791040137,237.4195953739985,187.44934995655797,2445,5672,150,38196.0,0,,cn-jjj-150c-01-V2-LOCATIONS,0,jjj,0,MARGINAL_SCREEN_PASS
0,0,599.922465389756,247.35947899685746,192.862163854306,2103,5672,150,39727.0,0,,cn-jjj-150c-02-V2-LOCATIONS,0,jjj,0,MARGINAL_SCREEN_PASS
0,0,602.2983937955688,238.1392797416085,194.000839921116,2597,5672,150,39998.0,0,,cn-jjj-150c-03-V2-LOCATIONS,0,jjj,0,MARGINAL_SCREEN_PASS
0,0,262.337657827483,229.47728903356602,185.06139589804098,307,481,50,13264.0,0,,cn-jjj-50c-01-V2-LOCATIONS,0,jjj,0,MARGINAL_SCREEN_PASS
0,0,258.753804939918,239.06855671609202,191.714964370206,218,481,50,13543.0,0,,cn-jjj-50c-02-V2-LOCATIONS,0,jjj,0,MARGINAL_SCREEN_PASS
0,0,261.453182095313,237.99653604308253,193.528744354061,295,481,50,14725.0,0,,cn-jjj-50c-03-V2-LOCATIONS,0,jjj,0,MARGINAL_SCREEN_PASS
0,0,224.11382104696503,203.682329021903,161.28095338774403,1008,2484,100,24443.0,0,,cn-prd-100c-01-V2-LOCATIONS,0,prd,0,MARGINAL_SCREEN_PASS
0,0,226.62602625500702,204.652569297196,182.84926914972502,1037,2484,100,27991.0,0,,cn-prd-100c-02-V2-LOCATIONS,0,prd,0,MARGINAL_SCREEN_PASS
0,0,229.289319510105,210.87137563515353,174.32224587987497,968,2484,100,26320.0,0,,cn-prd-100c-03-V2-LOCATIONS,0,prd,0,MARGINAL_SCREEN_PASS
3,0,124.53175869250497,56.11187697485751,-42.45282633248401,2790,7839,150,40211.0,0,,cn-prd-150c-01-V2-LOCATIONS,2,prd,3,MARGINAL_SCREEN_PASS
2,0,125.59985490545898,57.579909177621,-0.6086782684350001,2448,7839,150,40487.0,0,,cn-prd-150c-02-V2-LOCATIONS,0,prd,5,MARGINAL_SCREEN_PASS
4,0,126.734551309414,56.44134427111549,-14.808739936993996,3495,7839,150,38126.0,0,,cn-prd-150c-03-V2-LOCATIONS,0,prd,6,MARGINAL_SCREEN_PASS
0,0,226.862759009484,203.90915451655997,176.05130962739,292,621,50,12223.0,0,,cn-prd-50c-01-V2-LOCATIONS,0,prd,0,MARGINAL_SCREEN_PASS
0,0,220.65455222688803,211.630385163877,184.80145265634602,292,621,50,12847.0,0,,cn-prd-50c-02-V2-LOCATIONS,0,prd,0,MARGINAL_SCREEN_PASS
0,0,223.41904803844,210.284356903875,183.48291081585302,234,621,50,13613.0,0,,cn-prd-50c-03-V2-LOCATIONS,0,prd,0,MARGINAL_SCREEN_PASS
