best_any_distance_reducing,best_any_insertion_delta_km,best_any_relocate_net_delta_km,best_any_swap_partner_customer_id,best_any_swap_partner_depot_id,best_any_swap_total_delta_km,best_any_target_depot_id,best_any_target_duty_id,best_any_target_position,best_any_target_trip_index,best_capacity_distance_reducing,best_capacity_relocate_net_delta_km,best_capacity_swap_partner_customer_id,best_capacity_swap_partner_depot_id,best_capacity_swap_total_delta_km,best_capacity_target_depot_id,best_capacity_target_duty_id,best_capacity_target_position,best_capacity_target_trip_index,customer_id,demand_kg,instance_id,region,removal_saving_km,saved_direct_roundtrip_delta_km,saved_direct_roundtrip_distance_reducing,source_depot_id,source_duty_id,source_trip_index
False,569.0899643520221,566.352763897876,C067,D_chongqing,1101.13377151021,D_chongqing,CV_D_chongqing_1,3,1,False,580.282854508296,C093,D_chongqing,1110.218761517345,D_chongqing,EV_D_chongqing_1,0,2,C030,417.0,cn-cy-100c-01-V2-LOCATIONS,cy,2.7372004541459973,602.456022623433,False,D_chengdu,CV_D_chengdu_1,1
False,576.0936097198589,574.2122972787979,C067,D_chongqing,1138.7719926076682,D_chongqing,CV_D_chongqing_1,3,1,False,588.1423878892181,C067,D_chongqing,1138.7719926076682,D_chongqing,EV_D_chongqing_1,0,2,C023,347.0,cn-cy-100c-01-V2-LOCATIONS,cy,1.8813124410609998,606.0153487253339,False,D_chengdu,CV_D_chengdu_1,1
False,579.3294871697861,569.6734520314171,C067,D_chongqing,1149.035949350695,D_chongqing,CV_D_chongqing_1,3,1,False,583.6035426418371,C093,D_chongqing,1158.1209393578308,D_chongqing,EV_D_chongqing_1,0,2,C003,417.0,cn-cy-100c-01-V2-LOCATIONS,cy,9.656035138368999,616.7254163684281,False,D_chengdu,CV_D_chengdu_1,1
False,591.093158834138,580.486382151065,C067,D_chongqing,1120.80345529373,D_chongqing,CV_D_chongqing_1,3,1,False,594.416472761485,C093,D_chongqing,1129.888445300865,D_chongqing,EV_D_chongqing_1,0,2,C038,417.0,cn-cy-100c-01-V2-LOCATIONS,cy,10.606776683073003,622.4523240141169,False,D_chengdu,CV_D_chengdu_1,1
False,583.958430617925,578.3719897376191,C067,D_chongqing,1121.038651904996,D_chongqing,CV_D_chongqing_1,3,1,False,592.302080348038,C067,D_chongqing,1121.038651904996,D_chongqing,EV_D_chongqing_1,0,2,C032,278.0,cn-cy-100c-01-V2-LOCATIONS,cy,5.586440880306003,620.2561304293951,False,D_chengdu,CV_D_chengdu_1,2
False,579.498073770405,577.845538319711,C067,D_chongqing,1143.166443485039,D_chongqing,CV_D_chongqing_1,3,1,False,591.7756289301299,C067,D_chongqing,1143.166443485039,D_chongqing,EV_D_chongqing_1,0,2,C002,347.0,cn-cy-100c-01-V2-LOCATIONS,cy,1.6525354506940002,621.0691872506741,False,D_chengdu,CV_D_chengdu_1,2
False,569.2203719532241,563.0039600205081,C067,D_chongqing,1133.640051234095,D_chongqing,CV_D_chongqing_1,3,1,False,576.934050630928,C093,D_chongqing,1142.7250412412297,D_chongqing,EV_D_chongqing_1,0,2,C010,417.0,cn-cy-100c-01-V2-LOCATIONS,cy,6.216411932716,602.6070645167681,False,D_chengdu,CV_D_chengdu_1,2
False,581.2147623754059,576.790005364614,C067,D_chongqing,1146.3761352493339,D_chongqing,CV_D_chongqing_1,3,1,False,590.720095975034,C067,D_chongqing,1146.3761352493339,D_chongqing,EV_D_chongqing_1,0,2,C025,347.0,cn-cy-100c-01-V2-LOCATIONS,cy,4.424757010791999,604.6664732174579,False,D_chengdu,CV_D_chengdu_1,2
False,582.748642119258,577.6566317265799,C067,D_chongqing,1112.0350370633248,D_chongqing,CV_D_chongqing_1,3,1,False,591.5867223370001,C067,D_chongqing,1112.0350370633248,D_chongqing,EV_D_chongqing_1,0,2,C014,208.0,cn-cy-100c-01-V2-LOCATIONS,cy,5.092010392678,602.1033158211559,False,D_chengdu,CV_D_chengdu_1,2
False,573.510966958133,573.332270429582,C067,D_chongqing,1112.734354975233,D_chongqing,CV_D_chongqing_1,3,1,False,587.2623610400021,C067,D_chongqing,1112.734354975233,D_chongqing,EV_D_chongqing_1,0,2,C029,347.0,cn-cy-100c-01-V2-LOCATIONS,cy,0.1786965285510014,606.015348725334,False,D_chengdu,CV_D_chengdu_2,1
