split,algorithm,destroy_id,repair_id,q_ratio,steps,mean_reward,accepted_rate,improved_best_rate,mean_delta
formal_10001,alpha_ucb_env,random_customer_removal,greedy_insert_repair,,1294,0.19319938176197837,0.04791344667697063,0.03863987635239567,279.7104140057379
formal_10001,alpha_ucb_env,shaw_related_removal,regret3_insert_repair,,60,0.16666666666666666,0.03333333333333333,0.03333333333333333,103.52687115471085
formal_10001,alpha_ucb_env,vehicle_type_swap,greedy_insert_repair,,1912,0.15951882845188284,0.03190376569037657,0.03190376569037657,5.402437435515616
formal_10001,alpha_ucb_env,worst_customer_removal,greedy_insert_repair,,83,0.12048192771084337,0.024096385542168676,0.024096385542168676,297.3976416009116
formal_10001,alpha_ucb_env,worst_customer_removal,regret3_insert_repair,,83,0.12048192771084337,0.024096385542168676,0.024096385542168676,160.85261495028072
formal_10001,alpha_ucb_env,shaw_related_removal,greedy_insert_repair,,1029,0.11175898931000972,0.038872691933916424,0.022351797862001945,155.05724848620056
formal_10001,alpha_ucb_env,route_segment_removal,regret2_insert_repair,,143,0.06993006993006994,0.24475524475524477,0.013986013986013986,38.995272909357304
formal_10001,alpha_ucb_env,whole_route_removal,greedy_insert_repair,,1496,0.06016042780748663,0.2867647058823529,0.012032085561497326,29.574562694886126
formal_10001,alpha_ucb_env,whole_route_removal,regret3_insert_repair,,8,0.0,0.125,0.0,49.96867694311811
formal_10001,ppo_full,vehicle_type_swap,regret2_insert_repair,0.333333,6144,0.1264496464921621,1.0,0.005696614583333333,-0.06887524210072178
formal_10001,random_full,vehicle_type_swap,greedy_insert_repair,0.166667,41,1.346389230911574,1.0,0.24390243902439024,-8.259898789805892
formal_10001,random_full,vehicle_type_swap,greedy_insert_repair,0.366667,29,1.365649269731014,1.0,0.2413793103448276,-10.055352736067421
formal_10001,random_full,vehicle_type_swap,regret3_insert_repair,0.133333,44,1.172651997660442,1.0,0.20454545454545456,-9.989725043386153
formal_10001,random_full,vehicle_type_swap,regret2_insert_repair,0.366667,30,1.1178406466770032,1.0,0.2,-8.172413410755446
formal_10001,random_full,vehicle_type_swap,regret3_insert_repair,0.233333,37,1.1319030751899128,1.0,0.1891891891891892,-10.601680952783436
formal_10001,random_full,vehicle_type_swap,regret2_insert_repair,0.300000,27,1.112060440496688,0.9629629629629629,0.18518518518518517,-10.46683477461014
formal_10001,random_full,vehicle_type_swap,regret2_insert_repair,0.266667,28,1.0237271759602464,1.0,0.17857142857142858,-8.917749665467454
formal_10001,random_full,vehicle_type_swap,greedy_insert_repair,0.266667,30,1.0188449013902992,1.0,0.16666666666666666,-10.322717810671172
formal_10001,random_full,vehicle_type_swap,greedy_insert_repair,0.233333,33,0.9416716785363656,1.0,0.15151515151515152,-10.411689598555093
formal_10001,random_full,vehicle_type_swap,regret2_insert_repair,0.133333,31,0.821329231980989,1.0,0.12903225806451613,-10.828205190041562
formal_10001,random_full,vehicle_type_swap,regret3_insert_repair,0.166667,32,0.7852812457768075,1.0,0.125,-8.382260814000233
formal_10001,random_full,vehicle_type_swap,regret3_insert_repair,0.200000,33,0.8152985857979672,1.0,0.12121212121212122,-11.319175117457704
formal_10001,random_full,vehicle_type_swap,regret3_insert_repair,0.100000,25,0.7767997187729916,1.0,0.12,-9.522808332270797
formal_10001,random_full,vehicle_type_swap,regret2_insert_repair,0.100000,42,0.765555681761387,1.0,0.11904761904761904,-10.136949364222367
formal_10001,random_full,vehicle_type_swap,regret2_insert_repair,0.166667,34,0.7622815055333173,1.0,0.11764705882352941,-8.880080806227639
formal_10001,random_full,vehicle_type_swap,greedy_insert_repair,0.333333,29,0.6616153088441094,0.9655172413793104,0.10344827586206896,-6.568521595886554
formal_10001,random_full,vehicle_type_swap,regret3_insert_repair,0.300000,39,0.7063226845459789,0.9743589743589743,0.10256410256410256,-10.450953581090616
formal_10001,random_full,vehicle_type_swap,regret3_insert_repair,0.266667,36,0.5495950835799709,0.9444444444444444,0.08333333333333333,-5.410658697176233
formal_10001,random_full,vehicle_type_swap,regret2_insert_repair,0.233333,42,0.5602928905174972,0.9523809523809523,0.07142857142857142,-10.30275159030721
formal_10001,random_full,vehicle_type_swap,greedy_insert_repair,0.133333,43,0.5416525136260737,1.0,0.06976744186046512,-9.533569147842215
formal_10001,random_full,worst_customer_removal,regret3_insert_repair,0.333333,43,0.3488372093023256,0.06976744186046512,0.06976744186046512,503.30078790025107
formal_10001,random_full,vehicle_type_swap,regret3_insert_repair,0.366667,30,0.5535362264841746,1.0,0.06666666666666667,-11.361214938831745
formal_10001,random_full,vehicle_type_swap,regret2_insert_repair,0.333333,30,0.48199431783912416,1.0,0.06666666666666667,-6.871120591841797
formal_10001,random_full,vehicle_type_swap,greedy_insert_repair,0.200000,31,0.5021556527687484,1.0,0.06451612903225806,-8.104147003837873
formal_10001,random_full,vehicle_type_swap,regret2_insert_repair,0.200000,35,0.49816873929064515,0.9714285714285714,0.05714285714285714,-9.74402422554067
formal_10001,random_full,vehicle_type_swap,greedy_insert_repair,0.300000,35,0.4799019732561328,1.0,0.05714285714285714,-9.686685690344191
formal_10001,random_full,random_customer_removal,regret3_insert_repair,0.200000,36,0.2777777777777778,0.08333333333333333,0.05555555555555555,402.176988005618
formal_10001,random_full,whole_route_removal,regret2_insert_repair,0.233333,38,0.27451894415600375,0.7894736842105263,0.05263157894736842,26.41059138174282
formal_10001,random_full,route_segment_removal,greedy_insert_repair,0.233333,39,0.2607559662274947,0.41025641025641024,0.05128205128205128,21.40216357471171
formal_10001,random_full,route_segment_removal,greedy_insert_repair,0.366667,39,0.2564102564102564,0.3076923076923077,0.05128205128205128,52.497405310639756
formal_10001,random_full,whole_route_removal,greedy_insert_repair,0.133333,40,0.25,0.725,0.05,20.0348717521184
formal_10001,random_full,random_customer_removal,regret2_insert_repair,0.166667,41,0.24390243902439024,0.07317073170731707,0.04878048780487805,483.5146753089434
formal_10001,random_full,vehicle_type_swap,regret3_insert_repair,0.333333,46,0.42665121873572187,0.9782608695652174,0.043478260869565216,-10.201105797314165
formal_10001,random_full,whole_route_removal,regret2_insert_repair,0.200000,23,0.21739130434782608,0.6521739130434783,0.043478260869565216,47.954196284797035
formal_10001,random_full,shaw_related_removal,greedy_insert_repair,0.333333,24,0.20833333333333334,0.041666666666666664,0.041666666666666664,319.23346578479124
