split,algorithm,rows,mean_best_obj,median_best_obj,best_obj,std_best_obj,violation_rows,actual_evals_min,actual_evals_max
formal_10001,alpha_operator_random_q,3,4866.232293684115,4850.279892696229,4788.918281990809,70.54681480125889,0,16000,16000
formal_10001,alpha_operator_random_threshold,3,5044.336702403437,5082.149174655591,4961.225123798065,58.848184884205416,0,16000,16000
formal_10001,alpha_ucb_env,3,4875.0470412240875,4791.036659140152,4779.053444002934,127.37601497274761,0,16000,16000
formal_10001,ppo_full,3,6085.923811179165,6085.923811179165,6085.923811179165,0.0,0,16000,16000
formal_10001,random_full,3,4765.0304160798305,4767.644845318094,4739.8600246707265,19.57170809597213,0,16000,16000
formal_10001,random_operator_only,3,4856.841853462899,4874.1466106443495,4801.646757579334,39.92338912494723,0,16000,16000
held_out,alpha_operator_random_q,3,3696.266911612985,3590.0331623922116,3554.8843451229427,175.67819005880426,0,16000,16000
held_out,alpha_operator_random_threshold,3,3717.27150144028,3724.174540376452,3579.1044622006516,110.10301305968764,0,16000,16000
held_out,alpha_ucb_env,3,3948.0813316238164,3948.9551976650027,3940.3171644873237,6.014487574884427,0,16000,16000
held_out,ppo_full,3,4222.7854921365815,4222.7854921365815,4222.7854921365815,0.0,0,16000,16000
held_out,random_full,3,3555.010202164992,3551.1456895217766,3549.429156355618,6.715680774058233,0,16000,16000
held_out,random_operator_only,3,3873.1901678406275,3881.2614207854567,3837.945204405795,26.113617861291,0,16000,16000
