split,bundle,action_dim,action_dim_name,entropy,top_index,top_label,top_prob
train0,models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,0,destroy,0.00655027013272047,5,vehicle_type_swap,0.9993244409561157
train0,models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,1,repair,0.5751455426216125,1,regret2_insert_repair,0.8174554109573364
train0,models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,2,q_ratio,0.7797942161560059,7,0.333333,0.8205355405807495
train0,models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,3,threshold,1.9668151140213013,55,55,0.6142359972000122
formal_10001,models/data_bundle/generated_instances/E-UK100_01__d2_s3_seed1_24h_20251113,0,destroy,0.0065416088327765465,5,vehicle_type_swap,0.9993253946304321
formal_10001,models/data_bundle/generated_instances/E-UK100_01__d2_s3_seed1_24h_20251113,1,repair,0.5748785734176636,1,regret2_insert_repair,0.8175792098045349
formal_10001,models/data_bundle/generated_instances/E-UK100_01__d2_s3_seed1_24h_20251113,2,q_ratio,0.7792007923126221,7,0.333333,0.8207055330276489
formal_10001,models/data_bundle/generated_instances/E-UK100_01__d2_s3_seed1_24h_20251113,3,threshold,1.9649395942687988,55,55,0.6146509051322937
held_out,models/data_bundle/generated_instances/E-UK100_03__u0_seed3_24h_20251113,0,destroy,0.00655108829960227,5,vehicle_type_swap,0.9993243217468262
held_out,models/data_bundle/generated_instances/E-UK100_03__u0_seed3_24h_20251113,1,repair,0.5751739740371704,1,regret2_insert_repair,0.8174421191215515
held_out,models/data_bundle/generated_instances/E-UK100_03__u0_seed3_24h_20251113,2,q_ratio,0.7798572778701782,7,0.333333,0.8205173015594482
held_out,models/data_bundle/generated_instances/E-UK100_03__u0_seed3_24h_20251113,3,threshold,1.9670153856277466,55,55,0.6141915917396545
