split,algorithm,rows,unique_obs_rounded,obs_reuse_rate,conflicting_obs_buckets,conflicting_obs_bucket_rate,unique_obs_action_rounded,conflicting_obs_action_buckets,conflicting_obs_action_rate
formal_10001,alpha_ucb_env,6144,832,0.8645833333333334,57,0.06850961538461539,1613,60,0.037197768133911964
formal_10001,ppo_full,6144,2684,0.5631510416666667,3,0.0011177347242921013,2684,3,0.0011177347242921013
formal_10001,random_full,6144,6058,0.01399739583333337,2,0.0003301419610432486,6143,0,0.0
held_out,alpha_ucb_env,6144,889,0.8553059895833334,60,0.06749156355455568,1457,52,0.03568977350720659
held_out,ppo_full,6144,1782,0.7099609375,0,0.0,1782,0,0.0
held_out,random_full,6144,6049,0.01546223958333337,2,0.00033063316250619935,6144,0,0.0
train0,alpha_ucb_env,6144,864,0.859375,50,0.05787037037037037,1599,52,0.032520325203252036
train0,ppo_full,6144,2199,0.64208984375,1,0.00045475216007276033,2199,1,0.00045475216007276033
train0,random_full,6144,6057,0.01416015625,2,0.0003301964668978042,6143,0,0.0
