alns_charging_action_count,alns_cost,alns_evals,alns_status,battery_kwh,category,comparison_mode,gap_pct_alns_minus_lns,instance,lns_charging_action_count,lns_cost,lns_evals,lns_status,paired_winner,replicate,scenario,seed,size,winner_algorithm_for_composition,winner_all_cv,winner_all_ev,winner_charging_action_count,winner_cv_physical,winner_ev_physical,winner_ev_route_share,winner_max_trips_per_vehicle
1,3960.9142264324673,16000,OK,100.0,multidepot,wallclock,0.0,e2-multidepot-100c-01,1,3960.9142264324673,16000,OK,tie,1,wc100,1,100,alns_e2_throughput,False,False,1,7,1,0.06666666666666667,2
1,6633.4344963179965,8663,OK,100.0,threeshift,wallclock,0.0,e2-threeshift-200c-01,1,6633.4344963179965,11182,OK,tie,1,wc100,1,200,alns_e2_throughput,False,False,1,14,1,0.037037037037037035,2
1,398.0471571718608,16000,OK,100.0,vanilla,wallclock,-30.62886957927252,e2-vanilla-10c-01,1,573.7936728978657,16000,OK,alns,1,wc100,1,10,alns_e2_throughput,False,False,1,1,1,0.5,1
1,3960.9142264324673,16000,OK,150.0,multidepot,wallclock,0.0,e2-multidepot-100c-01,1,3960.9142264324673,16000,OK,tie,1,wc150,1,100,alns_e2_throughput,False,False,1,7,1,0.06666666666666667,2
1,6633.4344963179965,9547,OK,150.0,threeshift,wallclock,0.0,e2-threeshift-200c-01,1,6633.4344963179965,11719,OK,tie,1,wc150,1,200,alns_e2_throughput,False,False,1,14,1,0.037037037037037035,2
1,396.37361362956347,16000,OK,150.0,vanilla,wallclock,-30.920532527357214,e2-vanilla-10c-01,1,573.7936728978657,16000,OK,alns,1,wc150,1,10,alns_e2_throughput,False,False,1,1,1,0.5,1
1,3960.9142264324673,16000,OK,280.0,multidepot,wallclock,0.0,e2-multidepot-100c-01,1,3960.9142264324673,16000,OK,tie,1,wc280,1,100,alns_e2_throughput,False,False,1,7,1,0.06666666666666667,2
1,6633.4344963179965,9510,OK,280.0,threeshift,wallclock,0.0,e2-threeshift-200c-01,1,6633.4344963179965,11570,OK,tie,1,wc280,1,200,alns_e2_throughput,False,False,1,14,1,0.037037037037037035,2
1,396.37361362956347,16000,OK,280.0,vanilla,wallclock,-30.920532527357214,e2-vanilla-10c-01,1,573.7936728978657,16000,OK,alns,1,wc280,1,10,alns_e2_throughput,False,False,1,1,1,0.5,1
1,3960.9142264324673,16000,OK,80.0,multidepot,wallclock,0.0,e2-multidepot-100c-01,1,3960.9142264324673,16000,OK,tie,1,wc80,1,100,alns_e2_throughput,False,False,1,7,1,0.06666666666666667,2
1,6633.4344963179965,8732,OK,80.0,threeshift,wallclock,0.0,e2-threeshift-200c-01,1,6633.4344963179965,10955,OK,tie,1,wc80,1,200,alns_e2_throughput,False,False,1,14,1,0.037037037037037035,2
2,408.6283967549251,16000,OK,80.0,vanilla,wallclock,-28.78478518398367,e2-vanilla-10c-01,1,573.7936728978657,16000,OK,alns,1,wc80,1,10,alns_e2_throughput,False,False,2,1,1,0.5,1
