all_cv_winner_share,all_ev_winner_share,best_gap_pct_alns_minus_lns,category,mean_gap_pct_alns_minus_lns,mean_winner_charging_action_count,mean_winner_ev_route_share,paired_winner_counts,pairs,scenario,size
0.0,0.0,0.0,multidepot,0.0,1.0,0.06666666666666667,"{""tie"": 1}",1,wc100,100
0.0,0.0,0.0,threeshift,0.0,1.0,0.037037037037037035,"{""tie"": 1}",1,wc100,200
0.0,0.0,-30.62886957927252,vanilla,-30.62886957927252,1.0,0.5,"{""alns"": 1}",1,wc100,10
0.0,0.0,0.0,multidepot,0.0,1.0,0.06666666666666667,"{""tie"": 1}",1,wc150,100
0.0,0.0,0.0,threeshift,0.0,1.0,0.037037037037037035,"{""tie"": 1}",1,wc150,200
0.0,0.0,-30.920532527357214,vanilla,-30.920532527357214,1.0,0.5,"{""alns"": 1}",1,wc150,10
0.0,0.0,0.0,multidepot,0.0,1.0,0.06666666666666667,"{""tie"": 1}",1,wc280,100
0.0,0.0,0.0,threeshift,0.0,1.0,0.037037037037037035,"{""tie"": 1}",1,wc280,200
0.0,0.0,-30.920532527357214,vanilla,-30.920532527357214,1.0,0.5,"{""alns"": 1}",1,wc280,10
0.0,0.0,0.0,multidepot,0.0,1.0,0.06666666666666667,"{""tie"": 1}",1,wc80,100
0.0,0.0,0.0,threeshift,0.0,1.0,0.037037037037037035,"{""tie"": 1}",1,wc80,200
0.0,0.0,-28.78478518398367,vanilla,-28.78478518398367,2.0,0.5,"{""alns"": 1}",1,wc80,10
