instance,seed,run_order,mother_distance,mpils_mvns_distance,relation,improvement_percent,verified_bks,mpils_mvns_gap_to_bks_percent,new_bks_candidate,mother_iterations,mpils_mvns_iterations,mother_wall_seconds,mpils_mvns_wall_seconds,mother_independent_valid,mpils_mvns_independent_valid,mechanism_integrity,responsibility_action_candidates,expert_triggers,expert_accepted,expert_seconds,population_unique_insertions
PR11A,1,mother>mpils_mvns,6849667,6813960,win,0.5212954147989968,6655548,2.3801496135254374,false,10324,8560,8.66260408301605,8.675424666027538,true,true,true,56,57,20,0.5369305367930792,3441
PR17A,1,mpils_mvns>mother,6439328,6462257,loss,-0.3560775285868339,6292594,2.6962330638207392,false,10911,8479,8.663870625023264,8.735468958038837,true,true,true,49,52,18,0.5407734561595134,2878
PR21A,1,mother>mpils_mvns,6395861,6473824,loss,-1.2189601994164663,6230046,3.9129406107113818,false,10876,8851,8.741961624997202,8.692690833006054,true,true,true,47,60,11,0.7347862086608075,2630
