region,scale_band,comparison,single_view_mean_cost,mv_hgs_sp_mean_cost,difference_cny,outcome
jjj,S,MV-HGS-SP_vs_HGS-F,899.7963734185175,895.7500840720509,4.046289346466665,win
jjj,S,MV-HGS-SP_vs_HGS-E,895.8712296874771,895.7500840720509,0.12114561542625779,win
jjj,S,MV-HGS-SP_vs_HGS-M,895.7500840720509,895.7500840720509,0.0,tie
jjj,M,MV-HGS-SP_vs_HGS-F,2631.4851665764313,2602.471000931366,29.014165645065532,win
jjj,M,MV-HGS-SP_vs_HGS-E,2602.976890021382,2602.471000931366,0.5058890900163533,win
jjj,M,MV-HGS-SP_vs_HGS-M,2602.9939575405206,2602.471000931366,0.5229566091547895,win
jjj,L,MV-HGS-SP_vs_HGS-F,7335.634709397137,7290.457093800924,45.1776155962134,win
jjj,L,MV-HGS-SP_vs_HGS-E,7311.433352226909,7290.457093800924,20.97625842598518,win
jjj,L,MV-HGS-SP_vs_HGS-M,7317.300745605368,7290.457093800924,26.843651804444562,win
prd,S,MV-HGS-SP_vs_HGS-F,782.9303261565851,777.1735066332681,5.756819523317063,win
prd,S,MV-HGS-SP_vs_HGS-E,777.1735066332681,777.1735066332681,0.0,tie
prd,S,MV-HGS-SP_vs_HGS-M,777.1735066332681,777.1735066332681,0.0,tie
prd,M,MV-HGS-SP_vs_HGS-F,2478.791636186164,2455.496644081044,23.294992105119945,win
prd,M,MV-HGS-SP_vs_HGS-E,2455.635355421857,2455.496644081044,0.13871134081318814,win
prd,M,MV-HGS-SP_vs_HGS-M,2455.5252236399488,2455.496644081044,0.0285795589047666,win
prd,L,MV-HGS-SP_vs_HGS-F,7258.735901351251,7219.728333559619,39.00756779163203,win
prd,L,MV-HGS-SP_vs_HGS-E,7269.163290655477,7219.728333559619,49.4349570958575,win
prd,L,MV-HGS-SP_vs_HGS-M,7299.521702747769,7219.728333559619,79.79336918814988,win
cy,S,MV-HGS-SP_vs_HGS-F,925.4981295791699,920.0349116478569,5.463217931313011,win
cy,S,MV-HGS-SP_vs_HGS-E,920.109909694964,920.0349116478569,0.07499804710710123,win
cy,S,MV-HGS-SP_vs_HGS-M,920.0349116478569,920.0349116478569,0.0,tie
cy,M,MV-HGS-SP_vs_HGS-F,2624.14376155439,2563.0602776698047,61.08348388458535,win
cy,M,MV-HGS-SP_vs_HGS-E,2567.6584233470294,2563.0602776698047,4.598145677224693,win
cy,M,MV-HGS-SP_vs_HGS-M,2565.884825102173,2563.0602776698047,2.8245474323684903,win
cy,L,MV-HGS-SP_vs_HGS-F,7444.448607777387,7383.8437815142715,60.60482626311568,win
cy,L,MV-HGS-SP_vs_HGS-E,7429.325803783195,7383.8437815142715,45.482022268923174,win
cy,L,MV-HGS-SP_vs_HGS-M,7444.416975565937,7383.8437815142715,60.57319405166527,win
