scope,comparison,paired_units,wins,ties,losses
instance_seed_descriptive,MV-HGS-SP_vs_HGS-F,405,307,98,0
instance_seed_descriptive,MV-HGS-SP_vs_HGS-E,405,168,237,0
instance_seed_descriptive,MV-HGS-SP_vs_HGS-M,405,140,265,0
