scope,comparison,paired_units,wins,ties,losses,one_sided_wilcoxon_p_value,holm_adjusted_p_value
instance_five_seed_mean_primary,MV-HGS-SP_vs_HGS-F,81,66,15,0,8.204742338136135e-13,1.640948467627227e-12
instance_five_seed_mean_primary,MV-HGS-SP_vs_HGS-E,81,43,38,0,1.1368683772161603e-13,3.410605131648481e-13
instance_five_seed_mean_primary,MV-HGS-SP_vs_HGS-M,81,35,46,0,2.9103830456733704e-11,2.9103830456733704e-11
