check_kind,compared_metric_count,current_violation_count,dataset,instance,legality_scope,maximum_absolute_difference,negative_charge_day_offsets,pass,run_id,seed
sealed_cost_replay,6,0,E2_810,L-main-threeshift-100c-01,current route-level checker,0.0,0,True,E2_FINAL_10SEED__diagnostic_280_override__threeshift__L-main-threeshift-100c-01__ACO__seed1,1
sealed_cost_replay,6,0,E2_810,L-main-threeshift-10c-01,current route-level checker,0.0,0,True,E2_FINAL_10SEED__diagnostic_280_override__threeshift__L-main-threeshift-10c-01__ACO__seed1,1
sealed_cost_replay,6,0,E2_810,L-main-threeshift-150c-01,current route-level checker,0.0,0,True,E2_FINAL_10SEED__diagnostic_280_override__threeshift__L-main-threeshift-150c-01__ACO__seed1,1
sealed_cost_replay,6,0,E2_810,L-main-threeshift-15c-01,current route-level checker,0.0,0,True,E2_FINAL_10SEED__diagnostic_280_override__threeshift__L-main-threeshift-15c-01__ACO__seed1,1
sealed_cost_replay,6,0,E2_810,L-main-threeshift-200c-01,current route-level checker,0.0,0,True,E2_FINAL_10SEED__diagnostic_280_override__threeshift__L-main-threeshift-200c-01__ACO__seed1,1
sealed_cost_replay,6,0,E2_810,L-main-threeshift-200c-01,current route-level checker,0.0,0,True,E2_FINAL_10SEED__diagnostic_280_override__threeshift__L-main-threeshift-200c-01__staged_hybrid_carbon_aware__seed10,10
sealed_cost_replay,6,0,E2_810,L-main-threeshift-20c-01,current route-level checker,0.0,0,True,E2_FINAL_10SEED__diagnostic_280_override__threeshift__L-main-threeshift-20c-01__staged_hybrid_carbon_aware__seed10,10
sealed_cost_replay,6,0,E2_810,L-main-threeshift-25c-01,current route-level checker,0.0,0,True,E2_FINAL_10SEED__diagnostic_280_override__threeshift__L-main-threeshift-25c-01__staged_hybrid_carbon_aware__seed10,10
sealed_cost_replay,6,0,E2_810,L-main-threeshift-50c-01,current route-level checker,0.0,0,True,E2_FINAL_10SEED__diagnostic_280_override__threeshift__L-main-threeshift-50c-01__staged_hybrid_carbon_aware__seed10,10
sealed_cost_replay,6,0,E2_810,L-main-threeshift-75c-01,current route-level checker,0.0,0,True,E2_FINAL_10SEED__diagnostic_280_override__threeshift__L-main-threeshift-75c-01__staged_hybrid_carbon_aware__seed10,10
sealed_cost_replay,13,0,E1_25,L-main-threeshift-100c-01,current route-level checker,0.0,0,True,E1_REUSE__L-main-threeshift-100c-01__mixed__seed1,1
sealed_cost_replay,13,0,E1_25,L-main-threeshift-100c-01,current route-level checker,0.0,0,True,E1_REUSE__L-main-threeshift-100c-01__mixed__seed4,4
sealed_cost_replay,13,0,E1_25,L-main-threeshift-150c-01,current route-level checker,0.0,0,True,E1_REUSE__L-main-threeshift-150c-01__mixed__seed1,1
sealed_cost_replay,13,0,E1_25,L-main-threeshift-150c-01,current route-level checker,0.0,0,True,E1_REUSE__L-main-threeshift-150c-01__mixed__seed4,4
sealed_cost_replay,13,0,E1_25,L-main-threeshift-200c-01,current route-level checker,0.0,0,True,E1__280__L-main-threeshift-200c-01__cv_only__seed2__eval4000,2
sealed_cost_replay,13,0,E1_25,L-main-threeshift-200c-01,current route-level checker,0.0,0,True,E1__280__L-main-threeshift-200c-01__cv_only__seed4__eval4000,4
sealed_cost_replay,13,0,E1_25,L-main-threeshift-200c-01,current route-level checker,0.0,0,True,E1_REUSE__L-main-threeshift-200c-01__mixed__seed2,2
sealed_cost_replay,13,0,E1_25,L-main-threeshift-200c-01,current route-level checker,0.0,0,True,E1_REUSE__L-main-threeshift-200c-01__mixed__seed5,5
sealed_cost_replay,13,0,E1_25,L-main-threeshift-50c-01,current route-level checker,0.0,0,True,E1_REUSE__L-main-threeshift-50c-01__mixed__seed2,2
sealed_cost_replay,13,0,E1_25,L-main-threeshift-50c-01,current route-level checker,0.0,0,True,E1_REUSE__L-main-threeshift-50c-01__mixed__seed5,5
sealed_cost_replay,13,not_rejudged,E3_v11_100,L-main-threeshift-200c-01,cost only; sealed strict certificate remains the legality authority,401.428677933216,0,False,E3__200c__M0__seed6__fee0__eval4000,6
sealed_cost_replay,13,not_rejudged,E3_v11_100,L-main-threeshift-200c-01,cost only; sealed strict certificate remains the legality authority,367.9830711421036,0,False,E3__200c__M0__seed9__fee0__eval4000,9
sealed_cost_replay,13,not_rejudged,E3_v11_100,L-main-threeshift-200c-01,cost only; sealed strict certificate remains the legality authority,375.66367106522057,0,False,E3__200c__M1__seed7__fee0__eval4000,7
sealed_cost_replay,13,not_rejudged,E3_v11_100,L-main-threeshift-200c-01,cost only; sealed strict certificate remains the legality authority,113.32043134676314,0,False,E3__200c__M2__seed6__fee0__eval4000,6
sealed_cost_replay,13,not_rejudged,E3_v11_100,L-main-threeshift-200c-01,cost only; sealed strict certificate remains the legality authority,24.00856361615388,0,False,E3__200c__M2__seed9__fee0__eval4000,9
sealed_cost_replay,13,not_rejudged,E3_v11_100,L-main-threeshift-200c-01,cost only; sealed strict certificate remains the legality authority,0.0,0,True,E3__200c__M3__seed7__fee0__eval4000,7
sealed_cost_replay,13,not_rejudged,E3_v11_100,L-main-threeshift-200c-01,cost only; sealed strict certificate remains the legality authority,0.0,0,True,E3__200c__M3__seed10__fee0__eval4000,10
sealed_cost_replay,13,not_rejudged,E3_v11_100,L-main-threeshift-200c-01,cost only; sealed strict certificate remains the legality authority,0.0,0,True,E3__200c__M4__seed9__fee0__eval4000,9
sealed_cost_replay,13,not_rejudged,E3_v11_100,L-main-threeshift-200c-01,cost only; sealed strict certificate remains the legality authority,0.0,0,True,E3__200c__M5__seed7__fee0__eval4000,7
sealed_cost_replay,13,not_rejudged,E3_v11_100,L-main-threeshift-200c-01,cost only; sealed strict certificate remains the legality authority,0.0,0,True,E3__200c__M5__seed10__fee0__eval4000,10
sealed_cost_replay,13,not_rejudged,E3_formal_108,L-main-threeshift-100c-01,cost only; paired formal certificate remains the legality authority,0.0,10,True,L-main-threeshift-100c-01__geographic__seed1__ownership_fixed,1
sealed_cost_replay,13,not_rejudged,E3_formal_108,L-main-threeshift-10c-01,cost only; paired formal certificate remains the legality authority,0.0,2,True,L-main-threeshift-10c-01__geographic__seed1__ownership_fixed,1
sealed_cost_replay,13,not_rejudged,E3_formal_108,L-main-threeshift-150c-01,cost only; paired formal certificate remains the legality authority,0.0,16,True,L-main-threeshift-150c-01__geographic__seed1__ownership_fixed,1
sealed_cost_replay,13,not_rejudged,E3_formal_108,L-main-threeshift-15c-01,cost only; paired formal certificate remains the legality authority,0.0,2,True,L-main-threeshift-15c-01__geographic__seed1__ownership_fixed,1
sealed_cost_replay,13,not_rejudged,E3_formal_108,L-main-threeshift-200c-01,cost only; paired formal certificate remains the legality authority,0.0,20,True,L-main-threeshift-200c-01__geographic__seed1__ownership_fixed,1
sealed_cost_replay,13,not_rejudged,E3_formal_108,L-main-threeshift-200c-01,cost only; paired formal certificate remains the legality authority,0.0,22,True,L-main-threeshift-200c-01__mixed__seed3__reassignment_allowed,3
sealed_cost_replay,13,not_rejudged,E3_formal_108,L-main-threeshift-20c-01,cost only; paired formal certificate remains the legality authority,0.0,2,True,L-main-threeshift-20c-01__mixed__seed3__reassignment_allowed,3
sealed_cost_replay,13,not_rejudged,E3_formal_108,L-main-threeshift-25c-01,cost only; paired formal certificate remains the legality authority,0.0,2,True,L-main-threeshift-25c-01__mixed__seed3__reassignment_allowed,3
sealed_cost_replay,13,not_rejudged,E3_formal_108,L-main-threeshift-50c-01,cost only; paired formal certificate remains the legality authority,0.0,5,True,L-main-threeshift-50c-01__mixed__seed3__reassignment_allowed,3
sealed_cost_replay,13,not_rejudged,E3_formal_108,L-main-threeshift-75c-01,cost only; paired formal certificate remains the legality authority,0.0,9,True,L-main-threeshift-75c-01__mixed__seed3__reassignment_allowed,3
formal_roundtrip,1575,not_rejudged,E3_formal_108,all_9_networks,raw_negative_offsets=823; loaded_negative_offsets=823,0,823,True,all_saved_solutions,1-3
source_commit_reconciliation,6,not_applicable,E3_formal_108,all_9_networks,recorded_parent_matches=2; missing_at_parent=1; actual_run_commit_matches=6,0,,True,metadata_source_commit,1-3
