run_id,size,instance,layer,seed,fee,budget
E3__200c__M5__seed4__fee50__eval4000,200c,L-main-threeshift-200c-01,M5,4,50.0,4000
E3__200c__M5__seed4__fee95__eval4000,200c,L-main-threeshift-200c-01,M5,4,95.0,4000
E3__200c__M0__seed5__fee0__eval4000,200c,L-main-threeshift-200c-01,M0,5,0.0,4000
E3__200c__M1__seed5__fee0__eval4000,200c,L-main-threeshift-200c-01,M1,5,0.0,4000
E3__200c__M2__seed5__fee0__eval4000,200c,L-main-threeshift-200c-01,M2,5,0.0,4000
E3__200c__M3__seed5__fee0__eval4000,200c,L-main-threeshift-200c-01,M3,5,0.0,4000
E3__200c__M4__seed5__fee0__eval4000,200c,L-main-threeshift-200c-01,M4,5,0.0,4000
E3__200c__M5__seed5__fee0__eval4000,200c,L-main-threeshift-200c-01,M5,5,0.0,4000
E3__100c__M0__seed5__fee0__eval4000,100c,L-main-threeshift-100c-01,M0,5,0.0,4000
E3__100c__M1__seed5__fee0__eval4000,100c,L-main-threeshift-100c-01,M1,5,0.0,4000
E3__100c__M3__seed5__fee0__eval4000,100c,L-main-threeshift-100c-01,M3,5,0.0,4000
E3__100c__M5__seed5__fee0__eval4000,100c,L-main-threeshift-100c-01,M5,5,0.0,4000
E3__200c__M5__seed5__fee10__eval4000,200c,L-main-threeshift-200c-01,M5,5,10.0,4000
E3__200c__M5__seed5__fee25__eval4000,200c,L-main-threeshift-200c-01,M5,5,25.0,4000
E3__200c__M5__seed5__fee50__eval4000,200c,L-main-threeshift-200c-01,M5,5,50.0,4000
E3__200c__M5__seed5__fee95__eval4000,200c,L-main-threeshift-200c-01,M5,5,95.0,4000
