fixture,label,arm,source_cost,counterfactual_cost,output_cost,changed,feasible,exact_candidate_capacity,exact_candidates_completed,vehicle_patterns,joint_feasibility_checks,joint_complete_replays,independent_replays,accepted_moves,candidate_set_sha256,accepted_candidate_sha256,result_sha256,complete_route_search_evaluations
binding,mechanism_cap_0,mechanism,249.81140845994744,249.81140845994744,249.81140845994744,False,True,0,0,0,0,0,0,0,19041c4771b74656ff411b91c25ae6f2acf8e20ac268db260dff0513ea86ad08,,28affbf9455e1b7967348c1528d3e94c7defd4b9c324990824848c446dd6ddf2,0
binding,mechanism_cap_1,mechanism,249.81140845994744,249.81140845994744,150.06492395356452,True,True,1,1,1,1,1,1,1,19041c4771b74656ff411b91c25ae6f2acf8e20ac268db260dff0513ea86ad08,faec7c8b05b93b4d65e14d68217a58fb950dc2c40be5892a5133ba16022ed9b8,0da078bc1eedbbc16004ec14b428d8f751c9020534ef86be6673c48c2c7420bf,0
binding,mechanism_cap_2,mechanism,249.81140845994744,249.81140845994744,150.06492395356452,True,True,2,2,2,2,2,1,1,19041c4771b74656ff411b91c25ae6f2acf8e20ac268db260dff0513ea86ad08,faec7c8b05b93b4d65e14d68217a58fb950dc2c40be5892a5133ba16022ed9b8,99e6b69bebaf3e0024c5194a8d66e2c3ee42cb361a023addb17107dd702f6b98,0
binding,mechanism_cap_4,mechanism,249.81140845994744,249.81140845994744,150.06492395356452,True,True,4,4,4,4,4,1,1,19041c4771b74656ff411b91c25ae6f2acf8e20ac268db260dff0513ea86ad08,faec7c8b05b93b4d65e14d68217a58fb950dc2c40be5892a5133ba16022ed9b8,6d58b91df2706a943b245422f2c14ef0e83f8bb14b11ca7ebf34c2a1f500fb7f,0
binding,distance_cap_4,distance,249.81140845994744,249.81140845994744,249.81140845994744,False,True,4,4,4,4,4,0,0,19041c4771b74656ff411b91c25ae6f2acf8e20ac268db260dff0513ea86ad08,,720b56b62795e28432318359f4af323a44031863e8799631813d4e48162fbbe6,0
nonbinding,mechanism_cap_4,mechanism,21.271102059996483,21.271102059996483,21.271102059996483,False,True,4,1,1,1,1,0,0,c77035f9508f8269bf2110a62a54ea036821bec15a7d71e063b607ebd68ba5dc,,b8a2bc214562afbcabe2654e0bc65ff12753835a09d029c0b1af6496d8568a1e,0
nonbinding,distance_cap_4,distance,21.271102059996483,21.271102059996483,21.271102059996483,False,True,4,1,1,1,1,0,0,c77035f9508f8269bf2110a62a54ea036821bec15a7d71e063b607ebd68ba5dc,,ea58ed4a6cf0cd50fa9fe111bf030b78e3cd94e4709fead38dceb5d28a17f6df,0
