run_id,phase,category,instance,profile,algorithm,seed,status,failure_reason,eval_budget,actual_evals,best_cost,best_signature,feasible,violation_count,route_count
STRONG_BRIDGE_BACKEND_PROBE__multidepot__e2-multidepot-10c-01__A3_STRONG_BRIDGE_BACKEND__seed3,STRONG_BRIDGE_BACKEND_PROBE,multidepot,e2-multidepot-10c-01,A3_STRONG_BRIDGE_BACKEND,alns_e2_throughput,3,OK,,4000,4000,387.9007343319535,e912d411804e6ecf628a63c74039a895c2c57ece27acdb7f93879d282d362c2b,True,0,2
STRONG_BRIDGE_BACKEND_PROBE__multidepot__e2-multidepot-10c-01__LNS_TRACE_REFERENCE__seed3,STRONG_BRIDGE_BACKEND_PROBE,multidepot,e2-multidepot-10c-01,LNS_TRACE_REFERENCE,LNS,3,OK,,4000,4000,371.9993673208387,1e7f223e3c6ca3e4297c0ae06ab336fc14dfd3e823cf75d6613f8262a1352f52,True,0,2
STRONG_BRIDGE_BACKEND_PROBE__multidepot__e2-multidepot-150c-01__A0_TRACE__seed1,STRONG_BRIDGE_BACKEND_PROBE,multidepot,e2-multidepot-150c-01,A0_TRACE,alns_e2_throughput,1,OK,,4000,4000,3509.8331347263615,da1c781464bc95881f0b4d2477082ca5222bcc4dd5827a11aecc734dad5924cf,True,0,22
STRONG_BRIDGE_BACKEND_PROBE__multidepot__e2-multidepot-150c-01__A3_STRONG_BRIDGE_BACKEND__seed1,STRONG_BRIDGE_BACKEND_PROBE,multidepot,e2-multidepot-150c-01,A3_STRONG_BRIDGE_BACKEND,alns_e2_throughput,1,OK,,4000,4000,3411.644505690614,2c4b4e9a7c37284769f9a636f0d6e4d85cc1402894ddb52a4c46c42db29f1fd9,True,0,21
STRONG_BRIDGE_BACKEND_PROBE__multidepot__e2-multidepot-150c-01__LNS_TRACE_REFERENCE__seed1,STRONG_BRIDGE_BACKEND_PROBE,multidepot,e2-multidepot-150c-01,LNS_TRACE_REFERENCE,LNS,1,OK,,4000,4000,3685.5317025257395,071abea62d0c53c5261d014c5883fddd27ab9991f0bf48826444868e04ae7ae7,True,0,22
STRONG_BRIDGE_BACKEND_PROBE__multidepot__e2-multidepot-150c-01__A0_TRACE__seed2,STRONG_BRIDGE_BACKEND_PROBE,multidepot,e2-multidepot-150c-01,A0_TRACE,alns_e2_throughput,2,OK,,4000,4000,3462.6088470501318,a6317a70f43961be467b15a504d7c302433a136dc690d4d738447e36390c8465,True,0,21
STRONG_BRIDGE_BACKEND_PROBE__multidepot__e2-multidepot-150c-01__A3_STRONG_BRIDGE_BACKEND__seed2,STRONG_BRIDGE_BACKEND_PROBE,multidepot,e2-multidepot-150c-01,A3_STRONG_BRIDGE_BACKEND,alns_e2_throughput,2,OK,,4000,4000,3405.903648258894,cfa3847b5c833c35b17339991f5f10acdd4e85be4facbbaadb42e6760fbf163f,True,0,21
STRONG_BRIDGE_BACKEND_PROBE__multidepot__e2-multidepot-150c-01__LNS_TRACE_REFERENCE__seed2,STRONG_BRIDGE_BACKEND_PROBE,multidepot,e2-multidepot-150c-01,LNS_TRACE_REFERENCE,LNS,2,OK,,4000,4000,3581.7494699726385,98d2fad329de44e6976443388a2da6497153c2f633704fbe1b0ff13faf3b6e3d,True,0,22
STRONG_BRIDGE_BACKEND_PROBE__multidepot__e2-multidepot-150c-01__A0_TRACE__seed3,STRONG_BRIDGE_BACKEND_PROBE,multidepot,e2-multidepot-150c-01,A0_TRACE,alns_e2_throughput,3,OK,,4000,4000,3468.0418603955927,d07418fee1ded85540d89c2b3cc011bc840b2becbfab4fc10c82f5ee66dc837a,True,0,21
STRONG_BRIDGE_BACKEND_PROBE__multidepot__e2-multidepot-150c-01__A3_STRONG_BRIDGE_BACKEND__seed3,STRONG_BRIDGE_BACKEND_PROBE,multidepot,e2-multidepot-150c-01,A3_STRONG_BRIDGE_BACKEND,alns_e2_throughput,3,OK,,4000,4000,3465.2083487781174,989a37c18ce24fcc7d98bf90bc4e3194ad35ecc50ac2134f1f05618e51e6b871,True,0,21
STRONG_BRIDGE_BACKEND_PROBE__multidepot__e2-multidepot-150c-01__LNS_TRACE_REFERENCE__seed3,STRONG_BRIDGE_BACKEND_PROBE,multidepot,e2-multidepot-150c-01,LNS_TRACE_REFERENCE,LNS,3,OK,,4000,4000,3600.3620326505716,e913b583c601c40ce2b4ad1e4a3bec3f55c720ce80bd244785bce1357f848112,True,0,21
STRONG_BRIDGE_BACKEND_PROBE__multidepot__e2-multidepot-15c-01__A0_TRACE__seed1,STRONG_BRIDGE_BACKEND_PROBE,multidepot,e2-multidepot-15c-01,A0_TRACE,alns_e2_throughput,1,OK,,4000,4000,649.8601526479185,762a63fb3e4dcba33c38aa40569b974c4de52893b8e9d9a9533b82e2e4dad0df,True,0,3
STRONG_BRIDGE_BACKEND_PROBE__multidepot__e2-multidepot-15c-01__A3_STRONG_BRIDGE_BACKEND__seed1,STRONG_BRIDGE_BACKEND_PROBE,multidepot,e2-multidepot-15c-01,A3_STRONG_BRIDGE_BACKEND,alns_e2_throughput,1,OK,,4000,4000,649.8601526479185,762a63fb3e4dcba33c38aa40569b974c4de52893b8e9d9a9533b82e2e4dad0df,True,0,3
STRONG_BRIDGE_BACKEND_PROBE__multidepot__e2-multidepot-15c-01__LNS_TRACE_REFERENCE__seed1,STRONG_BRIDGE_BACKEND_PROBE,multidepot,e2-multidepot-15c-01,LNS_TRACE_REFERENCE,LNS,1,OK,,4000,4000,621.371321439464,1c000eeb57695b515abd823486eee0551f00b65081b9aeb6fc8a1197a733b46f,True,0,2
STRONG_BRIDGE_BACKEND_PROBE__multidepot__e2-multidepot-15c-01__A0_TRACE__seed2,STRONG_BRIDGE_BACKEND_PROBE,multidepot,e2-multidepot-15c-01,A0_TRACE,alns_e2_throughput,2,OK,,4000,4000,621.371321439464,38dc01d650f6effda6eea13731fd4666a96256b68521f1f276a6448fd8e49b6e,True,0,2
STRONG_BRIDGE_BACKEND_PROBE__multidepot__e2-multidepot-15c-01__A3_STRONG_BRIDGE_BACKEND__seed2,STRONG_BRIDGE_BACKEND_PROBE,multidepot,e2-multidepot-15c-01,A3_STRONG_BRIDGE_BACKEND,alns_e2_throughput,2,OK,,4000,4000,649.8601526479185,762a63fb3e4dcba33c38aa40569b974c4de52893b8e9d9a9533b82e2e4dad0df,True,0,3
STRONG_BRIDGE_BACKEND_PROBE__multidepot__e2-multidepot-15c-01__LNS_TRACE_REFERENCE__seed2,STRONG_BRIDGE_BACKEND_PROBE,multidepot,e2-multidepot-15c-01,LNS_TRACE_REFERENCE,LNS,2,OK,,4000,4000,622.2834651918408,1c000eeb57695b515abd823486eee0551f00b65081b9aeb6fc8a1197a733b46f,True,0,2
STRONG_BRIDGE_BACKEND_PROBE__multidepot__e2-multidepot-15c-01__A0_TRACE__seed3,STRONG_BRIDGE_BACKEND_PROBE,multidepot,e2-multidepot-15c-01,A0_TRACE,alns_e2_throughput,3,OK,,4000,4000,649.8601526479185,762a63fb3e4dcba33c38aa40569b974c4de52893b8e9d9a9533b82e2e4dad0df,True,0,3
STRONG_BRIDGE_BACKEND_PROBE__multidepot__e2-multidepot-15c-01__A3_STRONG_BRIDGE_BACKEND__seed3,STRONG_BRIDGE_BACKEND_PROBE,multidepot,e2-multidepot-15c-01,A3_STRONG_BRIDGE_BACKEND,alns_e2_throughput,3,OK,,4000,4000,621.371321439464,38dc01d650f6effda6eea13731fd4666a96256b68521f1f276a6448fd8e49b6e,True,0,2
STRONG_BRIDGE_BACKEND_PROBE__multidepot__e2-multidepot-15c-01__LNS_TRACE_REFERENCE__seed3,STRONG_BRIDGE_BACKEND_PROBE,multidepot,e2-multidepot-15c-01,LNS_TRACE_REFERENCE,LNS,3,OK,,4000,4000,649.8601526479185,762a63fb3e4dcba33c38aa40569b974c4de52893b8e9d9a9533b82e2e4dad0df,True,0,3
STRONG_BRIDGE_BACKEND_PROBE__multidepot__e2-multidepot-20c-01__A0_TRACE__seed1,STRONG_BRIDGE_BACKEND_PROBE,multidepot,e2-multidepot-20c-01,A0_TRACE,alns_e2_throughput,1,OK,,4000,4000,727.4079495694979,f3ea6330afb7c16c2b641f138ae7e6d0f69104970851a7e75e7e9defc055c07e,True,0,3
STRONG_BRIDGE_BACKEND_PROBE__multidepot__e2-multidepot-20c-01__A3_STRONG_BRIDGE_BACKEND__seed1,STRONG_BRIDGE_BACKEND_PROBE,multidepot,e2-multidepot-20c-01,A3_STRONG_BRIDGE_BACKEND,alns_e2_throughput,1,OK,,4000,4000,705.750850756463,6e5fb3ec24c09fcdbcfad00d5799235015116bfdf53b3237c01af71d4239f100,True,0,3
STRONG_BRIDGE_BACKEND_PROBE__multidepot__e2-multidepot-20c-01__LNS_TRACE_REFERENCE__seed1,STRONG_BRIDGE_BACKEND_PROBE,multidepot,e2-multidepot-20c-01,LNS_TRACE_REFERENCE,LNS,1,OK,,4000,4000,700.4933751651098,1e74f4726f46759aaff81def478a0dfa87dcc96562c97e10cc387ee2db1324ae,True,0,3
STRONG_BRIDGE_BACKEND_PROBE__multidepot__e2-multidepot-20c-01__A0_TRACE__seed2,STRONG_BRIDGE_BACKEND_PROBE,multidepot,e2-multidepot-20c-01,A0_TRACE,alns_e2_throughput,2,OK,,4000,4000,731.4747515610208,e8fe0c322fb1cb779f4158a05653830e0844f26bd8207666f1328aa6614b001f,True,0,3
STRONG_BRIDGE_BACKEND_PROBE__multidepot__e2-multidepot-20c-01__A3_STRONG_BRIDGE_BACKEND__seed2,STRONG_BRIDGE_BACKEND_PROBE,multidepot,e2-multidepot-20c-01,A3_STRONG_BRIDGE_BACKEND,alns_e2_throughput,2,OK,,4000,4000,705.750850756463,6e5fb3ec24c09fcdbcfad00d5799235015116bfdf53b3237c01af71d4239f100,True,0,3
STRONG_BRIDGE_BACKEND_PROBE__multidepot__e2-multidepot-20c-01__LNS_TRACE_REFERENCE__seed2,STRONG_BRIDGE_BACKEND_PROBE,multidepot,e2-multidepot-20c-01,LNS_TRACE_REFERENCE,LNS,2,OK,,4000,4000,705.750850756463,7849a391f2a5c46c39a9661f7b662fa236dbca7ddf964784bc15c8f9ebb403e7,True,0,3
STRONG_BRIDGE_BACKEND_PROBE__multidepot__e2-multidepot-20c-01__A0_TRACE__seed3,STRONG_BRIDGE_BACKEND_PROBE,multidepot,e2-multidepot-20c-01,A0_TRACE,alns_e2_throughput,3,OK,,4000,4000,705.750850756463,6e5fb3ec24c09fcdbcfad00d5799235015116bfdf53b3237c01af71d4239f100,True,0,3
STRONG_BRIDGE_BACKEND_PROBE__multidepot__e2-multidepot-20c-01__A3_STRONG_BRIDGE_BACKEND__seed3,STRONG_BRIDGE_BACKEND_PROBE,multidepot,e2-multidepot-20c-01,A3_STRONG_BRIDGE_BACKEND,alns_e2_throughput,3,OK,,4000,4000,707.0076075763136,eb1307e84cfeb7fb36163e3ab73a848935e439632d5ca086914cd6d705fbacbc,True,0,3
STRONG_BRIDGE_BACKEND_PROBE__multidepot__e2-multidepot-20c-01__LNS_TRACE_REFERENCE__seed3,STRONG_BRIDGE_BACKEND_PROBE,multidepot,e2-multidepot-20c-01,LNS_TRACE_REFERENCE,LNS,3,OK,,4000,4000,707.2366001999801,645dac0b41f697b1b47dcfcdec2e059f954a7515228e1154617ddf64ff05775d,True,0,3
STRONG_BRIDGE_BACKEND_PROBE__multidepot__e2-multidepot-50c-01__A0_TRACE__seed1,STRONG_BRIDGE_BACKEND_PROBE,multidepot,e2-multidepot-50c-01,A0_TRACE,alns_e2_throughput,1,OK,,4000,4000,1193.224915940164,087447d57449fc2477dd7d6145b6ad580f392c95ec6defef9372e4bedbcd8e8a,True,0,7
STRONG_BRIDGE_BACKEND_PROBE__multidepot__e2-multidepot-50c-01__A3_STRONG_BRIDGE_BACKEND__seed1,STRONG_BRIDGE_BACKEND_PROBE,multidepot,e2-multidepot-50c-01,A3_STRONG_BRIDGE_BACKEND,alns_e2_throughput,1,OK,,4000,4000,1193.943507636991,676586f7bcca03754f38248e30036520a2beacd11a821b82148c4741cdf04342,True,0,7
STRONG_BRIDGE_BACKEND_PROBE__multidepot__e2-multidepot-50c-01__LNS_TRACE_REFERENCE__seed1,STRONG_BRIDGE_BACKEND_PROBE,multidepot,e2-multidepot-50c-01,LNS_TRACE_REFERENCE,LNS,1,OK,,4000,4000,1288.1390712046432,a7e3d651d928a11f24458ae50a60ece796a61fc1954ec26a8cc524c982deae87,True,0,7
