scope,category,instance,seed,wins_vs_a0,losses_vs_a0,ties_vs_a0,a0_mean_gap_vs_lns,a3_mean_gap_vs_lns,a0_unchanged_rate,a3_unchanged_rate,a0_best_improved_rate,a3_best_improved_rate,a0_best_cost,a3_best_cost,lns_best_cost,a0_gap_vs_lns,a3_gap_vs_lns,outcome_vs_a0
ALL,ALL,ALL,ALL,20,24,4,-0.0027550841310447025,-0.01268965932170772,0.5410776576661385,0.5409924374758114,0.010956482629137445,0.013765258412392917,,,,,,
run,multidepot,e2-multidepot-100c-01,1,,,,,,,,,,2517.918908768099,2517.911013675333,2524.1709481815974,0.0024768684617032357,0.0024799962580878696,A3_BETTER
run,multidepot,e2-multidepot-100c-01,2,,,,,,,,,,2574.117100251439,2572.8193630353417,2515.691011919639,-0.023224667916278304,-0.022708810758166144,A3_BETTER
run,multidepot,e2-multidepot-100c-01,3,,,,,,,,,,2473.0847506621276,2632.1163966158874,2551.814954251537,0.030852630383029295,-0.031468364205077426,A3_WORSE
run,multidepot,e2-multidepot-10c-01,1,,,,,,,,,,387.9007343319535,387.9007343319535,373.5325844458525,-0.038465586362208926,-0.038465586362208926,TIE
run,multidepot,e2-multidepot-10c-01,2,,,,,,,,,,387.9007343319535,387.9007343319535,371.9993673208387,-0.0427456829446711,-0.0427456829446711,TIE
run,multidepot,e2-multidepot-10c-01,3,,,,,,,,,,387.9007343319535,387.9007343319535,371.9993673208387,-0.0427456829446711,-0.0427456829446711,TIE
run,multidepot,e2-multidepot-150c-01,1,,,,,,,,,,3509.8331347263615,3411.644505690614,3685.5317025257395,0.0476725156587229,0.07431416114191264,A3_BETTER
run,multidepot,e2-multidepot-150c-01,2,,,,,,,,,,3462.6088470501318,3405.903648258894,3581.7494699726385,0.033263248566465724,0.04909495295188466,A3_BETTER
run,multidepot,e2-multidepot-150c-01,3,,,,,,,,,,3468.0418603955927,3465.2083487781174,3600.3620326505716,0.03675190746236297,0.037538914877667064,A3_BETTER
run,multidepot,e2-multidepot-15c-01,1,,,,,,,,,,649.8601526479185,649.8601526479185,621.371321439464,-0.04584832003906694,-0.04584832003906694,TIE
run,multidepot,e2-multidepot-15c-01,2,,,,,,,,,,621.371321439464,649.8601526479185,622.2834651918408,0.0014658010430914753,-0.04431531448063821,A3_WORSE
