instance,customer_count,active_bundle_path,registry_order_match,manifest_instance_match,bundle_hashes_match,shared_start_routes,shared_start_charging_actions,shared_start_cost_gbp,violation_count,shared_start_hash
L-main-threeshift-10c-01,22,models/data_bundle/generated_instances/L-main/L-main-threeshift-10c-01,true,true,true,6,1,1078.749762684295,0,9dbd0f1dd715949e041cbb2d066d2dac8e072a8fab9648c595cdd98532b53e83
L-main-threeshift-15c-01,34,models/data_bundle/generated_instances/L-main/L-main-threeshift-15c-01,true,true,true,5,0,1358.847964627291,0,798af8c642be3c61ea58b787f8eb67439eaeaa57b21e2b9833795edac4738986
L-main-threeshift-20c-01,45,models/data_bundle/generated_instances/L-main/L-main-threeshift-20c-01,true,true,true,8,1,1880.188919466570,0,c95f22d7978aac4f783947feb2a88a468c4fbfe0b059fd611131f441fdc95bfa
L-main-threeshift-25c-01,55,models/data_bundle/generated_instances/L-main/L-main-threeshift-25c-01,true,true,true,9,1,1811.837476719364,0,b0e26043cb563fcab5736359e6b536321622c6a527c13005c778262e543da7e4
L-main-threeshift-50c-01,114,models/data_bundle/generated_instances/L-main/L-main-threeshift-50c-01,true,true,true,16,1,4168.855236581392,0,f4654eb283840c421bef14d7ae5bbc4fb4e831f8248853169307ca727566f4c9
L-main-threeshift-75c-01,163,models/data_bundle/generated_instances/L-main/L-main-threeshift-75c-01,true,true,true,24,1,5835.323487473721,0,7dd50436738ad460c270b5feefd125221a1c9a0bc6126dcdbf0864e2bf2212bb
L-main-threeshift-100c-01,221,models/data_bundle/generated_instances/L-main/L-main-threeshift-100c-01,true,true,true,29,1,7395.190039679996,0,03539010d9cb62ed89ce16a44fe12ffcf531687207a68aae35199019ef59a349
L-main-threeshift-150c-01,322,models/data_bundle/generated_instances/L-main/L-main-threeshift-150c-01,true,true,true,43,1,11391.560952023648,0,2fbc4fc168d7fd9dad0aa342a5b63b7a089de0ff34bb563cb5e63a2ca24ff893
L-main-threeshift-200c-01,449,models/data_bundle/generated_instances/L-main/L-main-threeshift-200c-01,true,true,true,58,1,13894.903728480227,0,0ddf08ae059f92e8de1530f48d66ff1525b13003dc95447113a056689af70a9f
