instance_id,duty_id,trip_index,home_depot_id,vehicle_type,customer_count,demand_kg,has_locked_customer_prefix,has_locked_charging
cn-prd-150c-01-V2-LOCATIONS,CV_D_dongguan_1,1,D_dongguan,cv,6,1598.0,False,False
cn-prd-150c-01-V2-LOCATIONS,CV_D_dongguan_1,2,D_dongguan,cv,4,1459.0,False,False
cn-prd-150c-01-V2-LOCATIONS,CV_D_dongguan_2,1,D_dongguan,cv,3,972.0,False,False
cn-prd-150c-01-V2-LOCATIONS,CV_D_foshan_1,1,D_foshan,cv,8,1667.0,False,False
cn-prd-150c-01-V2-LOCATIONS,CV_D_foshan_1,2,D_foshan,cv,1,139.0,False,False
cn-prd-150c-01-V2-LOCATIONS,CV_D_foshan_2,1,D_foshan,cv,6,1667.0,False,False
cn-prd-150c-01-V2-LOCATIONS,CV_D_guangzhou_1,1,D_guangzhou,cv,5,1668.0,False,False
cn-prd-150c-01-V2-LOCATIONS,CV_D_guangzhou_1,2,D_guangzhou,cv,7,1666.0,False,False
cn-prd-150c-01-V2-LOCATIONS,CV_D_guangzhou_2,1,D_guangzhou,cv,6,1667.0,False,False
cn-prd-150c-01-V2-LOCATIONS,CV_D_guangzhou_2,2,D_guangzhou,cv,6,1598.0,False,False
cn-prd-150c-01-V2-LOCATIONS,CV_D_guangzhou_3,1,D_guangzhou,cv,6,1597.0,False,False
cn-prd-150c-01-V2-LOCATIONS,CV_D_guangzhou_3,2,D_guangzhou,cv,6,1597.0,False,False
cn-prd-150c-01-V2-LOCATIONS,CV_D_guangzhou_4,1,D_guangzhou,cv,7,1667.0,False,False
cn-prd-150c-01-V2-LOCATIONS,CV_D_guangzhou_4,2,D_guangzhou,cv,2,417.0,False,False
cn-prd-150c-01-V2-LOCATIONS,CV_D_shenzhen_1,1,D_shenzhen,cv,5,1598.0,False,False
cn-prd-150c-01-V2-LOCATIONS,CV_D_shenzhen_1,2,D_shenzhen,cv,6,1667.0,False,False
cn-prd-150c-01-V2-LOCATIONS,CV_D_shenzhen_1,3,D_shenzhen,cv,4,972.0,False,False
cn-prd-150c-01-V2-LOCATIONS,CV_D_shenzhen_2,1,D_shenzhen,cv,5,1597.0,False,False
cn-prd-150c-01-V2-LOCATIONS,CV_D_shenzhen_2,2,D_shenzhen,cv,5,1667.0,False,False
cn-prd-150c-01-V2-LOCATIONS,CV_D_shenzhen_3,1,D_shenzhen,cv,8,1667.0,False,False
cn-prd-150c-01-V2-LOCATIONS,CV_D_shenzhen_3,2,D_shenzhen,cv,6,1667.0,False,False
