instance,left,left_routes,right,right_routes,route_jaccard,seed,shared_routes
L-main-threeshift-100c-01,staged,35,LNS,31,0.015384615384615385,2,1
L-main-threeshift-100c-01,staged,35,restarted,35,1.0,2,35
L-main-threeshift-100c-01,staged,35,true_lns_middle,31,0.047619047619047616,2,3
L-main-threeshift-100c-01,staged,35,proportional_true_lns_middle,31,0.0,2,0
L-main-threeshift-100c-01,LNS,31,restarted,35,0.015384615384615385,2,1
L-main-threeshift-100c-01,LNS,31,true_lns_middle,31,0.0,2,0
L-main-threeshift-100c-01,LNS,31,proportional_true_lns_middle,31,0.0,2,0
L-main-threeshift-100c-01,restarted,35,true_lns_middle,31,0.047619047619047616,2,3
L-main-threeshift-100c-01,restarted,35,proportional_true_lns_middle,31,0.0,2,0
L-main-threeshift-100c-01,true_lns_middle,31,proportional_true_lns_middle,31,0.0,2,0
L-main-threeshift-100c-01,staged,31,LNS,30,0.0,4,0
L-main-threeshift-100c-01,staged,31,restarted,31,1.0,4,31
L-main-threeshift-100c-01,staged,31,true_lns_middle,31,1.0,4,31
L-main-threeshift-100c-01,staged,31,proportional_true_lns_middle,31,0.34782608695652173,4,16
L-main-threeshift-100c-01,LNS,30,restarted,31,0.0,4,0
L-main-threeshift-100c-01,LNS,30,true_lns_middle,31,0.0,4,0
L-main-threeshift-100c-01,LNS,30,proportional_true_lns_middle,31,0.0,4,0
L-main-threeshift-100c-01,restarted,31,true_lns_middle,31,1.0,4,31
L-main-threeshift-100c-01,restarted,31,proportional_true_lns_middle,31,0.34782608695652173,4,16
L-main-threeshift-100c-01,true_lns_middle,31,proportional_true_lns_middle,31,0.34782608695652173,4,16
L-main-threeshift-150c-01,staged,46,LNS,50,0.0,3,0
L-main-threeshift-150c-01,staged,46,restarted,49,0.20253164556962025,3,16
L-main-threeshift-150c-01,staged,46,true_lns_middle,45,0.0,3,0
L-main-threeshift-150c-01,staged,46,proportional_true_lns_middle,50,0.0,3,0
L-main-threeshift-150c-01,LNS,50,restarted,49,0.0,3,0
L-main-threeshift-150c-01,LNS,50,true_lns_middle,45,0.0,3,0
L-main-threeshift-150c-01,LNS,50,proportional_true_lns_middle,50,0.0,3,0
L-main-threeshift-150c-01,restarted,49,true_lns_middle,45,0.0,3,0
L-main-threeshift-150c-01,restarted,49,proportional_true_lns_middle,50,0.0,3,0
L-main-threeshift-150c-01,true_lns_middle,45,proportional_true_lns_middle,50,0.021505376344086023,3,2
L-main-threeshift-150c-01,staged,49,LNS,45,0.0,4,0
L-main-threeshift-150c-01,staged,49,restarted,48,0.6440677966101694,4,38
L-main-threeshift-150c-01,staged,49,true_lns_middle,49,0.2727272727272727,4,21
L-main-threeshift-150c-01,staged,49,proportional_true_lns_middle,49,0.2894736842105263,4,22
L-main-threeshift-150c-01,LNS,45,restarted,48,0.0,4,0
