best_mixed_beats_lns,best_mixed_cost,best_mixed_gain_vs_best_parent_pct,best_parent_cost,best_parent_source,enumerated_partitions,feasible_mixed_partitions,instance,lns_cost,pair_role,parent_routes_total,parents,route_blocks,seed,unique_structural_routes
True,5741.643211950677,-7.699768967668515,5331.156479708252,proportional_true_lns_middle,50,46,L-main-threeshift-100c-01,5970.054667816366,development,163,5,163,2,124
True,4755.8218423428325,0.0,4755.8218423428325,staged,50,47,L-main-threeshift-100c-01,6250.339500505469,guard,154,5,154,4,76
False,9585.188098303921,-7.7623288048391235,8894.748475288605,LNS,50,46,L-main-threeshift-150c-01,8894.748475288605,development,240,5,240,3,222
True,7530.842509569898,0.3311409803043398,7555.863068605732,restarted,50,50,L-main-threeshift-150c-01,10110.52794427708,guard,240,5,240,4,139
False,1045.9665360482184,-1.5302755938446755,1030.2016122091868,LNS,37,32,L-main-threeshift-15c-01,1030.2016122091868,development,22,5,22,2,16
True,1120.3987300862182,0.052929850638795725,1120.9920695142848,LNS,50,48,L-main-threeshift-20c-01,1120.9920695142848,development,34,5,34,3,24
False,2619.2272945298537,0.0,2619.2272945298537,LNS,50,48,L-main-threeshift-50c-01,2619.2272945298537,development,85,5,85,5,74
True,3800.2910177469707,0.046077959379893195,3802.042921539964,restarted,50,50,L-main-threeshift-75c-01,4338.746816797046,development,139,5,139,1,131
True,3681.719160111722,1.1036946406065788,3722.80758793991,restarted,50,50,L-main-threeshift-75c-01,4262.491163177121,guard,127,5,127,5,88
