cost,instance,path,routes,seed,solution_sha256,source,violations
6038.350420394927,L-main-threeshift-100c-01,baselines/e2_alns/e2_loss_recovery_20260711/true_lns_middle_gate/solutions/L-main-threeshift-100c-01__seed2__staged.json,35,2,630a8b30659729e30b8aec0d237ab07c3253c934a426ab7e6d4ff4212f03ebd6,staged,0
5970.054667816366,L-main-threeshift-100c-01,baselines/e2_alns/e2_loss_recovery_20260711/true_lns_middle_gate/solutions/L-main-threeshift-100c-01__seed2__LNS.json,31,2,21791ab7fa2ebe84ea11c97ed5bad7199240e3cd1cf0310ad596a702152d1bde,LNS,0
6038.350420394927,L-main-threeshift-100c-01,baselines/e2_alns/e2_loss_recovery_20260711/short_gate_formal_start/solutions/L-main-threeshift-100c-01__seed2__restarted.json,35,2,630a8b30659729e30b8aec0d237ab07c3253c934a426ab7e6d4ff4212f03ebd6,restarted,0
5741.643211950677,L-main-threeshift-100c-01,baselines/e2_alns/e2_loss_recovery_20260711/true_lns_middle_gate/solutions/L-main-threeshift-100c-01__seed2__true_lns_middle.json,31,2,423fedb0bb030933e8772c6e30741c97897515b1d1566e6eb5b4096a132257cd,true_lns_middle,0
5331.156479708252,L-main-threeshift-100c-01,baselines/e2_alns/e2_loss_recovery_20260711/proportional_true_lns_middle_gate/solutions/L-main-threeshift-100c-01__seed2__proportional_true_lns_middle.json,31,2,68d707990551779831f4173554d3a47b9cc1099373899346130f24c4c69e0f11,proportional_true_lns_middle,0
4755.8218423428325,L-main-threeshift-100c-01,baselines/e2_alns/e2_loss_recovery_20260711/true_lns_middle_gate/solutions/L-main-threeshift-100c-01__seed4__staged.json,31,4,18c54bb13bb1d4078cc3f5417ef4daaf37044f8a1d361addf5c472d83963cea0,staged,0
6250.339500505469,L-main-threeshift-100c-01,baselines/e2_alns/e2_loss_recovery_20260711/true_lns_middle_gate/solutions/L-main-threeshift-100c-01__seed4__LNS.json,30,4,06ad4246bedd7f638847fc73aba34dc4e3cf620b63e3c1b815e4896f51d38f8b,LNS,0
4755.8218423428325,L-main-threeshift-100c-01,baselines/e2_alns/e2_loss_recovery_20260711/short_gate_formal_start/solutions/L-main-threeshift-100c-01__seed4__restarted.json,31,4,18c54bb13bb1d4078cc3f5417ef4daaf37044f8a1d361addf5c472d83963cea0,restarted,0
4755.8218423428325,L-main-threeshift-100c-01,baselines/e2_alns/e2_loss_recovery_20260711/true_lns_middle_gate/solutions/L-main-threeshift-100c-01__seed4__true_lns_middle.json,31,4,18c54bb13bb1d4078cc3f5417ef4daaf37044f8a1d361addf5c472d83963cea0,true_lns_middle,0
4770.433417057921,L-main-threeshift-100c-01,baselines/e2_alns/e2_loss_recovery_20260711/proportional_true_lns_middle_gate/solutions/L-main-threeshift-100c-01__seed4__proportional_true_lns_middle.json,31,4,63f484959724806132260d519416b6c1b1cebecd5ea7e7e809d312ad4f57cfd1,proportional_true_lns_middle,0
9871.117982041302,L-main-threeshift-150c-01,baselines/e2_alns/e2_loss_recovery_20260711/true_lns_middle_gate/solutions/L-main-threeshift-150c-01__seed3__staged.json,46,3,2e45cd5c8eaba0c6f6a35fe518357007610a5ae6d326e0fdbf6c0106bf3d1b04,staged,0
8894.748475288605,L-main-threeshift-150c-01,baselines/e2_alns/e2_loss_recovery_20260711/true_lns_middle_gate/solutions/L-main-threeshift-150c-01__seed3__LNS.json,50,3,953bbc0c518cee44f3e9740e9f8a7ea65f6208ef43b718f30aeec6c6e593eca9,LNS,0
10832.230013475297,L-main-threeshift-150c-01,baselines/e2_alns/e2_loss_recovery_20260711/short_gate_formal_start/solutions/L-main-threeshift-150c-01__seed3__restarted.json,49,3,3b2e3672de6cfdaa89e96fc3b7ecc1569b7fe5b8d1bc678545cc147746c84de2,restarted,0
9585.76397791031,L-main-threeshift-150c-01,baselines/e2_alns/e2_loss_recovery_20260711/true_lns_middle_gate/solutions/L-main-threeshift-150c-01__seed3__true_lns_middle.json,45,3,19b4b371f0697b31d8e3d6d3d26ec4e00aa33b0987620247afd8d2331ae70313,true_lns_middle,0
9596.830831561265,L-main-threeshift-150c-01,baselines/e2_alns/e2_loss_recovery_20260711/proportional_true_lns_middle_gate/solutions/L-main-threeshift-150c-01__seed3__proportional_true_lns_middle.json,50,3,49a91abd742934bea8fd6cd157e8e0fa0d98072de9dd956c3478a4307ec5bf46,proportional_true_lns_middle,0
