block_index,customer_ids,customers,full_signature,home_depot_id,instance,isolated_cost,seed,source,structural_signature,vehicle_type
0,C075|C066|C015|C006|C054|C133|C178|C103|C169,9,ea294f98b8ab18e28807ef797db3478c2b4668eb31112065382f06b4789770bb,D0,L-main-threeshift-100c-01,247.77085928969723,2,staged,f69678d79fbea31e616206d28833c7a8ee5e39ffe7be30e0e605fd2a3fd4050b,ev
1,C079|C037|C213|C217|C215|C203,6,44b9a048213dc57864ac24f896a9c4cba6fae76544e9eff67915cfc42e0fb641,D0,L-main-threeshift-100c-01,128.13683562606911,2,staged,c5511a7cfcaeb8fc66c5647bdbcaa7f6f2414cbfd686da8d6b3d58790a0ae591,ev
2,C163|C159|C204|C206,4,97e3782304ac8ddbaf08631fef5adbf67aade9e50473cd834d66231444c092dc,D0,L-main-threeshift-100c-01,109.11587204667975,2,staged,04226a11fdcab8b307562af771aca5b7114695c30511175f133f0d16ae9e7158,ev
3,C024|C098|C011|C030|C168|C176|C124,7,7c266bfb5b3eab5b118975d164a070789315433b4f975f7d98fc59edc498da24,D0,L-main-threeshift-100c-01,186.0945253575578,2,staged,7403c3aa3060a5e1aa5586d9081b192efd110786e49b851ae1b00548d00fb584,ev
4,C027|C049|C083|C157|C185|C102|C170|C190,8,9db8f37b26519844dac7cc0ca7617e73126ff7788aaca94b5135b4452dcf38ba,D0,L-main-threeshift-100c-01,205.53036176529037,2,staged,89ebbe577608e8455d313d583b23d348b687a33b5cb02bff239540ede23906e9,ev
5,C060|C001|C085|C081|C020|C151|C131|C172,8,cae2a129195012335e53788fdd9b702eab59040c1d0851f6793c1b3a99f16b33,D0,L-main-threeshift-100c-01,203.69744252270823,2,staged,229d988524f38fac62c49732c44ea6d62d3a3341dff55543f316bde3868009bb,ev
6,C031|C077|C100|C052|C053|C029|C121|C179,8,a5727c1d8197cdd6c498f1802049436bab9b7e53aa4bfa06f57adc46cbdee170,D0,L-main-threeshift-100c-01,233.24856767470789,2,staged,c963fd24fa0227c43e61289277b57ea97d16e78e794747d998b4fbc820c1638e,ev
7,C092|C199|C155|C134|C150|C183|C125|C108|C208|C212|C218,11,b54f9f140c2142452a85f7bde4f10dd1e715686977e4d1d11997493fa2407dd6,D0,L-main-threeshift-100c-01,283.55799911966153,2,staged,bed8ba013769da18520147f8001e72c1f8c61d2d495afb575387200362f01851,cv
8,C040|C046|C010|C127|C164|C152,6,9218c59abf1458a31187ea7c9ac19705219831381441912ef0015ab3fa73be4d,D0,L-main-threeshift-100c-01,204.8283358706466,2,staged,99f6d71b08f0a3fa39736361b6a3e31d34b99cefa224d5163b7569d2faf246fb,ev
9,C058|C048|C139|C195|C158|C209|C201|C214,8,2b9dd69b8d853b3c39c3aedc688b20cf63ab96befa71ef1a580ff7efd1ecb0f0,D0,L-main-threeshift-100c-01,264.8025640185601,2,staged,9ea12b1fcd37afec7b216ef5258dcb44ff05f17ec7a1f91a5eba583c9237ea6a,cv
10,C056|C182|C109|C106|C115|C132|C184|C177|C196|C216|C207,11,baec8b0245207806e18360eb554c3504ac647f0fd0b2efef0c478d071c3cadbe,D0,L-main-threeshift-100c-01,167.84787558588636,2,staged,058238a7aba7a3f7b7d1e836f72366b2a9189a69bea77932c84e1e93ecab3d27,ev
11,C055|C008|C034|C198|C167|C101|C129|C112|C220|C219,10,e03e6b213334a4ee25dc1c9606488a433b509bb95ab5542681339b61ff4d556a,D0,L-main-threeshift-100c-01,248.83696162263178,2,staged,e10c9d5fce604d58f6f72dc6a99403cb3ce3173d21a73d6a05cb148fca98aff8,cv
12,C028|C038|C097|C009|C007|C017|C166|C128|C142,9,9c6d2f2744eb2d797898aa831a7d55fcafe4bc071cd4b0d0497c20115e576116,D0,L-main-threeshift-100c-01,226.53863035680234,2,staged,1c51f031d30c4d6507168034b1adc49e27ffbcbb489d5e3ebd180ade05ed8937,ev
13,C035|C156,2,23dc46c9ec0a59392ad2aa071fe8c5ecffeeef4bb9ba5ebcf0a9af90df1ac58d,D0,L-main-threeshift-100c-01,145.4798904439635,2,staged,257e194304df90ab2813bc50ca635a2c2720fdeab8b01aefc585df5fef3c6aa6,ev
14,C065|C061|C012|C114|C161|C118|C205|C211|C202,9,28e51e599fb40d7dbca894bf30baf495eb1f8fc95d6d12421620fdd5fe291d2f,D1,L-main-threeshift-100c-01,236.11535706189227,2,staged,7f59bf0ffa948046ef94280dcfb4866aa3424f6d76a57011d9e14ec9ad4d90ff,cv
15,C005|C003|C144|C153|C175|C138|C174,7,a5cda8e5d3ede81188e01c0755156a5d546c84c590fced10736090404ee4f44a,D1,L-main-threeshift-100c-01,185.8464373672786,2,staged,f84e4e4503e5041ff73b4be027050019dd2323e802b02be2f6eadfe4a67fcee5,ev
16,C064|C094|C084|C057|C116,5,e54c790b372707a445021cd03a5f8af738001aa2874c794d9343ff53a0482b58,D1,L-main-threeshift-100c-01,135.72042614374325,2,staged,9ffa104096e7e4070453a62995ed4100e5491c473160e09788d27f9d7d79b3f3,ev
17,C086|C016|C004|C072|C059|C025|C180|C145,8,d27c8020c2fed18c1b835c64ad586db58ecd823a1410da276c28e02e777ef028,D1,L-main-threeshift-100c-01,167.68610357565885,2,staged,9d1b173b2391df7553dbfb1f0597865c19eba5689cbbc68eddbb410a993ecb87,ev
18,C013|C093|C067|C096|C076|C200|C221,7,c0d8801d6390ad2a549a64383409d967a0ab1b80d9b64a72652b20b22f1ba11b,D1,L-main-threeshift-100c-01,147.33797604457163,2,staged,9676b5619b315c4964c362e34ee1c9d513dd5e611c2b963951c6efa5a6d39bad,ev
19,C018|C191|C126|C111|C171|C113|C194,7,1ded58a987017df004e549474fd40df67fb3a6bce7d5bd14857723fca21e0656,D1,L-main-threeshift-100c-01,131.82248004726338,2,staged,8cf592238bb30fda5986c3d449a788813e79c11f0f78e5ac95e6919b895dbcfd,ev
20,C069|C042|C165|C107|C123,5,f0c8339a3e501a04de720ca7a31379297e51a8889811dbaa8e5770653a60ed18,D1,L-main-threeshift-100c-01,147.51780789412678,2,staged,f9719d1c78c1f188ab1f1c519d0cddccc6d29938d859d0808e6e811918667141,ev
21,C041|C078|C036|C074|C188|C136,6,a1877eae57a7a0a324cbcdbd68d9f7b51ea0a01c96682d47267df080e654c189,D1,L-main-threeshift-100c-01,206.85094179579525,2,staged,0cc1d3b849a550cb8a21333d0befabf5a425a168d298b79e68c421fee28851bb,ev
22,C095|C014|C023|C063|C140|C149,6,e89b1c45055951fe753866d4158217bd4e526ec07b004d9d704012fb093f322e,D1,L-main-threeshift-100c-01,113.95287935187481,2,staged,55403fbdf833eae10dbf1586aa14cf9d9578a992ae2db603f6b9c5572933b2b6,ev
23,C192|C154|C173|C162|C117|C193|C181|C110,8,a7eb5921079e9f4b6f07f5cfdfafabdacd2a8c20fbd0d48b06fd656b48e0b9fe,D1,L-main-threeshift-100c-01,219.77030785997908,2,staged,9c4010fd61b431f34d636d2bc07be768f14239adbfeb83efbb7018a4fefb99fe,ev
24,C044|C068|C033|C088|C087|C062|C147|C137|C197|C122,10,ee8d59c8f047692123a5004404e0ad8ee1cd50825c383faca6c9ba9665a4313b,D1,L-main-threeshift-100c-01,182.51659944497834,2,staged,bdc0deac9085855f123559fe0c652c3cb983ea88e9f50e89f53539bbb3a47704,ev
25,C090|C099|C026|C022|C047|C039|C071|C160,8,193070f2d49bc93900976bdd2b23124139f0fd398eb41490eab675d6ba1c061c,D1,L-main-threeshift-100c-01,205.32361552597695,2,staged,bc188c2c524dcfcb1d60f94a0f09c46bedfd78a01289486519c9436023752f19,ev
26,C089,1,337b2558bb1b74e1fd467fc230962e43c29cd7df9ef79adf3a58817ac4e96681,D1,L-main-threeshift-100c-01,106.32016235624633,2,staged,576f6600d164bb3d1710bbc67440acf002797d34df3c60f15926887020958bed,ev
27,C091|C032|C050|C070|C120,5,f825a4ff8b0bba3f48012f117bf4bd7c0aa6147213917604e02ff9faea066469,D1,L-main-threeshift-100c-01,112.63222273754408,2,staged,a810569640c199398294a7b0aef781bfb73fd5758c8e9327777a61e283af0b2e,ev
28,C073|C045|C141|C105|C130,5,42c30fb08a6520c0bde9eb32baa312a79f56b4253cb387aa05652fd793a7ea4f,D1,L-main-threeshift-100c-01,113.57684188029975,2,staged,c8fe6a6c2c159400cdbe2ac64edb85782a9a4bf79fbd9d51032a8fd932d67c80,ev
29,C080|C043|C104,3,626351f4d578d007642544a3148d0e10fd9a4244a179ef16e448adfd699c83d8,D0,L-main-threeshift-100c-01,140.95216530899174,2,staged,efeb79d3702cd94c7c9078a8e8f967596f8b13ea3265d131eb95b0716503462e,ev
30,C019|C189|C210,3,11d06506bdb381c33b51c601d3976302c86681086cdb165df08e19e397f152b6,D0,L-main-threeshift-100c-01,158.91159601278565,2,staged,ad29b3680225c333d31bfa980cab3f9109418b3326166c67d7b7a292adaebf41,ev
31,C082|C148|C146|C186|C187,5,741d0a8e575318a4db88c8722b80b945b055325dfee8c47faa977cd66d1e5398,D0,L-main-threeshift-100c-01,114.93609518121856,2,staged,6a01670b420d428e03c6268b9afd88cc5c738806a15c3decf1ea2e4a0c34bbfa,ev
32,C051|C002|C021|C119,4,678a0984952f86b6c1970eb1ea48e3923551d6f373c3d4f89bc0159395635c29,D0,L-main-threeshift-100c-01,149.21996372908876,2,staged,c06b879a83ef85c79f7e8041b365cd614f87476c30196d0415ea6c2838074aac,ev
33,C143,1,3b2ca3be320313612b663db8de4cd57bffb016ec1db510da0e31c59f220638f0,D1,L-main-threeshift-100c-01,107.02870110598153,2,staged,04e0e80be851b397034257d338693486281d02e8f4ae83c099d2b0a8b0e3aa7a,ev
34,C135,1,306801cd85fd429acd33cab113f0947561eb69b5edb1f515742744cb19af7511,D1,L-main-threeshift-100c-01,98.82501866876923,2,staged,8fa009fa77ee6678b82f1b6fbdf9fbf12854d940c8aefe74e7b72fe886229188,ev
35,C075|C015|C054|C133|C134|C124|C125|C108|C159|C208|C206|C207,12,fb3b55ee00f5203e69f11d9540ce1fd305f11dd8692e77790e1cb064f5984561,D0,L-main-threeshift-100c-01,351.30911533828987,2,LNS,c25e2a940036e88d924df561657a7b8bb6072e3802ac1d97682781fcc71cbbfa,cv
36,C079|C187|C139|C213|C217|C220|C219|C203,8,58d1dfb016aa580528897ab912cad9aed2899a1ab472763719086e706e5d04ae,D0,L-main-threeshift-100c-01,136.61883355797883,2,LNS,26564629ea1931de05150485a31a6c8443e1adb7027f56db96242cc0a3b02841,ev
37,C056|C038|C028|C082|C148|C204|C212|C201|C216,9,d0cc7cbe6ae9c374cd208e9b0a38743bb604ed909c738faffd62120ab983c875,D0,L-main-threeshift-100c-01,158.62170026955013,2,LNS,77cbbc289407274831a4ab3a3d676f47c1a011a0e975e4d5a00459b1f94f22da,ev
