instance_id,seed,historical_cost_cny,joint_cost_cny,cost_reduction_pct,historical_distance_km,joint_distance_km,distance_reduction_pct,historical_emissions_kg,joint_emissions_kg,emissions_reduction_pct,historical_vehicle_count,joint_vehicle_count,vehicle_count_change,joint_cross_contractor_customer_count,mapping_sha256,initial_sha256,historical_solution_sha256,joint_solution_sha256,source_artifact_hashes_sha256,status
cn-prd-150c-01-V2-LOCATIONS,1,10864.676551217157,6799.044523852713,37.42064485950091,4415.024486716513,1800.742713356135,59.21330178860772,1123.0664761967564,468.3221601543549,58.29969373315112,27,25,-2,108,962c926f1d0b702f9b6a27d7b8e130691a86f2ba272f5c211d8b9abd57c0a8ab,d78a2972ac9716b57fa949db4e4c8365ee8b55ed942f30263f41d4315f20a751,0aebb0602fdf21c2b556fcd6573785a0439615bd75bec8658a90c144af880363,32d08e6f886f77930edb779d0e8e7ac55cc0d23be170e35be8814188acca364e,4fdab0d0bb7fad70b80a1585e40af808ff37784cc03d64ad61a008468a940ef6,PASS_PAIRED_SOURCE_RECORDS
cn-prd-150c-01-V2-LOCATIONS,2,11058.687988798843,6873.340561648987,37.84669059647151,4407.418601258618,1905.4927389098668,56.76624093827351,1158.017511732619,476.1575950621723,58.881658503613814,28,25,-3,110,962c926f1d0b702f9b6a27d7b8e130691a86f2ba272f5c211d8b9abd57c0a8ab,d78a2972ac9716b57fa949db4e4c8365ee8b55ed942f30263f41d4315f20a751,2648985945409f788aac20c9daf2460983130dc485552835a52fdf1fe82c569f,69667a6542332347c90f2b623bc0e13f0a50a77f92d187e102c7bd9fd8d89d94,4fdab0d0bb7fad70b80a1585e40af808ff37784cc03d64ad61a008468a940ef6,PASS_PAIRED_SOURCE_RECORDS
cn-prd-150c-01-V2-LOCATIONS,3,11031.210495053767,6826.328442622017,38.11804746466544,4401.500061281193,1855.3584179304362,57.847134111128995,1155.875768090165,467.5387092843922,59.55112805445355,28,25,-3,101,962c926f1d0b702f9b6a27d7b8e130691a86f2ba272f5c211d8b9abd57c0a8ab,d78a2972ac9716b57fa949db4e4c8365ee8b55ed942f30263f41d4315f20a751,c8218046e1429a0704da713d84bbb5064b895232f9b6a81f734832c8d0404b61,0530880207bd50a6ef10dbbf12418d1582e7d2b2d581941b5a09c60eb622fbd8,4fdab0d0bb7fad70b80a1585e40af808ff37784cc03d64ad61a008468a940ef6,PASS_PAIRED_SOURCE_RECORDS
cn-prd-150c-01-V2-LOCATIONS,4,11047.987274473795,6824.473232540203,38.22880980042361,4424.195903129765,1792.202516630097,59.49088702509179,1126.4484923749262,476.96224967314777,57.657873138295614,28,25,-3,110,962c926f1d0b702f9b6a27d7b8e130691a86f2ba272f5c211d8b9abd57c0a8ab,d78a2972ac9716b57fa949db4e4c8365ee8b55ed942f30263f41d4315f20a751,726f5a84fa42560364cde47072fc2e32caf6da30113f36cb1b7c47f32de4a3a0,8b8de7a9587be928c084a9480297cce1a0c3bf76d0f9f0d9b49fdf1036dcadc9,4fdab0d0bb7fad70b80a1585e40af808ff37784cc03d64ad61a008468a940ef6,PASS_PAIRED_SOURCE_RECORDS
cn-prd-150c-01-V2-LOCATIONS,5,10961.798017724816,6841.494781065625,37.58784124645259,4415.244218578535,1807.361033368342,59.06543457407635,1120.4804156540047,475.5733082085128,57.55630338876302,28,25,-3,109,962c926f1d0b702f9b6a27d7b8e130691a86f2ba272f5c211d8b9abd57c0a8ab,d78a2972ac9716b57fa949db4e4c8365ee8b55ed942f30263f41d4315f20a751,2540f784973bbc4f4c2da8984e1a30107a8843d9610aa374d521eb79280e6f71,5c58e59d1024300d433fbc75270660e3ad9ef3f5c0f5411c0c72af209758d659,4fdab0d0bb7fad70b80a1585e40af808ff37784cc03d64ad61a008468a940ef6,PASS_PAIRED_SOURCE_RECORDS
cn-prd-150c-01-V2-LOCATIONS,6,10979.86202304393,6855.191602585168,37.565776435096645,4417.854338971547,1880.094709786779,57.443261693764775,1125.7590561424047,473.47288921795547,57.94189825659614,28,25,-3,111,962c926f1d0b702f9b6a27d7b8e130691a86f2ba272f5c211d8b9abd57c0a8ab,d78a2972ac9716b57fa949db4e4c8365ee8b55ed942f30263f41d4315f20a751,2f5588c61a09b936ab1feaa77dbc4776120e45881cbe8e6ad06f2d9da9905548,1db0596788bbcb42d41869d568d13cc4208c511682c8f076d5481f362042fe03,4fdab0d0bb7fad70b80a1585e40af808ff37784cc03d64ad61a008468a940ef6,PASS_PAIRED_SOURCE_RECORDS
cn-prd-150c-01-V2-LOCATIONS,7,11073.052285096343,6811.454700179629,38.48620484392154,4479.296645401793,1819.7152917901471,59.37497701434511,1150.702889241366,469.1622567179631,59.228202075057624,28,25,-3,111,962c926f1d0b702f9b6a27d7b8e130691a86f2ba272f5c211d8b9abd57c0a8ab,d78a2972ac9716b57fa949db4e4c8365ee8b55ed942f30263f41d4315f20a751,774cbabbac0302ef9c83706316ee52f731382330a5abf61417b3b46077b1cdb7,61b7f01878ac589d1803594a59270237ddf3ec971902c15daca62e6459d1d08b,4fdab0d0bb7fad70b80a1585e40af808ff37784cc03d64ad61a008468a940ef6,PASS_PAIRED_SOURCE_RECORDS
cn-prd-150c-01-V2-LOCATIONS,8,11044.91394430201,6889.526578403506,37.62263234329895,4426.224227850662,1796.67011092222,59.40851573634198,1142.8778538096426,486.4525364563259,57.436174405270314,28,25,-3,106,962c926f1d0b702f9b6a27d7b8e130691a86f2ba272f5c211d8b9abd57c0a8ab,d78a2972ac9716b57fa949db4e4c8365ee8b55ed942f30263f41d4315f20a751,3d06bcab253d1e8254e29ae4a2fda438e319dc196630c4126f998540a53901e5,b5a7ad637ddc06a5c1e1bd01bd9b3e57bbe067fb4c722b9c6f56f0ee40493d5e,4fdab0d0bb7fad70b80a1585e40af808ff37784cc03d64ad61a008468a940ef6,PASS_PAIRED_SOURCE_RECORDS
cn-prd-150c-01-V2-LOCATIONS,9,11176.990102061318,6801.760568145654,39.144970998129104,4422.3977484573215,1813.7349508830848,58.98752093215099,1197.4729554783523,467.50786317700897,60.95879568401155,28,25,-3,111,962c926f1d0b702f9b6a27d7b8e130691a86f2ba272f5c211d8b9abd57c0a8ab,d78a2972ac9716b57fa949db4e4c8365ee8b55ed942f30263f41d4315f20a751,f44fbb1508caf15d40bcc2695c2319e13d2eb2a841586b2286610c5f4a83e7bc,9264c625dd7e22fecfd18c502e5d80b209a0b82ce54fdb392d32cc1bbd51e70b,4fdab0d0bb7fad70b80a1585e40af808ff37784cc03d64ad61a008468a940ef6,PASS_PAIRED_SOURCE_RECORDS
cn-prd-150c-01-V2-LOCATIONS,10,11044.76638878517,6808.777267706384,38.352908264134946,4408.98728505364,1792.6010453433241,59.34211351844452,1163.3289718235924,467.8737447119249,59.78147574382997,28,25,-3,113,962c926f1d0b702f9b6a27d7b8e130691a86f2ba272f5c211d8b9abd57c0a8ab,d78a2972ac9716b57fa949db4e4c8365ee8b55ed942f30263f41d4315f20a751,c99899982d70862428c2a4e84e8fc546e8901fb8db2233b95fced406d63255d3,fdfb22dbcf48ba57c5418a1c1fc54dc7cf7f57375d254ba3180c1b99056b3ef9,4fdab0d0bb7fad70b80a1585e40af808ff37784cc03d64ad61a008468a940ef6,PASS_PAIRED_SOURCE_RECORDS
