config,num_actors,completed_episodes,valid_steps_total,updates,wall_seconds,episodes_per_hour,busy_ratio,stale_episodes_total,peak_system_memory_used_mb,min_system_memory_available_mb,violations,workers,numpys,finite_rewards,finite_best_obj,candidate_nondefault_rate,search_noncontinue_rate,device
actors4_budget20_block4,4,130,603,10,713.140000000014,656.6983228935516,0.9234683353540003,3,13680.421875,2555.63671875,0,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,2.3.5,True,True,0.7330097087378641,0.4967637540453074,cuda
actors6_budget20_block4,6,134,602,10,526.6720000000205,916.8923734853885,0.8942000475169863,7,13553.21484375,2682.84375,0,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,2.3.5,True,True,0.7048665620094191,0.5243328100470958,cuda
