instance,seed,budget,algorithm,cost,recomputed_cost,cost_match,evaluations,budget_exact,elapsed_seconds,route_count,feasible,mechanism_activity
L-main-multidepot-20c-01,1,100,mechanism_hgs_alns_intensified,707.6335685566808,707.6335685566808,True,100,True,0.3333922909805551,3,True,"{""base_alns_evaluations"": 80, ""cross_depot_accepted_moves"": 0, ""cross_depot_evaluations"": 0, ""cross_depot_feasible_candidates"": 0, ""cross_depot_full_candidates"": 0, ""cross_depot_proxy_moves"": 0, ""filler_alns_evaluations"": 20, ""fleet_charge_attempts"": 3, ""fleet_charge_evaluations"": 0, ""fleet_charge_improvements"": 0}"
L-main-multidepot-20c-01,2,100,pure_alns,714.014892829286,714.014892829286,True,100,True,0.3565100839477964,3,True,"{""alns_actual_moves"": 0}"
L-main-multidepot-20c-01,2,100,pure_hgs_style_outer,790.4803232184009,790.4803232184009,True,100,True,0.053033666976261884,3,True,"{""diversity_rejections"": 14, ""improvements"": 9, ""order_mutations"": 39, ""ordered_crossovers"": 99, ""outer_candidates"": 100}"
L-main-multidepot-20c-01,2,100,mechanism_hgs_alns_intensified,714.014892829286,714.014892829286,True,100,True,0.36023945797933266,3,True,"{""base_alns_evaluations"": 80, ""cross_depot_accepted_moves"": 0, ""cross_depot_evaluations"": 0, ""cross_depot_feasible_candidates"": 0, ""cross_depot_full_candidates"": 1, ""cross_depot_proxy_moves"": 1, ""filler_alns_evaluations"": 20, ""fleet_charge_attempts"": 3, ""fleet_charge_evaluations"": 0, ""fleet_charge_improvements"": 0}"
L-main-multidepot-20c-01,3,100,pure_alns,707.3310772358964,707.3310772358964,True,100,True,0.32402658299542964,3,True,"{""alns_actual_moves"": 0}"
L-main-multidepot-20c-01,3,100,pure_hgs_style_outer,904.2768683568762,904.2768683568762,True,100,True,0.05749737500445917,3,True,"{""diversity_rejections"": 8, ""improvements"": 8, ""order_mutations"": 39, ""ordered_crossovers"": 99, ""outer_candidates"": 100}"
L-main-multidepot-20c-01,3,100,mechanism_hgs_alns_intensified,707.3310772358964,707.3310772358964,True,100,True,0.34020229103043675,3,True,"{""base_alns_evaluations"": 80, ""cross_depot_accepted_moves"": 0, ""cross_depot_evaluations"": 0, ""cross_depot_feasible_candidates"": 0, ""cross_depot_full_candidates"": 0, ""cross_depot_proxy_moves"": 0, ""filler_alns_evaluations"": 20, ""fleet_charge_attempts"": 3, ""fleet_charge_evaluations"": 0, ""fleet_charge_improvements"": 0}"
L-main-multidepot-25c-01,1,100,pure_alns,662.6150117111985,662.6150117111985,True,100,True,1.206197208026424,4,True,"{""alns_actual_moves"": 0}"
L-main-multidepot-25c-01,1,100,pure_hgs_style_outer,695.9676106780545,695.9676106780545,True,100,True,0.06868249998660758,3,True,"{""diversity_rejections"": 18, ""improvements"": 7, ""order_mutations"": 57, ""ordered_crossovers"": 99, ""outer_candidates"": 100}"
L-main-multidepot-25c-01,1,100,mechanism_hgs_alns_intensified,641.1663277552145,641.1663277552145,True,100,True,1.1777972920099273,4,True,"{""base_alns_evaluations"": 80, ""cross_depot_accepted_moves"": 0, ""cross_depot_evaluations"": 0, ""cross_depot_feasible_candidates"": 0, ""cross_depot_full_candidates"": 0, ""cross_depot_proxy_moves"": 0, ""filler_alns_evaluations"": 17, ""fleet_charge_attempts"": 4, ""fleet_charge_evaluations"": 3, ""fleet_charge_improvements"": 1}"
L-main-multidepot-25c-01,2,100,pure_alns,658.49749211235,658.49749211235,True,100,True,1.2669948330149055,4,True,"{""alns_actual_moves"": 0}"
L-main-multidepot-25c-01,2,100,pure_hgs_style_outer,703.5849723146455,703.5849723146455,True,100,True,0.0790263750241138,3,True,"{""diversity_rejections"": 20, ""improvements"": 4, ""order_mutations"": 54, ""ordered_crossovers"": 99, ""outer_candidates"": 100}"
L-main-multidepot-25c-01,2,100,mechanism_hgs_alns_intensified,640.3032188308002,640.3032188308002,True,100,True,1.2018628750229254,4,True,"{""base_alns_evaluations"": 80, ""cross_depot_accepted_moves"": 0, ""cross_depot_evaluations"": 0, ""cross_depot_feasible_candidates"": 0, ""cross_depot_full_candidates"": 0, ""cross_depot_proxy_moves"": 0, ""filler_alns_evaluations"": 17, ""fleet_charge_attempts"": 4, ""fleet_charge_evaluations"": 3, ""fleet_charge_improvements"": 1}"
L-main-multidepot-25c-01,3,100,pure_alns,638.0338351806475,638.0338351806475,True,100,True,0.7991932499571703,3,True,"{""alns_actual_moves"": 0}"
L-main-multidepot-25c-01,3,100,pure_hgs_style_outer,701.6272315210408,701.6272315210408,True,100,True,0.06945750000886619,3,True,"{""diversity_rejections"": 24, ""improvements"": 5, ""order_mutations"": 57, ""ordered_crossovers"": 99, ""outer_candidates"": 100}"
L-main-multidepot-25c-01,3,100,mechanism_hgs_alns_intensified,678.8411389141428,678.8411389141428,True,100,True,0.7884489580173977,4,True,"{""base_alns_evaluations"": 80, ""cross_depot_accepted_moves"": 0, ""cross_depot_evaluations"": 0, ""cross_depot_feasible_candidates"": 0, ""cross_depot_full_candidates"": 1, ""cross_depot_proxy_moves"": 1, ""filler_alns_evaluations"": 17, ""fleet_charge_attempts"": 4, ""fleet_charge_evaluations"": 3, ""fleet_charge_improvements"": 1}"
L-main-multidepot-50c-01,1,100,pure_alns,1330.8769407574944,1330.8769407574944,True,100,True,1.1264222500030883,7,True,"{""alns_actual_moves"": 0}"
L-main-multidepot-50c-01,1,100,pure_hgs_style_outer,1930.8593816164525,1930.8593816164525,True,100,True,0.195106917002704,7,True,"{""diversity_rejections"": 16, ""improvements"": 5, ""order_mutations"": 53, ""ordered_crossovers"": 99, ""outer_candidates"": 100}"
L-main-multidepot-50c-01,1,100,mechanism_hgs_alns_intensified,1272.1028262370642,1272.1028262370642,True,100,True,1.2553291670046747,7,True,"{""base_alns_evaluations"": 80, ""cross_depot_accepted_moves"": 1, ""cross_depot_evaluations"": 1, ""cross_depot_feasible_candidates"": 1, ""cross_depot_full_candidates"": 12, ""cross_depot_proxy_moves"": 22, ""filler_alns_evaluations"": 17, ""fleet_charge_attempts"": 7, ""fleet_charge_evaluations"": 2, ""fleet_charge_improvements"": 1}"
L-main-multidepot-50c-01,2,100,pure_alns,1323.4094390846326,1323.4094390846326,True,100,True,1.9122322910116054,7,True,"{""alns_actual_moves"": 0}"
L-main-multidepot-50c-01,2,100,pure_hgs_style_outer,1901.2985932821364,1901.2985932821364,True,100,True,0.19592233304865658,7,True,"{""diversity_rejections"": 10, ""improvements"": 5, ""order_mutations"": 41, ""ordered_crossovers"": 99, ""outer_candidates"": 100}"
L-main-multidepot-50c-01,2,100,mechanism_hgs_alns_intensified,1317.904967513513,1317.904967513513,True,100,True,1.7784510419587605,7,True,"{""base_alns_evaluations"": 80, ""cross_depot_accepted_moves"": 1, ""cross_depot_evaluations"": 1, ""cross_depot_feasible_candidates"": 1, ""cross_depot_full_candidates"": 2, ""cross_depot_proxy_moves"": 2, ""filler_alns_evaluations"": 17, ""fleet_charge_attempts"": 7, ""fleet_charge_evaluations"": 2, ""fleet_charge_improvements"": 1}"
L-main-multidepot-50c-01,3,100,pure_alns,1371.8144037381576,1371.8144037381576,True,100,True,1.1082063330104575,8,True,"{""alns_actual_moves"": 0}"
L-main-multidepot-50c-01,3,100,pure_hgs_style_outer,1843.864561496582,1843.864561496582,True,100,True,0.20196037500863895,7,True,"{""diversity_rejections"": 16, ""improvements"": 5, ""order_mutations"": 48, ""ordered_crossovers"": 99, ""outer_candidates"": 100}"
L-main-multidepot-50c-01,3,100,mechanism_hgs_alns_intensified,1352.576956286177,1352.576956286177,True,100,True,1.2316691250307485,8,True,"{""base_alns_evaluations"": 80, ""cross_depot_accepted_moves"": 0, ""cross_depot_evaluations"": 0, ""cross_depot_feasible_candidates"": 0, ""cross_depot_full_candidates"": 0, ""cross_depot_proxy_moves"": 0, ""filler_alns_evaluations"": 17, ""fleet_charge_attempts"": 8, ""fleet_charge_evaluations"": 3, ""fleet_charge_improvements"": 1}"
