original_owner,actual_service_depot,vehicle_type,customer_count,quantity_kg,payload_capacity_kg,minimum_trip_count,outbound_distance_km_per_trip,return_distance_km_per_trip,outbound_minutes_per_trip,return_minutes_per_trip,one_way_vehicle_km,closed_vehicle_km,outbound_tonne_km,non_energy_cost_cny_per_km,one_way_non_energy_cost_cny,closed_non_energy_cost_cny
D_dongguan,D_guangzhou,cv,7,2083.0,1735.0,2,59.273181054145006,56.97236479943,50.81333333333334,50.830000000000005,118.54636210829001,232.49109170715,123.46603613578405,0.78,92.4661624444662,181.343051531577
D_dongguan,D_guangzhou,ev,7,2083.0,1700.0,2,59.273181054145006,56.97236479943,50.81333333333334,50.830000000000005,118.54636210829001,232.49109170715,123.46603613578405,0.67,79.42606261255432,155.7690314437905
D_dongguan,D_shenzhen,cv,9,2500.0,1735.0,2,61.680383602854,60.106101848095996,49.52833333333333,48.345,123.360767205708,243.5729709019,154.200959007135,0.78,96.22139842045225,189.986917303482
D_dongguan,D_shenzhen,ev,9,2500.0,1700.0,2,61.680383602854,60.106101848095996,49.52833333333333,48.345,123.360767205708,243.5729709019,154.200959007135,0.67,82.65171402782437,163.193890504273
D_foshan,D_dongguan,cv,3,903.0,1735.0,1,88.961819052301,89.08121431717801,69.35,70.75166666666668,88.961819052301,178.043033369479,80.33252260422779,0.78,69.39021886079477,138.8735660281936
D_foshan,D_dongguan,ev,3,903.0,1700.0,1,88.961819052301,89.08121431717801,69.35,70.75166666666668,88.961819052301,178.043033369479,80.33252260422779,0.67,59.60441876504167,119.28883235755093
D_foshan,D_guangzhou,cv,5,1251.0,1735.0,1,58.141982435676,53.952711373694,46.10166666666667,42.95166666666667,58.141982435676,112.09469380937,72.73562002703068,0.78,45.35074629982728,87.4338611713086
D_foshan,D_guangzhou,ev,5,1251.0,1700.0,1,58.141982435676,53.952711373694,46.10166666666667,42.95166666666667,58.141982435676,112.09469380937,72.73562002703068,0.67,38.95512823190292,75.1034448522779
D_foshan,D_shenzhen,cv,5,1389.0,1735.0,1,86.112951451022,88.77134135220001,70.23,75.00166666666668,86.112951451022,174.88429280322202,119.61088956546956,0.78,67.16810213179716,136.40974838651317
D_foshan,D_shenzhen,ev,5,1389.0,1700.0,1,86.112951451022,88.77134135220001,70.23,75.00166666666668,86.112951451022,174.88429280322202,119.61088956546956,0.67,57.69567747218474,117.17247617815876
D_guangzhou,D_dongguan,cv,7,1806.0,1735.0,2,56.97236479943,59.273181054145006,50.830000000000005,50.81333333333334,113.94472959886,232.49109170715,102.89209082777057,0.78,88.8768890871108,181.343051531577
D_guangzhou,D_dongguan,ev,7,1806.0,1700.0,2,56.97236479943,59.273181054145006,50.830000000000005,50.81333333333334,113.94472959886,232.49109170715,102.89209082777057,0.67,76.3429688312362,155.7690314437905
D_guangzhou,D_foshan,cv,7,1806.0,1735.0,2,53.952711373694,58.141982435676,42.95166666666667,46.10166666666667,107.905422747388,224.18938761874,97.43859674089137,0.78,84.16622974296264,174.8677223426172
D_guangzhou,D_foshan,ev,7,1806.0,1700.0,2,53.952711373694,58.141982435676,42.95166666666667,46.10166666666667,107.905422747388,224.18938761874,97.43859674089137,0.67,72.29663324074997,150.2068897045558
D_guangzhou,D_shenzhen,cv,25,6390.0,1735.0,4,84.344735401433,85.086949575175,67.79166666666667,69.365,337.378941605732,677.726739906432,538.9628592151569,0.78,263.15557445247094,528.626857127017
D_guangzhou,D_shenzhen,ev,25,6390.0,1700.0,4,84.344735401433,85.086949575175,67.79166666666667,69.365,337.378941605732,677.726739906432,538.9628592151569,0.67,226.04389087584045,454.0769157373095
D_shenzhen,D_dongguan,cv,6,1667.0,1735.0,1,60.106101848095996,61.680383602854,48.345,49.52833333333333,60.106101848095996,121.78648545095,100.19687178077602,0.78,46.88275944151488,94.993458651741
D_shenzhen,D_dongguan,ev,6,1667.0,1700.0,1,60.106101848095996,61.680383602854,48.345,49.52833333333333,60.106101848095996,121.78648545095,100.19687178077602,0.67,40.27108823822432,81.5969452521365
D_shenzhen,D_foshan,cv,12,2778.0,1735.0,2,88.77134135220001,86.112951451022,75.00166666666668,70.23,177.54268270440002,349.76858560644405,246.6067862764116,0.78,138.48329250943203,272.81949677302634
D_shenzhen,D_foshan,ev,12,2778.0,1700.0,2,88.77134135220001,86.112951451022,75.00166666666668,70.23,177.54268270440002,349.76858560644405,246.6067862764116,0.67,118.95359741194802,234.34495235631752
D_shenzhen,D_guangzhou,cv,22,6041.0,1735.0,4,85.086949575175,84.344735401433,69.365,67.79166666666667,340.3477983007,677.726739906432,514.0102623836322,0.78,265.471282674546,528.626857127017
D_shenzhen,D_guangzhou,ev,22,6041.0,1700.0,4,85.086949575175,84.344735401433,69.365,67.79166666666667,340.3477983007,677.726739906432,514.0102623836322,0.67,228.03302486146902,454.0769157373095
