algorithm,baseline,best_total_cost,commit_hash,gap_vs_fair_sa_pct,gap_vs_winner_pct,instance,mean_cv_routes,mean_ev_routes,mean_evaluations,mean_route_count,mean_runtime_seconds,mean_total_cost,n,p_value_alg_less_than_winner,paired_pairs_vs_fair_sa,paired_pairs_vs_winner,paired_wins_alg_lower_vs_fair_sa,paired_wins_alg_lower_vs_winner,source,std_total_cost,verdict,winner_lower_is_better_gap_pct,wins_alg_lower_than_winner,zero_violation_count
ACO,winner-kernel ALNS,6331.298733608956,7de2c847,18.408720701520927,30.682457992027373,100-01-24h,32.0,1.0,16000.0,33.0,89.42985309990036,6331.298733608956,10,1.0,10,10,0,0,He Meiling et al. 2023 IACO transcript,0.0,ALNS碾压,-30.682457992027373,0,10
GA,winner-kernel ALNS,6331.298733608956,7de2c847,18.408720701520927,30.682457992027373,100-01-24h,32.0,1.0,9229.0,33.0,900.0000110126002,6331.298733608956,10,1.0,10,10,0,0,Narayanan et al. 2022 arXiv:2204.05545 sec.2.3,0.0,ALNS碾压,-30.682457992027373,0,10
GA-VNS,winner-kernel ALNS,5492.002835019019,7de2c847,6.767264699569832,17.834298870572837,100-01-24h,35.5,0.0,16000.0,35.5,351.2331625918003,5708.831611205778,10,1.0,10,10,0,0,Narayanan GA plus Woller VNS memetic hybrid,116.96981504099166,ALNS碾压,-17.834298870572837,0,10
GWO,winner-kernel ALNS,6331.298733608956,7de2c847,18.408720701520927,30.682457992027373,100-01-24h,32.0,1.0,11624.9,33.0,900.0414218166995,6331.298733608956,10,1.0,10,10,0,0,Ma Xiangli et al. 2025 HGWO transcript,0.0,ALNS碾压,-30.682457992027373,0,10
IWD,winner-kernel ALNS,6331.298733608956,7de2c847,18.408720701520927,30.682457992027373,100-01-24h,32.0,1.0,16000.0,33.0,164.76130452900034,6331.298733608956,10,1.0,10,10,0,0,Zhang Jingwen et al. 2025 IIWD transcript,0.0,ALNS碾压,-30.682457992027373,0,10
LNS,winner-kernel ALNS,4864.466757523363,7de2c847,-8.132461376746777,1.390131451779419,100-01-24h,31.2,0.0,16000.0,31.2,470.2888409543986,4912.1452161563975,10,0.9580078125,10,10,10,3,Gao Jiaojiao et al. 2024 GLNS transcript,36.20763665464376,ALNS小幅领先,-1.390131451779419,3,10
PSO,winner-kernel ALNS,6331.298733608956,7de2c847,18.408720701520927,30.682457992027373,100-01-24h,32.0,1.0,16000.0,33.0,88.95833440419919,6331.298733608956,10,1.0,10,10,0,0,Transcript-backed discrete VRPTW PSO,0.0,ALNS碾压,-30.682457992027373,0,10
VNS,winner-kernel ALNS,5548.159828929288,7de2c847,6.861791068654669,17.938623435384297,100-01-24h,35.2,0.0,16000.0,35.2,377.7960079289998,5713.885923737269,10,1.0,10,10,0,0,Woller et al. 2025 arXiv:2511.09570 algorithm 1,90.58830355286244,ALNS碾压,-17.938623435384297,0,10
ACO,winner-kernel ALNS,9666.358832368967,7de2c847,16.18446186469227,16.033053887126727,L-main,64.0,1.0,16000.0,65.0,324.28752560430075,9666.358832368967,10,1.0,10,10,0,0,He Meiling et al. 2023 IACO transcript,0.0,ALNS碾压,-16.033053887126727,0,10
GA,winner-kernel ALNS,9666.358832368967,7de2c847,16.18446186469227,16.033053887126727,L-main,64.0,1.0,9229.0,65.0,900.0000039622992,9666.358832368967,10,1.0,10,10,0,0,Narayanan et al. 2022 arXiv:2204.05545 sec.2.3,0.0,ALNS碾压,-16.033053887126727,0,10
GA-VNS,winner-kernel ALNS,9138.586341218546,7de2c847,13.852917126906375,13.70454754593609,L-main,72.5,0.3,7848.5,72.8,900.1424342665989,9472.378090818456,10,1.0,10,10,0,0,Narayanan GA plus Woller VNS memetic hybrid,185.83653570022386,ALNS碾压,-13.70454754593609,0,10
GWO,winner-kernel ALNS,9666.358832368967,7de2c847,16.18446186469227,16.033053887126727,L-main,64.0,1.0,2207.5,65.0,900.2256232834,9666.358832368967,10,1.0,10,10,0,0,Ma Xiangli et al. 2025 HGWO transcript,0.0,ALNS碾压,-16.033053887126727,0,10
IWD,winner-kernel ALNS,9666.358832368967,7de2c847,16.18446186469227,16.033053887126727,L-main,64.0,1.0,16000.0,65.0,750.7223739290988,9666.358832368967,10,1.0,10,10,0,0,Zhang Jingwen et al. 2025 IIWD transcript,0.0,ALNS碾压,-16.033053887126727,0,10
LNS,winner-kernel ALNS,7773.988864403885,7de2c847,-5.255007183487582,-5.378475911720075,L-main,64.2,0.0,9499.9,64.2,900.0496198290996,7882.629771967356,10,0.0009765625,10,10,10,10,Gao Jiaojiao et al. 2024 GLNS transcript,50.93068616847496,ALNS失败,5.378475911720075,10,10
PSO,winner-kernel ALNS,9666.358832368967,7de2c847,16.18446186469227,16.033053887126727,L-main,64.0,1.0,16000.0,65.0,309.04568267519863,9666.358832368967,10,1.0,10,10,0,0,Transcript-backed discrete VRPTW PSO,0.0,ALNS碾压,-16.033053887126727,0,10
VNS,winner-kernel ALNS,9513.664898289111,7de2c847,15.647078953696822,15.496371276829205,L-main,69.6,0.6,7398.0,70.2,900.1108426789997,9621.649445548253,10,1.0,10,10,0,0,Woller et al. 2025 arXiv:2511.09570 algorithm 1,60.9945237347361,ALNS碾压,-15.496371276829205,0,10
