algorithm,best_cost,bundle_dir,elapsed_seconds,eval_budget,evaluations,history,instance,max_runtime_seconds,seed,source,status,violation_count
ACO,6331.298733608956,models/data_bundle/generated_instances/E-UK100_01__d2_s3_seed1_24h_20251113,99.53679670800193,16000,16000,"[{'eval': 0, 'best_cost': 6331.298733608956, 'current_cost': 6331.298733608956, 'operator': 'shared_warm_start'}]",100-01-24h,900.0,1,He Meiling et al. 2023 IACO transcript,OK,0
ACO,6331.298733608956,models/data_bundle/generated_instances/E-UK100_01__d2_s3_seed1_24h_20251113,94.74713979200169,16000,16000,"[{'eval': 0, 'best_cost': 6331.298733608956, 'current_cost': 6331.298733608956, 'operator': 'shared_warm_start'}]",100-01-24h,900.0,2,He Meiling et al. 2023 IACO transcript,OK,0
ACO,6331.298733608956,models/data_bundle/generated_instances/E-UK100_01__d2_s3_seed1_24h_20251113,86.04999558300187,16000,16000,"[{'eval': 0, 'best_cost': 6331.298733608956, 'current_cost': 6331.298733608956, 'operator': 'shared_warm_start'}]",100-01-24h,900.0,3,He Meiling et al. 2023 IACO transcript,OK,0
ACO,6331.298733608956,models/data_bundle/generated_instances/E-UK100_01__d2_s3_seed1_24h_20251113,85.67272441599926,16000,16000,"[{'eval': 0, 'best_cost': 6331.298733608956, 'current_cost': 6331.298733608956, 'operator': 'shared_warm_start'}]",100-01-24h,900.0,4,He Meiling et al. 2023 IACO transcript,OK,0
ACO,6331.298733608956,models/data_bundle/generated_instances/E-UK100_01__d2_s3_seed1_24h_20251113,85.66580529199928,16000,16000,"[{'eval': 0, 'best_cost': 6331.298733608956, 'current_cost': 6331.298733608956, 'operator': 'shared_warm_start'}]",100-01-24h,900.0,5,He Meiling et al. 2023 IACO transcript,OK,0
ACO,6331.298733608956,models/data_bundle/generated_instances/E-UK100_01__d2_s3_seed1_24h_20251113,98.98771158300224,16000,16000,"[{'eval': 0, 'best_cost': 6331.298733608956, 'current_cost': 6331.298733608956, 'operator': 'shared_warm_start'}]",100-01-24h,900.0,6,He Meiling et al. 2023 IACO transcript,OK,0
ACO,6331.298733608956,models/data_bundle/generated_instances/E-UK100_01__d2_s3_seed1_24h_20251113,86.3538719169992,16000,16000,"[{'eval': 0, 'best_cost': 6331.298733608956, 'current_cost': 6331.298733608956, 'operator': 'shared_warm_start'}]",100-01-24h,900.0,7,He Meiling et al. 2023 IACO transcript,OK,0
ACO,6331.298733608956,models/data_bundle/generated_instances/E-UK100_01__d2_s3_seed1_24h_20251113,85.96225720800066,16000,16000,"[{'eval': 0, 'best_cost': 6331.298733608956, 'current_cost': 6331.298733608956, 'operator': 'shared_warm_start'}]",100-01-24h,900.0,8,He Meiling et al. 2023 IACO transcript,OK,0
ACO,6331.298733608956,models/data_bundle/generated_instances/E-UK100_01__d2_s3_seed1_24h_20251113,85.86457295799846,16000,16000,"[{'eval': 0, 'best_cost': 6331.298733608956, 'current_cost': 6331.298733608956, 'operator': 'shared_warm_start'}]",100-01-24h,900.0,9,He Meiling et al. 2023 IACO transcript,OK,0
ACO,6331.298733608956,models/data_bundle/generated_instances/E-UK100_01__d2_s3_seed1_24h_20251113,85.45765554199897,16000,16000,"[{'eval': 0, 'best_cost': 6331.298733608956, 'current_cost': 6331.298733608956, 'operator': 'shared_warm_start'}]",100-01-24h,900.0,10,He Meiling et al. 2023 IACO transcript,OK,0
