algorithm,best_cost,bundle_dir,elapsed_seconds,eval_budget,evaluations,history,instance,max_runtime_seconds,seed,source,status,violation_count
GWO,6331.298733608956,models/data_bundle/generated_instances/E-UK100_01__d2_s3_seed1_24h_20251113,900.0539267919994,16000,11792,"[{'eval': 0, 'best_cost': 6331.298733608956, 'current_cost': 6331.298733608956, 'operator': 'shared_warm_start'}]",100-01-24h,900.0,2,Ma Xiangli et al. 2025 HGWO transcript,HALT_RUNTIME_UNDER_EVAL,0
GWO,6331.298733608956,models/data_bundle/generated_instances/E-UK100_01__d2_s3_seed1_24h_20251113,900.0047446669996,16000,11729,"[{'eval': 0, 'best_cost': 6331.298733608956, 'current_cost': 6331.298733608956, 'operator': 'shared_warm_start'}]",100-01-24h,900.0,3,Ma Xiangli et al. 2025 HGWO transcript,HALT_RUNTIME_UNDER_EVAL,0
GWO,6331.298733608956,models/data_bundle/generated_instances/E-UK100_01__d2_s3_seed1_24h_20251113,900.0502205000012,16000,11671,"[{'eval': 0, 'best_cost': 6331.298733608956, 'current_cost': 6331.298733608956, 'operator': 'shared_warm_start'}]",100-01-24h,900.0,4,Ma Xiangli et al. 2025 HGWO transcript,HALT_RUNTIME_UNDER_EVAL,0
GWO,6331.298733608956,models/data_bundle/generated_instances/E-UK100_01__d2_s3_seed1_24h_20251113,900.0105214169998,16000,11179,"[{'eval': 0, 'best_cost': 6331.298733608956, 'current_cost': 6331.298733608956, 'operator': 'shared_warm_start'}]",100-01-24h,900.0,5,Ma Xiangli et al. 2025 HGWO transcript,HALT_RUNTIME_UNDER_EVAL,0
GWO,6331.298733608956,models/data_bundle/generated_instances/E-UK100_01__d2_s3_seed1_24h_20251113,900.0491042909998,16000,11431,"[{'eval': 0, 'best_cost': 6331.298733608956, 'current_cost': 6331.298733608956, 'operator': 'shared_warm_start'}]",100-01-24h,900.0,6,Ma Xiangli et al. 2025 HGWO transcript,HALT_RUNTIME_UNDER_EVAL,0
GWO,6331.298733608956,models/data_bundle/generated_instances/E-UK100_01__d2_s3_seed1_24h_20251113,900.0674551669981,16000,11850,"[{'eval': 0, 'best_cost': 6331.298733608956, 'current_cost': 6331.298733608956, 'operator': 'shared_warm_start'}]",100-01-24h,900.0,7,Ma Xiangli et al. 2025 HGWO transcript,HALT_RUNTIME_UNDER_EVAL,0
GWO,6331.298733608956,models/data_bundle/generated_instances/E-UK100_01__d2_s3_seed1_24h_20251113,900.0553940420032,16000,11859,"[{'eval': 0, 'best_cost': 6331.298733608956, 'current_cost': 6331.298733608956, 'operator': 'shared_warm_start'}]",100-01-24h,900.0,8,Ma Xiangli et al. 2025 HGWO transcript,HALT_RUNTIME_UNDER_EVAL,0
GWO,6331.298733608956,models/data_bundle/generated_instances/E-UK100_01__d2_s3_seed1_24h_20251113,900.0191252079967,16000,11841,"[{'eval': 0, 'best_cost': 6331.298733608956, 'current_cost': 6331.298733608956, 'operator': 'shared_warm_start'}]",100-01-24h,900.0,9,Ma Xiangli et al. 2025 HGWO transcript,HALT_RUNTIME_UNDER_EVAL,0
GWO,6331.298733608956,models/data_bundle/generated_instances/E-UK100_01__d2_s3_seed1_24h_20251113,900.0675037500005,16000,11811,"[{'eval': 0, 'best_cost': 6331.298733608956, 'current_cost': 6331.298733608956, 'operator': 'shared_warm_start'}]",100-01-24h,900.0,10,Ma Xiangli et al. 2025 HGWO transcript,HALT_RUNTIME_UNDER_EVAL,0
GA,9666.358832368967,models/data_bundle/generated_instances/E-UK24h-三班-01,900.0000120419973,16000,9229,"[{'eval': 0, 'best_cost': 9666.358832368967, 'current_cost': 9666.358832368967, 'operator': 'shared_warm_start'}]",L-main,900.0,1,Narayanan et al. 2022 arXiv:2204.05545 sec.2.3,HALT_RUNTIME_UNDER_EVAL,0
GA,9666.358832368967,models/data_bundle/generated_instances/E-UK24h-三班-01,900.0000010000003,16000,9229,"[{'eval': 0, 'best_cost': 9666.358832368967, 'current_cost': 9666.358832368967, 'operator': 'shared_warm_start'}]",L-main,900.0,2,Narayanan et al. 2022 arXiv:2204.05545 sec.2.3,HALT_RUNTIME_UNDER_EVAL,0
GA,9666.358832368967,models/data_bundle/generated_instances/E-UK24h-三班-01,900.0000104579958,16000,9229,"[{'eval': 0, 'best_cost': 9666.358832368967, 'current_cost': 9666.358832368967, 'operator': 'shared_warm_start'}]",L-main,900.0,3,Narayanan et al. 2022 arXiv:2204.05545 sec.2.3,HALT_RUNTIME_UNDER_EVAL,0
GA,9666.358832368967,models/data_bundle/generated_instances/E-UK24h-三班-01,900.0000094580028,16000,9229,"[{'eval': 0, 'best_cost': 9666.358832368967, 'current_cost': 9666.358832368967, 'operator': 'shared_warm_start'}]",L-main,900.0,4,Narayanan et al. 2022 arXiv:2204.05545 sec.2.3,HALT_RUNTIME_UNDER_EVAL,0
GA,9666.358832368967,models/data_bundle/generated_instances/E-UK24h-三班-01,900.000001290995,16000,9229,"[{'eval': 0, 'best_cost': 9666.358832368967, 'current_cost': 9666.358832368967, 'operator': 'shared_warm_start'}]",L-main,900.0,5,Narayanan et al. 2022 arXiv:2204.05545 sec.2.3,HALT_RUNTIME_UNDER_EVAL,0
