all_cv_winner_count,all_ev_winner_count,balanced_winner_count,battery_kwh,candidate_stage_status,cv_heavy_winner_count,ev_heavy_winner_count,evidence_tiers,expected_winner_rows,instance_majority_fail_count,instance_majority_pass_count,main_candidate_eligible,max_ev_route_share,mean_ev_customer_share,mean_ev_demand_share,mean_ev_distance_share,mean_ev_route_share,min_ev_route_share,phase,promotion_allowed_without_extra_source,scale_bucket_count,scale_bucket_fail_count,scale_bucket_pass_count,secondary_only,source_ids,total_instances,winner_count
10,0,12,60.0,fail,1,0,literature_benchmark;strong_current_vehicle_class,23,11,12,True,0.6956521739130435,0.21623188405797103,0.24266907225185239,0.1534722239535354,0.2566512686786161,0.0,stage_a,True,23,11,12,False,IsuzuNRREV;Qiu2024,23,23
6,0,17,81.0,fail,0,0,conditional_van,23,6,17,True,0.7692307692307693,0.3873913043478261,0.4223074818244724,0.319756104107981,0.42963991435617166,0.0,stage_a,True,23,6,17,False,MercedesESprinter,23,23
7,0,16,82.6,fail,0,0,strong_current_vehicle_class,23,7,16,True,0.7777777777777778,0.32768115942028986,0.3616781699610494,0.2687409692650052,0.3760565556921056,0.0,stage_a,False,23,7,16,True,FusoECanter,23,23
4,0,15,89.0,fail,0,4,conditional_van,23,8,15,True,0.8571428571428571,0.45992753623188404,0.4993221420636739,0.39972708380954197,0.5123609427493474,0.0,stage_a,True,23,8,15,False,FordETransit2025,23,23
4,1,11,100.0,fail,0,7,strong_current_vehicle_class,23,12,11,True,1.0,0.5753623188405796,0.6060116424631184,0.5158355805605641,0.6142165938078638,0.0,stage_a,True,23,12,11,False,IsuzuNRREV,23,23
2,4,6,113.0,fail,0,11,conditional_van,23,17,6,True,1.0,0.7134782608695652,0.7436976125917861,0.6813074817236867,0.7501944835168601,0.0,stage_a,True,23,17,6,False,MercedesESprinter,23,23
0,2,5,123.9,fail,0,16,strong_current_vehicle_class,23,18,5,True,1.0,0.8215942028985508,0.8491512902501439,0.7980319445695495,0.8556482547191122,0.4,stage_a,False,23,18,5,True,FusoECanter,23,23
1,3,3,140.0,fail,0,16,strong_current_vehicle_class,23,20,3,True,1.0,0.8302173913043478,0.8457621330985106,0.8038603425650921,0.85703469167374,0.0,stage_a,True,23,20,3,False,IsuzuNRREV,23,23
1,3,3,141.0,fail,0,16,strong_current_vehicle_class,23,20,3,True,1.0,0.8305072463768116,0.8459532921164679,0.8037574497253699,0.8569558123905949,0.0,stage_a,True,23,20,3,False,DAFXBElectric,23,23
2,3,3,150.0,fail,0,15,strong_current_vehicle_class,23,20,3,True,1.0,0.7834057971014493,0.8013663693300977,0.7612174031149949,0.8123116955694888,0.0,stage_a,True,23,20,3,False,MackMDElectric,23,23
1,4,3,176.0,fail,0,15,strong_current_vehicle_class,23,20,3,True,1.0,0.8339855072463769,0.849432610164214,0.8109501391845736,0.8596920215608855,0.0,stage_a,True,23,20,3,False,RenaultTrucksETechD,23,23
1,3,3,180.0,fail,0,16,strong_current_vehicle_class,23,20,3,True,1.0,0.8305072463768116,0.8465350931134406,0.805270040362316,0.8571344768038524,0.0,stage_a,True,23,20,3,False,IsuzuNRREV,23,23
2,2,3,194.0,fail,0,16,strong_current_vehicle_class,23,20,3,True,1.0,0.7847101449275362,0.8013219272224686,0.7588115889816361,0.8118446217313885,0.0,stage_a,True,23,20,3,False,FreightlinerEM2,23,23
2,2,3,200.0,fail,0,16,strong_current_vehicle_class,23,20,3,True,1.0,0.7847101449275362,0.8013219272224686,0.7588115889816361,0.8118446217313885,0.0,stage_a,True,23,20,3,False,RenaultTrucksETechD,23,23
2,2,3,210.0,fail,0,16,strong_current_vehicle_class,23,20,3,True,1.0,0.7847101449275362,0.8013219272224686,0.7588115889816361,0.8118446217313885,0.0,stage_a,True,23,20,3,False,DAFXBElectric;InternationalEMV,23,23
1,3,3,240.0,fail,0,16,strong_current_vehicle_class,23,20,3,True,1.0,0.8267391304347826,0.8438958588916974,0.8013608215815943,0.8543282818621074,0.0,stage_a,True,23,20,3,False,MackMDElectric,23,23
1,3,3,280.0,fail,0,16,strong_current_vehicle_class,23,20,3,True,1.0,0.8267391304347826,0.8438958588916974,0.8013608215815943,0.8543282818621074,0.0,stage_a,True,23,20,3,False,VolvoFLFE2023,23,23
1,3,3,282.0,fail,0,16,strong_current_vehicle_class,23,20,3,True,1.0,0.8267391304347826,0.8438958588916974,0.8013608215815943,0.8543282818621074,0.0,stage_a,True,23,20,3,False,DAFXBElectric,23,23
1,3,3,291.0,fail,0,16,strong_current_vehicle_class,23,20,3,True,1.0,0.8267391304347826,0.8438958588916974,0.8013608215815943,0.8543282818621074,0.0,stage_a,True,23,20,3,False,FreightlinerEM2,23,23
