battery_kwh,category,in_band_count,instance,main_candidate_eligible,mean_ev_customer_share,mean_ev_demand_share,mean_ev_distance_share,mean_ev_route_share,phase,reason,required_majority,size,source_ids,winner_count
60.0,multidepot,0,e2-multidepot-150c-01,True,0.0,0.0,0.0,0.0,stage_a,route_share_outside_practical_band,1,150,IsuzuNRREV;Qiu2024,1
60.0,threeshift,0,e2-threeshift-50c-01,True,0.0,0.0,0.0,0.0,stage_a,route_share_outside_practical_band,1,50,IsuzuNRREV;Qiu2024,1
60.0,threeshift,0,e2-threeshift-75c-01,True,0.0,0.0,0.0,0.0,stage_a,route_share_outside_practical_band,1,75,IsuzuNRREV;Qiu2024,1
60.0,vanilla,0,e2-vanilla-100c-01,True,0.0,0.0,0.0,0.0,stage_a,route_share_outside_practical_band,1,100,IsuzuNRREV;Qiu2024,1
60.0,vanilla,0,e2-vanilla-150c-01,True,0.0,0.0,0.0,0.0,stage_a,route_share_outside_practical_band,1,150,IsuzuNRREV;Qiu2024,1
60.0,vanilla,0,e2-vanilla-15c-01,True,0.0,0.0,0.0,0.0,stage_a,route_share_outside_practical_band,1,15,IsuzuNRREV;Qiu2024,1
60.0,vanilla,0,e2-vanilla-200c-01,True,0.0,0.0,0.0,0.0,stage_a,route_share_outside_practical_band,1,200,IsuzuNRREV;Qiu2024,1
60.0,vanilla,0,e2-vanilla-20c-01,True,0.0,0.0,0.0,0.0,stage_a,route_share_outside_practical_band,1,20,IsuzuNRREV;Qiu2024,1
60.0,vanilla,0,e2-vanilla-25c-01,True,0.08,0.11776466108149276,0.05150449072095509,0.14285714285714285,stage_a,route_share_outside_practical_band,1,25,IsuzuNRREV;Qiu2024,1
60.0,vanilla,0,e2-vanilla-50c-01,True,0.0,0.0,0.0,0.0,stage_a,route_share_outside_practical_band,1,50,IsuzuNRREV;Qiu2024,1
60.0,vanilla,0,e2-vanilla-75c-01,True,0.0,0.0,0.0,0.0,stage_a,route_share_outside_practical_band,1,75,IsuzuNRREV;Qiu2024,1
81.0,multidepot,0,e2-multidepot-200c-01,True,0.0,0.0,0.0,0.0,stage_a,route_share_outside_practical_band,1,200,MercedesESprinter,1
81.0,multidepot,0,e2-multidepot-20c-01,True,0.0,0.0,0.0,0.0,stage_a,route_share_outside_practical_band,1,20,MercedesESprinter,1
81.0,threeshift,0,e2-threeshift-200c-01,True,0.0,0.0,0.0,0.0,stage_a,route_share_outside_practical_band,1,200,MercedesESprinter,1
81.0,threeshift,0,e2-threeshift-75c-01,True,0.0,0.0,0.0,0.0,stage_a,route_share_outside_practical_band,1,75,MercedesESprinter,1
